evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E011,Real health-system patient flows for identifying health issues,S11,workflow finding,England,telehealth,"patient, NHS 111 digital algorithm, callback clinician/receiving service",before visit; intake form; referral,incomplete history; wrong specialty; no one connected the dots,urgent symptoms not immediately life-threatening,Digital triage may fragment complex histories into a single main symptom.,"Patient completes one symptom pathway; service gives advice such as self-care, pharmacist, GP, UTC, ED or callback.",Identified: service disposition; missed: multi-symptom or known-condition context if algorithm is used one symptom at a time.,Identified: service disposition; missed: multi-symptom or known-condition context if algorithm is used one symptom at a time.,incomplete history; wrong specialty; no one connected the dots,none,medium,https://111.nhs.uk/,"Allow multi-symptom summaries, 'not captured' text, prior-risk integration and easy escalation to human review.",Patient-facing NHS 111 online flow.,2026-05-30
E012,Real health-system patient flows for identifying health issues,S12,workflow finding,England,telehealth,"patient, NHS Pathways, service directory, nurse/clinician callback",before visit; intake form; referral,wrong specialty; poor handoff; fragmented care,urgent symptom triage,The handoff is only as good as the service directory and referral visibility.,Uses structured triage and service directory to recommend ambulance/ED/UTC/out-of-hours GP/GP/pharmacist/self-care outcomes.,Identified: appropriate service destination; missed: directory availability or local pathway mismatches can redirect incorrectly.,Identified: appropriate service destination; missed: directory availability or local pathway mismatches can redirect incorrectly.,wrong specialty; poor handoff; fragmented care,none,medium,https://digital.nhs.uk/services/nhs-111-online,Audit outcome-to-arrival completion and failed referral attempts; surface no-capacity conditions.,Staff-facing service information documents integration pieces.,2026-05-30
E013,Real health-system patient flows for identifying health issues,S13,workflow finding,England,telehealth,"patient, online form, admin/care navigator, GP/nurse",before visit; intake form; first clinician assessment; follow-up,digital access gap; incomplete history; no follow-up ownership; chronic illness invalidation,varied primary-care requests; hidden serious illness,Online access can create a digital bottleneck and reduce the chance to observe/examine patients.,Asynchronous online consultations support clinical/admin requests but may be capped or rerouted by practices for safety.,"Missed/delayed: safety incidents when digital tools reduce access, distort history or weaken proactive/long-term care.","Missed/delayed: safety incidents when digital tools reduce access, distort history or weaken proactive/long-term care.",digital access gap; incomplete history; no follow-up ownership; chronic illness invalidation,varies,high,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,"Create safe fallback channels, complexity flags, remote-to-face-to-face conversion rules and continuity prompts.",HSSIB source includes patient and staff focus groups and practice visits.,2026-05-30
E014,Real health-system patient flows for identifying health issues,S14,workflow finding,US / international,telehealth,"telehealth clinician, patient/caregiver",medical history; physical exam; vitals; referral; follow-up,normal-test trap; incomplete physical exam; poor follow-up ownership,acute or chronic problems assessed remotely,Telehealth changes the signal set available for diagnosis.,"Telehealth can be safer when embedded in a medical home with records, tests, referrals and follow-up; risk rises when exam and communication are limited.","Missed: diagnostic cues requiring auscultation, private/inaccessible body areas, objective vitals or hands-on exam.","Missed: diagnostic cues requiring auscultation, private/inaccessible body areas, objective vitals or hands-on exam.",normal-test trap; incomplete physical exam; poor follow-up ownership,varies,high,https://psnet.ahrq.gov/primer/telehealth-and-patient-safety,Decision support should classify problems as telehealth-suitable vs requiring in-person exam/labs/imaging.,Useful cross-setting telehealth safety evidence.,2026-05-30
E015,Real health-system patient flows for identifying health issues,S15,workflow finding,England,primary care,"reception/admin/care navigator, GP, nurse, pharmacist, allied professional",before visit; intake form; care navigation; first clinician assessment,incomplete history; wrong specialty; no one connected the dots,broad primary-care problems,Routing can optimize capacity but also become a diagnostic gate if symptoms are under-described.,"Modern access model directs patients via phone/online/in-person to the right professional first time, using care navigation and demand/capacity management.",Identified: routing need; missed: clinical complexity if navigation lacks enough symptom/risk context.,Identified: routing need; missed: clinical complexity if navigation lacks enough symptom/risk context.,incomplete history; wrong specialty; no one connected the dots,none,high,https://www.england.nhs.uk/long-read/modern-general-practice-model/,Separate admin routing from clinical triage; capture escalation flags and repeated contacts.,National primary-care access policy.,2026-05-30
E016,Real health-system patient flows for identifying health issues,S16,workflow finding,UK,primary care,"trained receptionist/admin/care coordinator, nurse/GP for clinical triage",care navigation; clinical triage; referral,poor handoff; symptom dismissed; red flag missed,primary-care symptoms and admin requests,Ambiguity over whether a contact is administrative or clinical can lose risk signals.,Care navigation signposts to appropriate clinician or service; clinical triage by nurse/GP makes early clinical decisions.,Identified: difference between signposting and clinical triage; missed: escalation if administrative navigation substitutes for clinical judgment.,Identified: difference between signposting and clinical triage; missed: escalation if administrative navigation substitutes for clinical judgment.,poor handoff; symptom dismissed; red flag missed,none,medium,https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice,Make role boundaries explicit and route uncertain cases to clinical triage.,Professional guidance clarifies first-contact roles.,2026-05-30
E017,Real health-system patient flows for identifying health issues,S17,workflow finding,England/Wales,primary care,"GP/primary-care clinician, specialist service",medical history; physical exam; labs ordered; referral; safety netting,normal-test trap; referral delay; rare disease delay,suspected cancer,Threshold pathways may leave low-risk but persistent symptoms in a monitoring black zone.,"Guideline organizes referral/investigation actions by cancer site, symptom and findings; includes safety netting and diagnostic-process advice.",Identified: cancer suspicion thresholds; missed: patients below threshold or with nonspecific/vague symptoms unless active monitoring occurs.,Identified: cancer suspicion thresholds; missed: patients below threshold or with nonspecific/vague symptoms unless active monitoring occurs.,normal-test trap; referral delay; rare disease delay,varies by pathway,high,https://www.nice.org.uk/guidance/NG12/,"Add active-monitoring tasks and symptom persistence triggers, not only referral thresholds.",A key formal workflow source for primary-care suspicion/referral.,2026-05-30
E018,Real health-system patient flows for identifying health issues,S18,workflow finding,UK,primary care,"GP/primary-care team, patient",follow-up; repeat visit; diagnosis discussion,normal-test trap; no follow-up ownership; repeated visits ignored,possible cancer or other unresolved condition,A negative test can prematurely close a diagnostic episode.,"Safety-netting gives time-bound follow-up, documents advice, ensures tests/referrals completed and monitors persistent symptoms even after negative tests.",Identified: ongoing risk despite low-risk or negative initial results; missed: no owner for follow-up tasks.,Identified: ongoing risk despite low-risk or negative initial results; missed: no owner for follow-up tasks.,normal-test trap; no follow-up ownership; repeated visits ignored,time-bound by plan,medium,https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting,"Build safety-net plans with due dates, owner, patient-facing instructions and re-presentation counters.",Clear source for the normal-test trap and repeat-presentation workflows.,2026-05-30
E019,Real health-system patient flows for identifying health issues,S19,workflow finding,England,primary care,"GP, nurse, admin staff, external provider",labs ordered; lab interpretation; follow-up,abnormal result not followed up; documentation error; no follow-up ownership,any condition with ordered tests,Test-result management crosses many people and organisations.,"Practice needs systems for ordering, tracking attendance, return/non-return, review, filing, patient communication and abnormal follow-up.","Missed: abnormal result not acted on, result not returned, no patient communication or clinician absence gap.","Missed: abnormal result not acted on, result not returned, no patient communication or clinician absence gap.",abnormal result not followed up; documentation error; no follow-up ownership,varies,high,https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters,"Implement closed-loop result tracking, unresolved-result inboxes and backup reviewer rules.",Regulator source supports result-management black zones.,2026-05-30
E020,Real health-system patient flows for identifying health issues,S20,workflow finding,England,primary care,"ED, named GP, physiotherapist, out-of-hours GPs, multiple practice GPs, nurse, oncology",repeat visit; medical history; specialist review; emergency escalation,fragmented care; no one connected the dots; missing family/history context; repeated visits ignored,metastatic breast cancer presenting as back pain,No one clinician/system connected the repeated back-pain presentations with prior cancer risk.,Over 8 months the patient saw many clinicians; eventual GP found spinal lump and sent patient to ED where CT found metastatic cancer.,Missed/delayed: unresolved symptoms and cancer-history context were not surfaced across repeat contacts.,Missed/delayed: unresolved symptoms and cancer-history context were not surfaced across repeat contacts.,fragmented care; no one connected the dots; missing family/history context; repeated visits ignored,8 months,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,"Surface unresolved symptom threads, prior high-risk history and multiple-clinician patterns in the EHR.",Named public case from national safety investigation; includes patient voice.,2026-05-30
E021,Real health-system patient flows for identifying health issues,S21,workflow finding,England,primary care,GP team; peer reviewer; specialist input,repeat visit; physical exam; referral; labs ordered,repeated visits ignored; no one connected the dots; bias or minimization,persistent or escalating unexplained symptoms; cancer in origin story,Repeat visits are often visible only as isolated encounters.,"After three presentations, GP teams are prompted to reflect, review and rethink, consider face-to-face exam, second opinion, tests or referral.",Identified: repeat presentation as a diagnostic signal; missed: if repeat visits are not counted across clinicians/channels.,Identified: repeat presentation as a diagnostic signal; missed: if repeat visits are not counted across clinicians/channels.,repeated visits ignored; no one connected the dots; bias or minimization,origin story involved 5 months/20 consultations,medium,https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/,Create automatic repeat-presentation counters across phone/online/in-person and linked symptoms.,Current NHS initiative; useful product pattern for persistent symptoms.,2026-05-30
E022,Real health-system patient flows for identifying health issues,S22,workflow finding,UK,primary care,"GPs, A&E staff, gynaecologists, patient",medical history; referral; specialist review; repeat visit,symptom dismissed; chronic illness invalidation; bias or minimization; patient self-advocacy required,endometriosis,Chronic pain and women's health symptoms can be minimized despite repeated presentations.,Survey documented repeated GP visits and A&E attendance before diagnosis; respondents reported dismissal/minimisation.,Missed/delayed: endometriosis diagnosis; patients often required repeated self-advocacy.,Missed/delayed: endometriosis diagnosis; patients often required repeated self-advocacy.,symptom dismissed; chronic illness invalidation; bias or minimization; patient self-advocacy required,average 8 years 10 months,medium,https://www.endometriosis-uk.org/diagnosis-report,"Track symptom duration/severity, repeated visits and invalidating language; prompt specialist referral criteria review.",Advocacy survey gives patient voice and quantitative delay data.,2026-05-30
E023,Real health-system patient flows for identifying health issues,S23,workflow finding,England,primary care / specialist referral,"GP, hospital outpatient service, patient",referral; follow-up; lab interpretation,referral delay; no follow-up ownership; patient self-advocacy required,varied unresolved conditions while waiting,"Referral is not a completed action unless the patient is seen, tests are done and results acted on.","Healthwatch gathered patient reports of waiting after GP referral, confusion over results and pressure to chase.","Missed/delayed: follow-up appointments, specialist action, scans/tests; GP sometimes unable to accelerate despite abnormal tests.","Missed/delayed: follow-up appointments, specialist action, scans/tests; GP sometimes unable to accelerate despite abnormal tests.",referral delay; no follow-up ownership; patient self-advocacy required,varies,medium,https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care,"Track referral state, wait risk, abnormal-test escalation and patient-visible next step.",Patient voice source on referral/follow-up gaps.,2026-05-30
E024,Real health-system patient flows for identifying health issues,S24,workflow finding,England,hospital outpatient / imaging / ED,"radiologist, requesting clinician, ED/hospital team, patient/family",imaging ordered; lab interpretation; follow-up; emergency return,abnormal result not followed up; red flag missed; repeated visits ignored,cancer and other scan-detectable conditions,"Imaging workflows fail at multiple points: ordering, performance, interpretation, communication, follow-up.","Ombudsman reported repeated failures in scan reading, carrying out scans and follow-up; a cancer case was only identified at a fifth A&E visit after lesion not reported.",Missed/delayed: abnormal scan findings and cancer diagnosis.,Missed/delayed: abnormal scan findings and cancer diagnosis.,abnormal result not followed up; red flag missed; repeated visits ignored,example six-week delay; other cases vary,high,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,"Closed-loop imaging: critical finding acknowledgment, patient notification and escalation if no action documented.",Patient-complaint/ombudsman evidence with public family quote.,2026-05-30
E025,Real health-system patient flows for identifying health issues,S25,workflow finding,England,radiology / ED / primary care,"radiologist, ED clinician, GP, patient",imaging ordered; imaging interpretation; discharge; follow-up,poor handoff; abnormal result not followed up; no follow-up ownership,lung cancer / unexpected significant radiology finding,"Responsibility can diffuse between radiology, ED, GP and patient.",Investigation traced multistep communication of unexpected significant findings and weak assurance that action occurred.,Missed/delayed: significant finding not received or acted on; read receipts not enough.,Missed/delayed: significant finding not received or acted on; read receipts not enough.,poor handoff; abnormal result not followed up; no follow-up ownership,varies,high,https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/,"Require an accountable result owner, escalation timer and auditable action completion, not just report delivery.",Important source for test-result black zones beyond labs.,2026-05-30
E026,Real health-system patient flows for identifying health issues,S26,workflow finding,US,inpatient ward / hospital outpatient,"hospital clinicians, diagnostic stewardship team, lab/radiology, outpatient follow-up team",discharge; follow-up; imaging/lab interpretation,poor handoff; no follow-up ownership; abnormal result not followed up,missed diagnoses after discharge; lung malignancy suspicion; pending tests,Discharge can sever ownership of pending results.,Hospital diagnostic excellence framework encourages targeting pending tests and suspicious imaging follow-up.,Identified: high-risk diagnostic follow-up areas; missed: patients leaving hospital before test closure.,Identified: high-risk diagnostic follow-up areas; missed: patients leaving hospital before test closure.,poor handoff; no follow-up ownership; abnormal result not followed up,varies,high,https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html,Create discharge-pending-test registry and patient/clinician notification loops.,Current CDC framework for hospital diagnostic excellence.,2026-05-30
E027,Real health-system patient flows for identifying health issues,S27,workflow finding,England,specialist clinic,"referrer, provider triage clinician/admin, patient",referral; specialist review; follow-up,wrong specialty; referral delay; poor handoff,conditions needing specialist opinion or diagnostic pathway,Referral triage creates a new work queue where responsibility can be unclear to patient and referrer.,"Referral Assessment Services allow provider review before booking; outcomes include booking, redirecting, requesting more info, or returning advice.",Identified: suitable pathway before appointment; missed: wrong worklist/status or insufficient referral information delays care.,Identified: suitable pathway before appointment; missed: wrong worklist/status or insufficient referral information delays care.,wrong specialty; referral delay; poor handoff,varies,high,https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services,Make referral state and owner visible to referrer and patient; alert when more information is requested or referral returned.,Digital pathway details from NHS e-RS documentation.,2026-05-30
E028,Real health-system patient flows for identifying health issues,S28,workflow finding,England,hospital outpatient / diagnostic services,"referrer, provider clinician, diagnostic service",referral; imaging ordered; labs ordered; specialist review,incomplete history; wrong specialty; documentation error,conditions suitable for direct-to-test or clinical assessment,Straight-to-test pathways are efficient only when referral information is complete.,"Diagnostic e-RS models include direct-to-test, clinical assessment then test, and one-stop consultant-led models.",Identified: bypassing first outpatient appointment for needed tests; missed: poor referral templates can omit critical context.,Identified: bypassing first outpatient appointment for needed tests; missed: poor referral templates can omit critical context.,incomplete history; wrong specialty; documentation error,varies,medium,https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services,Embed mandatory clinical context fields and feedback loops for rejected/inappropriate tests.,Operational source on outpatient diagnostics.,2026-05-30
E029,Real health-system patient flows for identifying health issues,S29,workflow finding,England,hospital outpatient / specialist clinic,"GP/referrer, specialist consultant/team",referral; specialist review; imaging/labs ordered; follow-up,referral delay; no follow-up ownership; normal-test trap,gastrointestinal and other specialty referrals,Advice can reduce unnecessary appointments but must not become a soft rejection of unresolved symptoms.,"Improvement guide promotes advice/guidance, straight-to-test, pre-appointment hubs; one GI case cut waits through advice and e-RS.",Identified: faster specialist input; missed: advice-only management without clear follow-up if symptoms persist.,Identified: faster specialist input; missed: advice-only management without clear follow-up if symptoms persist.,referral delay; no follow-up ownership; normal-test trap,case example: new patients 2-4 weeks vs 12-14 weeks before,medium,https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/,Record advice decisions with safety-net tasks and escalation criteria.,Includes clinician voice and pathway redesign example.,2026-05-30
E030,Real health-system patient flows for identifying health issues,S30,workflow finding,US,community health center,"health center staff, hospital/ED, primary-care clinician",referral; discharge; follow-up,poor handoff; fragmented care; no follow-up ownership,post-ED/hospital follow-up and ongoing primary-care needs,Safety-net clinics may be responsible for follow-up despite care occurring elsewhere.,Health centers must have referral/hospital arrangements and processes to receive/record ED or hospital visit information and follow-up actions.,Identified: need for continuity; missed: discharge info not received or tracked.,Identified: need for continuity; missed: discharge info not received or tracked.,poor handoff; fragmented care; no follow-up ownership,varies,high,https://bphc.hrsa.gov/compliance/compliance-manual/chapter7,Ingest outside discharge/test data and assign follow-up ownership automatically.,Federal compliance source for FQHC workflow expectations.,2026-05-30
E031,Real health-system patient flows for identifying health issues,S31,workflow finding,US,community health center,"primary-care team, care coordinator",long-term monitoring; follow-up; referral,fragmented care; no follow-up ownership,chronic disease and preventive care,"Coordination is a model, not a closed-loop diagnostic guarantee.",PCMH recognition emphasizes care coordination and continuous quality improvement in health centers.,Identified: coordination model; missed: PCMH standards may not guarantee specific diagnostic follow-up closure without local systems.,Identified: coordination model; missed: PCMH standards may not guarantee specific diagnostic follow-up closure without local systems.,fragmented care; no follow-up ownership,none,medium,https://bphc.hrsa.gov/technical-assistance/clinical-quality-improvement/patient-centered-medical-home,"Translate PCMH concepts into concrete diagnostic queues, unresolved-symptom lists and abnormal-result registries.",Useful institutional context for community health centers.,2026-05-30
E032,Real health-system patient flows for identifying health issues,S32,workflow finding,US: North Carolina,community health center / public health screening,"patient navigator, FQHC team, GI/endoscopy service",public health screening; lab interpretation; referral; follow-up,abnormal result not followed up; patient self-advocacy required; no follow-up ownership,colorectal cancer risk after abnormal FIT,Abnormal screening is only useful if diagnostic colonoscopy happens.,"Mailed FIT outreach identified abnormal results; centralized patient navigation addressed informational, emotional, financial and transport barriers to colonoscopy.",Identified: abnormal FIT needing colonoscopy; missed: patients not reached or declining navigation remain at risk.,Identified: abnormal FIT needing colonoscopy; missed: patients not reached or declining navigation remain at risk.,abnormal result not followed up; patient self-advocacy required; no follow-up ownership,follow-up within 9 months measured,medium,https://www.sciencedirect.com/science/article/pii/S221133552300102X,Track abnormal-screen closure and navigator barrier categories to completion.,Implementation study in FQHC safety-net setting; strong fit to product workflows.,2026-05-30
E033,Real health-system patient flows for identifying health issues,S33,workflow finding,US: Washington state,community health center / screening,"patient navigator, implementation support team, FQHC staff, GI partners",public health screening; referral; follow-up,referral delay; fragmented care; documentation error,abnormal FIT requiring colonoscopy,"Navigation fails if it is not staffed, documented, partnered and tracked.","PRECISE trial implementation support trained navigators and documented challenges in workload, documentation, partnerships and tracking.",Identified: implementation barriers to closing abnormal FIT follow-up.,unknown,referral delay; fragmented care; documentation error,varies,medium,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659,"Build navigator work queues, cross-organization data sharing and colonoscopy-status reconciliation.",Recent implementation lessons for community health settings.,2026-05-30
E034,Real health-system patient flows for identifying health issues,S34,workflow finding,England,public health screening,"screening programme, lab, specialist nurse, colonoscopy service, GP/patient",before visit; public health screening; lab interpretation; referral; follow-up,normal-test trap; no follow-up ownership,bowel cancer,Screening can create false reassurance if symptoms are separated from screening result interpretation.,Eligible people receive FIT at home; results usually within 2 weeks; further tests lead to specialist nurse and usually colonoscopy; negative screen does not rule out cancer if symptoms occur.,Identified: occult blood needing diagnostic work-up; missed: symptomatic people reassured by negative screening result.,Identified: occult blood needing diagnostic work-up; missed: symptomatic people reassured by negative screening result.,normal-test trap; no follow-up ownership,result usually within 2 weeks,high,https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/,Pair negative results with symptom-trigger advice and GP follow-up prompts.,Patient-facing pathway; strong flow map source.,2026-05-30
