Insight ID,Insight,Status,Evidence refs,Why it matters,Open questions / cautions,Next evidence needed
LI-012,Waiting-room and pre-triage deterioration check-in,region-specific,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM02/FM04/FM05; evidence_items.csv::E004/E008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008/C009; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::arrival / registration; nurse triage / vitals,"Patients can deteriorate before registration, during self-service intake, or while waiting by acuity order, especially if they do not know what to report.","Check-ins may miss patients with disability/language barriers or increase staff interruptions. Guardrail: Multilingual/plain-language prompts, accessibility modes, visible escalation button, queue-monitoring rules, staff triage review.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-013,Digital intake complexity escape hatch,strongly supported,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E006/E007; quote Q005; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; evidence_items.csv::E006/E011; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; source S033 virtual-care evidence,"Online triage and self-service flows can force single-symptom routing, depend on free text, omit prior high-risk history, or exclude patients with digital/language barriers.","A digital form becomes the gatekeeper and hides complexity from humans. Guardrail: Human-review escape hatch, prior-history auto-pull, multi-symptom support, accessibility fallback, clear emergency redirection.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-014,Bias and misattribution guardrail,unsafe or needs caution,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E017/E018; quotes Q012/Q013; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Bias/misattribution guardrail; B-003/B-020/B-021/B-024; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q009/Q010/Q014; cases C012/C014/C015; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008; cultural_black_zone_map.md,"Physical symptoms may be dismissed or attributed to anxiety, stress, age, gender, substance use, difficult behavior, or mental illness before dangerous alternatives are considered.",Could stigmatize clinicians/patients or imply mental health diagnoses are not real. Guardrail: Frame as coexisting physical-risk review; do not accuse; require documentation of red flags considered when symptoms remain discordant.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-015,Lab trend and personal-baseline explorer,supported by some evidence,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-001/B-014/B-015; black_zones_by_patient_stage.csv::long-term monitoring; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E015; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R009; source S54,"Clinically important change can be hidden when individual values look normal, are viewed out of sequence, or are not connected to symptoms.",Trend rules overfit; false positives cause unnecessary workups. Guardrail: Start with transparent trend visualization and clinician-reviewed thresholds; capture false positives/negatives; no final diagnosis.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-016,Pending-test discharge contract,strongly supported,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; B-012/B-017; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004,"Patients leave care while tests are pending, unclear, or not yet interpreted; no one knows who will act or when.","Patients may panic from unclear pending-result language or assume no news means normal. Guardrail: Plain-language plan: “what is pending,” “when you will hear,” “who owns it,” and “what to do if no contact.”","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-017,Cross-specialty pattern map,supported by some evidence,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Cross-specialty referral map; B-002/B-003/B-024/B-029/B-032; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::patterns.md::wrong specialty or unclear referral pathway; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11,"Complex symptoms spanning specialties are split into GI/GYN/cardiology/neuro/psych silos, causing wrong-specialty drift or advice-only loops.",Encourages inappropriate referral volume or suggests specialties unavailable locally. Guardrail: Local referral directory and criteria; “consider asking” prompts rather than automated referral; shared summary with clinical question.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-018,Patient-held record and out-of-system care import,region-specific,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::evidence_items.csv::E008/E009; cases C004/C005; product_or_system_implications.md; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / home/community / rural settings; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-031,"Signals from private, informal, cross-border, pharmacy, traditional, or disconnected care never enter the formal record.",Poor-quality records or privacy issues contaminate clinical data. Guardrail: Provenance labels; clinician verification; patient consent; data-quality confidence; do not overwrite official results.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-019,"Language, interpreter and cultural-safety layer",region-specific,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::sources S023/S024/S026/S027/S028; cases C008/C009/C010; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / public health screening / community visit,"Language barriers, mistrust, cultural safety failures, racism, and did-not-wait patterns shape whether symptoms are voiced, believed and followed up.","Tokenistic prompts without staff, interpreters, or liaison capacity. Guardrail: Connect to actual interpreter/liaison workflows; track completion not just need; avoid ethnicity-based risk scoring.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-020,Low-resource diagnostic availability and stockout-aware plan,region-specific,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-025/B-026/B-027; product_opportunities.csv::Low-resource diagnostic availability layer; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C006/C007; evidence_items E010; product implications; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019/E020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12 and rural/low-resource clinic notes,"A diagnostic tool may not exist, be affordable, be in stock, or be reachable; missing diagnostics can look like clinician delay unless explicitly captured.",Blames clinics/CHWs for infrastructure gaps or creates impossible tasks. Guardrail: Resource-aware workflows; offline/paper/SMS modes; aggregate stockout reporting; escalation alternatives; no punitive clinician metrics for stockouts.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-021,CHW and informal-provider referral capture mode,region-specific,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C007; evidence_items E010; sources S012/S021; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12; sources S38/S40/S41/S43; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019,Community health workers and informal/non-allopathic providers are often first assessment nodes but may not be connected to formal testing and referral loops.,"Assigns responsibility without training, supplies, supervision or referral backup. Guardrail: Protocol-bound scope, supervision, offline mode, referral confirmation, local-language prompts, supply/status integration.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-022,Medication and access-as-diagnostic-clue capture,supported by some evidence,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Medication/access-as-diagnostic-clue; B-013/B-031; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::patterns.md::cost/transport/access barriers; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003,"Medication interruption, device/supply problems, insurance gaps, and affordability can be a direct clue to deterioration or differential diagnosis.",Patients may feel blamed or exposed; affordability data is sensitive. Guardrail: Ask nonjudgmentally; mark patient-controlled sensitive data; link to assistance/referral resources; do not equate cost barriers with noncompliance.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-023,Note-diff and copied-forward detection,supported by some evidence,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E016; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md::no one connected the dots; normal-test trap; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md::patient narratives reveal continuity failures,"Long redundant notes obscure new facts, changed assessments, unresolved problems, and copied-forward assumptions.",Diffs become another noisy interface or expose legitimate repeated history as error. Guardrail: Prioritize clinically meaningful changes; allow clinician dismissal; tie output to unresolved episode summary.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-024,Workload-aware alert management and risk-ranked worklists,unsafe or needs caution,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E011/E015/E021; quotes Q003/Q008/Q010/Q011; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::front-door workflows sort urgency before diagnosis; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md::over-alert risk,More alerts can worsen the exact overload that causes missed abnormal results and poor follow-up.,"Creates a new inbox, hides low-frequency serious issues, or routes responsibility unfairly. Guardrail: Actionable, tiered alerts; suppress duplicates; ownership + escalation; measure false positives/negatives; do not use fatigue data punitively.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-025,Patient/family deterioration escalation route,strongly supported,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C004/C008; source S036 Martha’s Rule; quotes Q004/Q008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C003/C008/C009; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R003; quotes Q004,Family or patient concern about deterioration may be ignored or lack a route beyond repeating the same complaint.,"Floods escalation pathways or bypasses normal care without capacity. Guardrail: Clear criteria, named response team, acknowledgment timestamp, triage of escalation requests, respectful language.","Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-026,Diagnosis-status clarity in patient portal,supported by some evidence,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q007/Q011/Q012; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::record what remains unexplained,"Patients may see labels, referral decisions or results without knowing whether a diagnosis is confirmed, suspected, excluded, pending, or unexplained.",Over-simplified statuses create false certainty or alarm. Guardrail: Use clinician-authored uncertainty templates; explain status categories; show who to contact and when.,"Implementation evaluation, local workflow observation, alert fatigue/false-positive tracking, and region-specific validation."
LI-900,One universal workflow for all countries/settings,contradicted by evidence,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::main_report.md; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::care_flow_comparison.md,"Care-flow models differ: gatekeeper, open-access, integrated, CHW-based, fragmented public/private and rural/remote.",Product must be configurable by care-flow model and resource constraints.,Country-specific implementation requirements.
LI-901,Pure single-symptom digital triage as diagnostic front door,contradicted by evidence,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E007/Q005; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::FM05/FM06,Single-symptom routes can lose complexity and prior high-risk history.,Use hybrid intake and human-review escape hatch.,Usability testing with complex multi-symptom patients.
LI-902,More alerts for every possible missed diagnosis,unsafe or needs caution,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::E001/Q003; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md,Alert overload is itself a safety risk.,"Risk-ranked, actionable, owned worklists are safer than more pop-ups.",Threshold and workload studies.
LI-903,Predictive lab-trend alerts based on personal baseline,early idea,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::B-001/B-014/B-015; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::S54,"Slow drift can hide serious disease, but evidence here supports visualization more strongly than automated prediction.",Needs prospective validation and false-positive monitoring before alerting.,Condition-specific trend studies and clinician workflow trials.
