feature_id,feature_name,package_filename,source_ids,evidence_ids,quote_ids,case_ids,review_ids,evidence_summary,evidence_strength,notes,date_packaged,research_topic
F012,Waiting-room and pre-triage deterioration check-in,unknown,unknown,Arrival; Assessment; Brian; C008; C009; Check; E004; E008; ED; Sinclair,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM02/FM04/FM05; evidence_items.csv::E004/E008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008/C009; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::arrival / registration; nurse triage / vitals,region-specific,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F013,Digital intake complexity escape hatch,unknown,unknown,C002; Digital; E006; E007; E011; Q005; S033,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E006/E007; quote Q005; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; evidence_items.csv::E006/E011; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; source S033 virtual-care evidence,strongly supported,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F014,Bias and misattribution guardrail,unknown,unknown,B-003; B-020; B-021; B-024; Bias; C008; C012; C014; C015; Could; E017; E018; Q009; Q010; Q012; Q013; Q014,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E017/E018; quotes Q012/Q013; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Bias/misattribution guardrail; B-003/B-020/B-021/B-024; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q009/Q010/Q014; cases C012/C014/C015; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008; cultural_black_zone_map.md,unsafe or needs caution,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F015,Lab trend and personal-baseline explorer,unknown,unknown,AChR; Anemia; B-001; B-014; B-015; Clinically; E015; R009; S54; Serial; Start,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-001/B-014/B-015; black_zones_by_patient_stage.csv::long-term monitoring; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E015; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R009; source S54,supported by some evidence,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F016,Pending-test discharge contract,unknown,unknown,B-012; B-017; C010; C011; Delayed; E004,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; B-012/B-017; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004,strongly supported,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F017,Cross-specialty pattern map,unknown,unknown,B-002; B-003; B-024; B-029; B-032; Complex; Cross; E013; E014; Encourages; Endometriosis; Symptom,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Cross-specialty referral map; B-002/B-003/B-024/B-029/B-032; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::patterns.md::wrong specialty or unclear referral pathway; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11,supported by some evidence,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F018,Patient-held record and out-of-system care import,unknown,unknown,B-031; Bedouin; C004; C005; CHW; E008; E009; SMS; Signals,unknown,unknown,unknown,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::evidence_items.csv::E008/E009; cases C004/C005; product_or_system_implications.md; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / home/community / rural settings; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-031,region-specific,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F019,"Language, interpreter and cultural-safety layer",unknown,unknown,Brian; C008; C009; C010; Catch; Connect; E003; ED; Queensland; S023; S024; S026; S027; S028; Sinclair,unknown,unknown,unknown,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::sources S023/S024/S026/S027/S028; cases C008/C009/C010; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / public health screening / community visit,region-specific,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F020,Low-resource diagnostic availability and stockout-aware plan,unknown,unknown,B-025; B-026; B-027; Blames; C005; C006; C007; CHW; CHWs; E010; E019; E020; RDT; Resource; SMS,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-025/B-026/B-027; product_opportunities.csv::Low-resource diagnostic availability layer; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C006/C007; evidence_items E010; product implications; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019/E020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12 and rural/low-resource clinic notes,region-specific,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F021,CHW and informal-provider referral capture mode,unknown,unknown,Assigns; C005; C007; CHW; Community; E010; E019; S012; S021; S38; S40; S41; S43,unknown,unknown,unknown,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C007; evidence_items E010; sources S012/S021; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12; sources S38/S40/S41/S43; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019,region-specific,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F022,Medication and access-as-diagnostic-clue capture,unknown,unknown,Ask; B-013; B-031; Current; E003,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Medication/access-as-diagnostic-clue; B-013/B-031; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::patterns.md::cost/transport/access barriers; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003,supported by some evidence,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F023,Note-diff and copied-forward detection,unknown,unknown,Diffs; E016; EHR; Research,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E016; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md::no one connected the dots; normal-test trap; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md::patient narratives reveal continuity failures,supported by some evidence,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F024,Workload-aware alert management and risk-ranked worklists,unknown,unknown,Actionable; Alert; Creates; E001; E011; E015; E021; EHR; Q003; Q008; Q010; Q011,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E011/E015/E021; quotes Q003/Q008/Q010/Q011; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::front-door workflows sort urgency before diagnosis; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md::over-alert risk,unsafe or needs caution,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F025,Patient/family deterioration escalation route,unknown,unknown,C003; C004; C008; C009; Clear; ED; Q004; Q008; R003; Rule; S036,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C004/C008; source S036 Martha’s Rule; quotes Q004/Q008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C003/C008/C009; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R003; quotes Q004,strongly supported,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
F026,Diagnosis-status clarity in patient portal,unknown,unknown,Diagnosis; Q007; Q011; Q012,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q007/Q011/Q012; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::record what remains unexplained,supported by some evidence,Generated from feature backlog evidence refs,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
