Flow ID,Care setting,Country/region,Flow map,Roles involved,Tools/forms/scores,Key data collected,Decision points,Black zones embedded,Source URLs,Evidence quality
FM11,Outpatient advice/direct diagnostics,England,"GP symptom concern -> specialist advice/guidance or straight-to-test -> diagnostic test/consultant review -> advice, appointment or treatment pathway -> safety-net","GP, specialist consultant, diagnostic service","e-RS advice, straight-to-test pathways","referral criteria, symptoms, prior tests, diagnostic question",can avoid first appointment? needs endoscopy/imaging?,rejected referral; advice-only drift; missing critical context,"https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/
https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services",medium
FM12,HWC community screening,India,Population empanelment -> ASHA/home contact -> HWC screening age 30+ -> CHO/doctor assessment -> referral for suspected NCD/cancer/mental health -> two-way follow-up,"ASHA, ANM/MPW, CHO, doctor, referral facility","HWC registry, screening forms, referral cards","household list, BP/glucose/cancer screen, mental health questionnaire",positive screen? needs referral? follow-up compliance?,positive screens not tracked; referral loop not closed; low-resource constraints,https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf,high
FM13,Rural OPD structured triage,Uganda,OPD arrival -> nurse applies IITT-adapted checklist/color category on chart -> emergency/urgent/non-urgent prioritisation -> clinician assessment -> treatment/referral/discharge,"OPD nurse, clinician, patient","IITT checklist, colour triage","presenting complaint, vitals, danger signs",emergency/urgent? wait priority?,undertriage; staff training; paper chart data not aggregated,https://link.springer.com/article/10.1186/s12245-025-01005-z,medium
FM14,Community child illness,Sub-Saharan Africa / LMIC,Caregiver/CHW contact -> CHW assesses fever/cough/diarrhoea and danger signs -> classifies/treats uncomplicated illness -> refers severe cases -> supervisor/facility follow-up,"CHW, caregiver, supervisor, referral facility",iCCM/IMCI algorithms,"symptoms, danger signs, treatment stock, referral advice",uncomplicated vs severe? has medicine? can refer?,stockout; referral transport; lack of counter-referral,"https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://www.childhealthtaskforce.org/hubs/iccm
https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme",medium-high
FM15,Family Health Strategy,Brazil,Geographic assignment -> CHW home visits/registers family -> notes symptoms/living conditions/adherence -> resolves low-level issue or relays/refers to nurse/physician -> primary-care follow-up,"CHW, nurse, physician, dental team, family","family registry, home visit notes","living conditions, symptoms, medication adherence, social needs",can CHW resolve? refer to nurse/physician? chronic follow-up needed?,community signals not structured; no closed loop to clinician,https://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workers,medium
FM16,Bowel cancer screening,England,Eligibility/GP register -> FIT kit mailed -> patient collects sample -> lab result -> no blood routine recall OR further tests -> specialist nurse -> usually colonoscopy -> result/follow-up,"screening programme, patient, lab, specialist nurse, colonoscopy team, GP","FIT kit, result letters","sample, result category, symptoms, colonoscopy outcome",blood detected? further tests? symptoms despite negative?,kit non-return; positive FIT no colonoscopy; false reassurance after negative,"https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/
https://www.cdc.gov/cancer/php/interventions/patient-navigation.html
https://www.sciencedirect.com/science/article/pii/S221133552300102X",high
FM17,Metabolic screening and guidance,Japan,Insurer eligibility age 40+ -> annual checkup/questionnaire/labs -> risk stratification -> information/motivational/proactive support -> 3+ month evaluation,"insurer, physician, public health nurse, nutritionist",Specific Health Checkup/Guidance stratification,"questionnaire, abdominal girth, BP, lipids, liver/metabolic labs, urinalysis",risk stratum? needs guidance? evaluation complete?,nonattendance; support drop-off; risk not connected to primary care,https://www.shoken-kenpo.or.jp/eng/member/checkup/measure.html,medium
FM18,National screening,South Korea,NHIS eligibility notice -> patient schedules/visits authorized hospital with ID/card -> screening -> results mailed -> confirmation checkup if suspected disease,"NHIS, authorized hospital/clinic, patient",NHIS screening programme,"eligibility, fasting, test results, suspected disease flag",needs confirmation? result understood?,mail result not understood; confirmation follow-up gap,https://www.nhis.or.kr/english/wbhe/policies/NationalHealthScreeningProgram.html,medium
FM19,Nonspecific cancer pathway,Denmark,GP sees symptoms -> alarm symptoms to organ-specific CPP OR serious nonspecific symptoms -> initial tests/blood panel -> diagnostic centre -> cancer/serious disease work-up,"GP, diagnostic centre, hospital specialists","CPP/NSSC pathway, GP gut feeling, blood panel","weight loss, fatigue, abnormal bloods, fever, pain, GP gut feeling",alarm vs nonspecific? tests inconclusive? diagnostic centre?,patients below criteria; vague symptoms managed locally without robust safety net,"https://www.all-can.org/efficiency-hub/danish-cancer-patient-pathways-three-legged-strategy-for-faster-referral-and-diagnosis-of-cancer/
https://www.nature.com/articles/s41416-024-02620-y",medium-high
FM20,HMO diagnostic services,Israel,Family doctor/HMO clinician referral -> collection/imaging site intake -> test performed -> result disseminated to physician computer/user station; teleradiology if distant -> clinician/patient follow-up,"family doctor, collection site staff, lab/radiology specialist, patient","HMO EMR, computerized lab and teleradiology systems","referral, sample/image, result, mammography follow-up program",result normal/abnormal? action documented?,result availability without action; alert fatigue; patient notification gap,"https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/
https://www.maccabi4u.co.il/en/46562/main_english/our-healthcare-system/diagnostic-services/",medium
