case_id,research_topic,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
C032,Real health-system patient flows for identifying health issues,S32,Reach and effectiveness of a centralized navigation program for patients with positive FITs,US: North Carolina,community health center / public health screening,abnormal result not followed up; patient self-advocacy required; no follow-up ownership,colorectal cancer risk after abnormal FIT,"mailed FIT, abnormal FIT result, barriers, colonoscopy completion","Mailed FIT outreach identified abnormal results; centralized patient navigation addressed informational, emotional, financial and transport barriers to colonoscopy.",Identified: abnormal FIT needing colonoscopy; missed: patients not reached or declining navigation remain at risk.,follow-up within 9 months measured,unknown,Abnormal screening is only useful if diagnostic colonoscopy happens.,Track abnormal-screen closure and navigator barrier categories to completion.,https://www.sciencedirect.com/science/article/pii/S221133552300102X,medium,Implementation study in FQHC safety-net setting; strong fit to product workflows.,2026-05-30
C033,Real health-system patient flows for identifying health issues,S33,Implementing a successful patient navigation program for follow-up colonoscopy after abnormal FIT,US: Washington state,community health center / screening,referral delay; fragmented care; documentation error,abnormal FIT requiring colonoscopy,"FIT result, navigator documentation, GI partnership, workload","PRECISE trial implementation support trained navigators and documented challenges in workload, documentation, partnerships and tracking.",Identified: implementation barriers to closing abnormal FIT follow-up.,varies,unknown,"Navigation fails if it is not staffed, documented, partnered and tracked.","Build navigator work queues, cross-organization data sharing and colonoscopy-status reconciliation.",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659,medium,Recent implementation lessons for community health settings.,2026-05-30
C034,Real health-system patient flows for identifying health issues,S34,Bowel cancer screening,England,public health screening,normal-test trap; no follow-up ownership,bowel cancer,"home FIT blood detection, result letter, specialist nurse appointment, colonoscopy, symptoms despite negative test",Eligible people receive FIT at home; results usually within 2 weeks; further tests lead to specialist nurse and usually colonoscopy; negative screen does not rule out cancer if symptoms occur.,Identified: occult blood needing diagnostic work-up; missed: symptomatic people reassured by negative screening result.,result usually within 2 weeks,unknown,Screening can create false reassurance if symptoms are separated from screening result interpretation.,Pair negative results with symptom-trigger advice and GP follow-up prompts.,https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/,high,Patient-facing pathway; strong flow map source.,2026-05-30
C035,Real health-system patient flows for identifying health issues,S35,Breast screening programme: pathway requirements,England,public health screening,no follow-up ownership; abnormal result not followed up; patient self-advocacy required,breast cancer,"invitation batch, mammogram, non-attendance, technical recall, abnormal mammogram, biopsy/MDT","Programme sends invitations, performs mammography, recalls non-attenders/technical failures, and sends abnormal cases to assessment clinic/MDT.","Identified: mammographic abnormalities; missed: non-attendance, unclear images, communication failures.",pathway-specific,unknown,Population screening has a built-in non-attendance black zone.,"Track invitations to attendance to result to assessment closure, including failed contacts.",https://www.gov.uk/government/publications/breast-screening-programme-pathway-requirements/breast-screening-programme-pathway-requirements,high,National screening pathway source.,2026-05-30
C036,Real health-system patient flows for identifying health issues,S37,Patient Navigation,US,public health screening / community,fragmented care; patient self-advocacy required; referral delay,"breast, cervical, colorectal cancer screening and diagnosis","transportation, caregiving, understanding, language, mistrust, fear barriers","CDC describes navigators helping people overcome practical, informational and trust barriers to screening and diagnosis.",Identified: access barriers; missed: patients who disappear between positive screen and diagnostic test.,varies,unknown,The problem is often not clinical detection but completion of the next step.,"Barrier taxonomy should be part of follow-up workflow, not free-text only.",https://www.cdc.gov/cancer/php/interventions/patient-navigation.html,high,Public health source for patient navigation design.,2026-05-30
C037,Real health-system patient flows for identifying health issues,S38,Ayushman Bharat: Comprehensive Primary Health Care through Health and Wellness Centres,India,community health center / rural clinic,referral delay; no follow-up ownership; lab trend missed,"hypertension, diabetes, oral/breast/cervical cancer, mental health, child illness and broader PHC","population empanelment, age 30+ screening, household/community contact, referral and compliance","HWCs use empanelment, home/community interaction and universal screening to identify risks before clinic attendance; CHO leads HWC team and referrals.",Identified: hidden NCD/cancer risk; missed: follow-up/compliance if referral loop is not closed.,screening cycle varies,unknown,Community screening creates many positive signals that need tracking beyond the first contact.,"Use community registry, positive-screen worklist and two-way referral closure with ASHA follow-up.",https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf,high,Government operational guidelines; rich low-resource workflow source.,2026-05-30
C038,Real health-system patient flows for identifying health issues,S39,Integrated Management of Childhood Illness,LMIC / global,low-resource clinic,red flag missed; referral delay; incomplete history,"childhood illnesses including pneumonia, diarrhoea, malaria, malnutrition","history, signs, symptoms, danger signs, caregiver counselling needs","IMCI uses evidence-based algorithms based on history/signs/symptoms when lab/radiology support is limited; includes treatment, counselling and referral for severe illness.",Identified: severe illness and common syndromes without diagnostics; missed: atypical illness not covered by algorithm or supply/referral gaps.,none,unknown,Low-resource workflows depend heavily on algorithms and referral availability.,"Show algorithm branch, missing supplies/tests and referral transport feasibility as workflow state.",https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/,high,WHO source for low-resource diagnostic flow.,2026-05-30
C039,Real health-system patient flows for identifying health issues,S40,Integrated Community Case Management (iCCM),LMIC / hard-to-reach communities,home/community visit,referral delay; poor handoff; low-resource supply gap,"malaria, pneumonia, diarrhoea in children under five","fever, cough/fast breathing, diarrhoea/dehydration signs, danger signs",iCCM trains/supplies CHWs to diagnose/classify/treat uncomplicated cases and refer severe illness.,"Identified: common child illnesses outside facilities; missed: severe cases if CHW stockout, training gaps or referral failure.",none,unknown,"The first diagnostic encounter may happen at home, not a clinic.",Design offline-first CHW decision support with danger-sign escalation and referral feedback.,https://www.childhealthtaskforce.org/hubs/iccm,medium,Global child-health programme documentation.,2026-05-30
C040,Real health-system patient flows for identifying health issues,S41,Community-based case management: the RAcE programme,"DRC, Malawi, Mozambique, Niger, Nigeria",home/community visit,poor handoff; no follow-up ownership; fragmented care,"malaria, pneumonia, diarrhoea in under-five children","fever, respiratory symptoms, diarrhoea, danger signs","RAcE supported iCCM scale-up through CHW training, supplies and diagnosis/treatment/referral in five countries.","Identified: millions of common illness episodes; missed: sustainability, supervision and integration challenges.",programme period 2012-2018,unknown,Community programmes can generate care access but require supervision and integration with facilities.,"Add supervision, stock, referral and outcome data to CHW workflows.",https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,medium,Programme-scale low-resource evidence.,2026-05-30
C041,Real health-system patient flows for identifying health issues,S42,Effectiveness of a structured triage system in a resource-limited rural hospital in Uganda,Uganda,rural clinic,red flag missed; arrival; poor handoff,urgent/emergency cases among general OPD patients,"IITT checklist colour category, presenting complaint, vital signs, urgency/emergency classification",Rural OPD implemented IITT-adapted structured triage using a three-colour checklist on charts and short training; patient flow improved without added resources.,Identified: urgent/emergency cases earlier; missed: undertriage still possible and formal triage requires staff buy-in.,time to provider reduced 23 minutes; total OPD stay reduced 35 minutes,unknown,"In many rural OPDs, primary and emergency care share a front door with no formal triage.",Low-cost triage checklists can be embedded into paper charts and later digitized.,https://link.springer.com/article/10.1186/s12245-025-01005-z,medium,Real-world QI study in rural Uganda.,2026-05-30
C042,Real health-system patient flows for identifying health issues,S43,Brazil's Family Health Strategy: Using Community Health Workers to Provide Primary Care,Brazil,home/community visit,fragmented care; no one connected the dots; documentation error,"chronic disease, minor illness, social risk, preventive care","family registration, living conditions, medication adherence, symptoms noted at home","CHWs provide home basic care, register families, relay information to teams, resolve low-level problems and refer complex problems.",Identified: hidden needs and chronic disease adherence issues; missed: signals may be lost if CHW observations do not reach nurse/physician workflow.,longitudinal,unknown,Community knowledge is powerful but can be under-documented or poorly integrated into clinical records.,Create structured CHW observation fields and escalation pathways into primary-care team huddles.,https://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workers,medium,Health-system case study; strong real-world community flow.,2026-05-30
C043,Real health-system patient flows for identifying health issues,S44,HEARTS in the Americas: Hypertension Clinical Pathways,Latin America / Caribbean,community health center / primary care,lab/vital trend missed; no follow-up ownership,hypertension and cardiovascular risk; diabetes/CKD integration,"blood pressure measurement, CVD risk, diabetes/CKD status, standardized protocol step","PAHO HEARTS clinical pathways standardize treatment protocols, proper BP measurement and cardiovascular risk assessment in PHC.","Identified: hypertension and CVD risk; missed: poor BP technique, lack of treatment intensification or follow-up.",longitudinal,unknown,"Screening must connect to protocolized treatment and follow-up, not just identify high BP.","Track BP measurement quality, risk category, protocol step, medication intensification and return date.",https://www.paho.org/en/hearts-americas/hypertension-clinical-pathways,high,"Regional implementation source, not a single clinic case.",2026-05-30
C044,Real health-system patient flows for identifying health issues,S45,Specific health checkup and specific health guidance,Japan,public health screening,no follow-up ownership; normal-test trap,metabolic syndrome / lifestyle disease risk,"questionnaire, abdominal girth, BP, lipids, liver/metabolic labs, urinalysis/kidney, ECG/fundus if indicated","Specific health checkups screen insured people/dependents age 40+; results stratify into information provision, motivational support or proactive support.",Identified: metabolic risk; missed: people outside eligibility/attendance or follow-up lifestyle support.,annual screening; 3+ month guidance evaluation,unknown,Preventive flow identifies risk before symptoms but depends on participation and sustained behaviour support.,"Link screening results to risk stratum, guidance plan, 3-month review and primary-care referral if needed.",https://www.shoken-kenpo.or.jp/eng/member/checkup/measure.html,medium,Insurer programme source; East Asia preventive flow.,2026-05-30
C045,Real health-system patient flows for identifying health issues,S46,National Health Screening Program,South Korea,public health screening,abnormal result not followed up; no follow-up ownership,general health risks and cancers,"screening eligibility, authorized hospital visit, ID/checkup card, fasting status, results, suspected disease confirmation checkup","Patient checks eligibility, visits authorized hospital with ID/checkup card, receives results by mail; suspected disease may receive confirmation checkup.","Identified: screen-positive or suspected disease; missed: non-attendance, inaccurate results if pre-test instructions not followed, confirmation follow-up gap.",periodic national screening,unknown,Screening result delivery by mail does not ensure comprehension or completion of confirmation testing.,Use confirmation-test tracking and patient-language result explanations.,https://www.nhis.or.kr/english/wbhe/policies/NationalHealthScreeningProgram.html,medium,Official national screening flow source.,2026-05-30
C046,Real health-system patient flows for identifying health issues,S47,Danish Cancer Patient Pathways: three-legged strategy,Denmark,primary care / specialist clinic,rare disease delay; referral delay; no one connected the dots,suspected cancer with alarm or nonspecific symptoms,"alarm symptoms, serious nonspecific symptoms, vague low-risk symptoms, GP gut feeling, blood tests",Three-legged strategy: urgent alarm symptoms to organ-specific pathways; serious nonspecific symptoms to tests and diagnostic centres; vague low-risk symptoms managed by GP with diagnostic access.,Identified: cancers without alarm symptoms; missed: vague symptoms if GP access to diagnostics is limited or safety-netting weak.,reported diagnosis wait reductions in case-study evidence,unknown,"Countries need a route for serious nonspecific symptoms, not only organ-specific red flags.","Create nonspecific-symptom pathways with GP gut-feeling field, blood-panel bundle and diagnostic-centre referral.",https://www.all-can.org/efficiency-hub/danish-cancer-patient-pathways-three-legged-strategy-for-faster-referral-and-diagnosis-of-cancer/,medium,Health-system case study of a distinctive diagnostic pathway model.,2026-05-30
C047,Real health-system patient flows for identifying health issues,S48,Risk of cancer and serious disease in Danish patients with urgent referral for NSSC,Denmark,specialist clinic / diagnostic centre,rare disease delay; referral delay; normal-test trap,non-specific symptoms and signs of cancer,"weight loss, fatigue, fever, malaise, diffuse pain, abnormal blood samples, GP gut feeling",Cohort study of urgent referral to Denmark's non-organ-specific cancer pathway; around one fifth had cancer.,Identified: substantial cancer prevalence among non-specific symptom referrals; missed: patients with serious symptoms outside pathway criteria.,2014-2021 cohort,unknown,Nonspecific symptoms can represent high-yield diagnostic risk when systematically routed.,"Support structured referral for uncertainty, not just classic red flags.",https://www.nature.com/articles/s41416-024-02620-y,high,Peer-reviewed evidence for nonspecific symptom diagnostic pathways.,2026-05-30
C048,Real health-system patient flows for identifying health issues,S49,Healthcare Israel,Israel,primary care,lab trend missed; no one connected the dots,broad primary-care and chronic disease,"family doctor history, HIE/EMR data, quality indicators, follow-up measures",Israel's HMO-based system begins with family doctor/community health centers and uses longstanding digital records/HIE to give clinicians historical data at point of care.,Identified: strong longitudinal data infrastructure; missed: data availability does not guarantee synthesis of trends or patient narrative.,longitudinal,unknown,Digitized history reduces fragmentation but still requires pattern recognition and alert design.,"Use longitudinal problem timelines and trend alerts, not just data access.",https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/,medium,Health-system overview; not a single clinical workflow manual.,2026-05-30
C049,Real health-system patient flows for identifying health issues,S50,Maccabi Healthcare Services: Diagnostic Services,Israel,hospital outpatient / diagnostic services,abnormal result not followed up; no follow-up ownership,conditions requiring lab/imaging/cardiac diagnostics,"physician referral, collection site intake, test performance, result dissemination to physician computer/user stations, teleradiology",Diagnostic services are computerized from referral through collection/test and result delivery to physician and user stations; teleradiology centralizes interpretation for distant sites.,Identified: lab/imaging workflow and result dissemination; missed: action on result still depends on clinician/patient follow-up loop.,varies,unknown,Result delivery is not the same as result action.,Link diagnostic-result delivery to acknowledgment and documented clinical next step.,https://www.maccabi4u.co.il/en/46562/main_english/our-healthcare-system/diagnostic-services/,medium,HMO service description; useful Israel/Middle East workflow example.,2026-05-30
C050,Real health-system patient flows for identifying health issues,S52,"Data analysis reveals common errors that prevent patients from getting timely, accurate diagnoses",US,cross-setting,documentation error; poor handoff; abnormal result not followed up,varied diagnostic errors,"test order, specimen, processing, result communication, monitoring, referral/consultation","Analysis of >3,000 diagnostic safety events found many errors in the testing process plus monitoring/follow-up and referral/consultation phases.","Missed/delayed: diagnoses due to technical, administrative and communication failures.",varies,unknown,"Diagnostic failure is often an operations/communication problem, not just cognitive error.","Instrument handoffs: order-to-result, result-to-action, referral-to-appointment and missed-appointment loops.",https://home.ecri.org/blogs/ecri-news/data-analysis-reveals-common-errors-that-prevent-patients-from-getting-timely-accurate-diagnoses,medium,Good source for cross-setting black-zone prioritization.,2026-05-30
C051,Real health-system patient flows for identifying health issues,S53,Undiagnosed: When Your Rare Diagnosis Comes 30 Years Late,US,specialist clinic / rare disease,rare disease delay; patient self-advocacy required; no one connected the dots,rare congenital/neurologic condition,"longstanding symptoms, patient research, specialist suspicion, MRI/neurosurgical review",Patient story describes self-advocacy leading to specialist programme review and eventual rare diagnosis after decades.,Missed/delayed: rare diagnosis across many earlier encounters.,about 30 years,unknown,Rare disease patients often carry the pattern across disconnected visits themselves.,Give patients a longitudinal symptom/problem timeline they can share across systems.,https://rarediseases.org/undiagnosed-when-your-rare-diagnosis-comes-30-years-late/,low,"Patient story, useful for unusual-flow capture; low generalizability.",2026-05-30
C052,Real health-system patient flows for identifying health issues,S54,Living with CKD: diagnosis experiences,UK,primary care / chronic disease,chronic illness invalidation; lab trend missed; documentation error,chronic kidney disease,"dismissed symptoms, communication issues, unseen records, kidney function results","Advocacy patient stories describe how CKD diagnosis experiences can involve communication problems, dismissed symptoms and records not seen.",Missed/delayed: chronic disease recognition or patient understanding.,varies,unknown,Chronic illness identification can fail even when data exists if communication/records are not visible.,Pair lab trend alerts with patient-facing explanations and record visibility checks.,https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/,low,"Patient-story source; useful qualitative signal, not a systematic estimate.",2026-05-30
C053,Real health-system patient flows for identifying health issues,S56,Types and Origins of Diagnostic Errors in Primary Care Settings,US,primary care,incomplete history; physical exam missed; repeated visits ignored,varied common diseases with potential harm,"history-taking, exam, ordering diagnostic tests, follow-up visits/ED/hospitalization triggers",Study identified primary-care diagnostic errors using EHR triggers such as unplanned hospitalization/return visits/ED visits after index primary-care encounter.,"Missed/delayed: common diseases; process breakdowns in patient-practitioner encounter, history, exam and workup ordering.",varies,unknown,The highest-yield diagnostic signals may appear only after a return visit or hospitalization.,Use trigger tools to surface unplanned returns after recent visits and prompt diagnostic review.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,high,Peer-reviewed diagnostic-error study; old but foundational.,2026-05-30
