case_id,research_topic,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged
B-016,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Missing a Large Vessel Occlusion Stroke in a Patient with a History of Seizures,United States,emergency department; specialist review; inpatient ward,nurse triage; first clinician assessment; imaging ordered; specialist review,Large-vessel occlusion ischemic stroke,unknown,unknown,unknown,unknown,unknown,unknown,Stroke-first pathway: require LVO exclusion before seizure explanation when focal deficits persist or presentation is high-risk.,https://psnet.ahrq.gov/web-mm/missing-large-vessel-occlusion-stroke-patient-history-seizures,high,A normal noncontrast CT does not rule out early ischemic stroke/LVO.,2026-05-30
B-017,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,Critical Echocardiogram Result Lost to Follow-up,United States,inpatient ward; discharge; skilled nursing facility; repeat admission,imaging interpretation; discharge; follow-up; repeat visit,Endocarditis / infected pacemaker wires,unknown,unknown,unknown,unknown,unknown,unknown,"Discharge-pending-test dashboard with responsible owner, recipient, criticality, and closure proof.",https://psnet.ahrq.gov/web-mm/critical-echocardiogram-result-lost-follow,high,"This case bridges hospital, resident workflow, and SNF handoff.",2026-05-30
B-018,"Research B - missed signals, diagnostic errors, and late discovery cases",S-005,Failures in communication or follow-up of unexpected significant radiological findings,England / United Kingdom,emergency department; hospital outpatient; referral,imaging interpretation; discharge; referral; follow-up,Possible lung cancer or other unexpected significant radiology finding,unknown,unknown,unknown,unknown,unknown,unknown,Create radiology finding lifecycle: unexpected finding -> recipient acknowledgment -> patient notification -> referral action -> closure.,https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/investigation-report/,high,System-level investigation rather than single patient case; retained because it documents real workflow failures.,2026-05-30
B-019,"Research B - missed signals, diagnostic errors, and late discovery cases",S-006,Woman diagnosed with terminal cervical cancer after NHS missed smear tests,England / United Kingdom,public health screening; specialist clinic; hospital outpatient,public health screening; lab interpretation; diagnosis discussion; follow-up,Cervical cancer,unknown,unknown,unknown,unknown,unknown,unknown,"Screening safety layer: patient-visible abnormal-history timeline, second-review triggers, and symptom/result reconciliation.",https://www.independent.co.uk/news/health/cervical-cancer-screens-misdiagnosis-nhs-b2563898.html,medium,"Use cautiously: source is journalism, but cites legal admission/settlement and trust response.",2026-05-30
B-020,"Research B - missed signals, diagnostic errors, and late discovery cases",S-007,"Long covid and medical gaslighting: Dismissal, delayed diagnosis, and deferred treatment",United States,primary care; specialist clinic; telehealth,first clinician assessment; medical history; diagnosis discussion; referral; long-term monitoring,Long COVID / post-acute sequelae of COVID-19,unknown,unknown,unknown,unknown,unknown,unknown,Capture patient-generated longitudinal symptom burden and prevent closure solely because routine tests are normal.,https://www.sciencedirect.com/science/article/pii/S2667321522001299,medium,Not one case; included as documented patient-voice pattern.,2026-05-30
B-021,"Research B - missed signals, diagnostic errors, and late discovery cases",S-008,Dysautonomia International POTS Patient Survey,International / mostly patient-reported,primary care; emergency department; specialist clinic,medical history; first clinician assessment; referral; specialist review; long-term monitoring,Dysautonomia / POTS,unknown,unknown,unknown,unknown,unknown,unknown,Add orthostatic-vital workflow and patient-triggered POTS screener for recurrent tachycardia/dizziness/fatigue complaints.,https://www.dysautonomiainternational.org/page.php?ID=184,medium,Survey has advocacy-source limitations but valuable patient voice and numeric delay pattern.,2026-05-30
B-022,"Research B - missed signals, diagnostic errors, and late discovery cases",S-009,"Devon woman with ME asked GP to help her get enough food to live, inquest hears",England / United Kingdom,primary care; hospital inpatient; home/community visit,before visit; first clinician assessment; inpatient assessment; discharge; long-term monitoring,Severe ME/CFS with malnutrition/dehydration risk,unknown,unknown,unknown,unknown,unknown,unknown,"Track functional intake, hydration, and care capacity as clinical red flags, not just social notes.",https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears,medium,Highly sensitive case; included with minimal public details.,2026-05-30
B-023,"Research B - missed signals, diagnostic errors, and late discovery cases",S-010,"After Fighting to Receive a Lupus Diagnosis, I'm Making Sure Others Feel Seen",United States,primary care; specialist clinic,medical history; labs ordered; lab interpretation; referral; patient self-advocacy,Lupus / systemic autoimmune disease,unknown,unknown,unknown,unknown,unknown,unknown,"Give patients structured way to upload symptom photos, family history, and flare timelines; flag repeated systemic symptoms even with normal basic labs.",https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999,low,"Patient-story evidence; useful for voice/pattern, not incidence.",2026-05-30
B-024,"Research B - missed signals, diagnostic errors, and late discovery cases",S-011,Claire's Story: Gender Bias & the Long Road to Diagnosis,United States,primary care; specialist clinic; inpatient ward; emergency department,medical history; referral; specialist review; repeat visit; emergency escalation,Crohn's disease / inflammatory bowel disease,unknown,unknown,unknown,unknown,unknown,unknown,"Use red-flag pediatric/adolescent GI triggers: weight loss, fractures/malnutrition, recurrent admissions, infections, and persistent abdominal pain.",https://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/,low,Patient-story evidence; included for bias/young-woman workflow pattern.,2026-05-30
B-025,"Research B - missed signals, diagnostic errors, and late discovery cases",S-012,"Pathways to cervical cancer diagnosis among women in Accra, Ghana",Ghana,primary care; hospital outpatient; public health screening; traditional/community care,before visit; first clinician assessment; referral; labs/imaging ordered; repeat visit,Cervical cancer,unknown,unknown,unknown,unknown,unknown,unknown,Design culturally aware referral prompts and community-to-clinic escalation tools for persistent gynecologic symptoms.,https://doaj.org/article/7ae6f62fe6174a639fc8a63fd8a97cfd,medium,Important non-US/Europe pattern: hospital misses plus traditional-care pathway.,2026-05-30
B-026,"Research B - missed signals, diagnostic errors, and late discovery cases",S-013,Barriers to prompt and effective malaria treatment among children in western Kenya,Kenya,community health center; rural clinic; low-resource clinic,before visit; nurse triage; labs ordered; lab interpretation; treatment decision,Malaria / febrile illness in children,unknown,unknown,unknown,unknown,unknown,unknown,"Expose stockout-aware decision support: if RDT unavailable, record reason, alternative testing/referral, and follow-up safety net.",https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0001532,high,"Included as low-resource workflow documentation, not a single missed-diagnosis case.",2026-05-30
B-027,"Research B - missed signals, diagnostic errors, and late discovery cases",S-014,Malaria rapid diagnostic test stockouts and health facility readiness in Mozambique,Mozambique,low-resource clinic; public health screening; community health center,labs ordered; lab interpretation; treatment decision; public health surveillance,Malaria / febrile illness,unknown,unknown,unknown,unknown,unknown,unknown,Integrate diagnostic stock telemetry into triage and surveillance; trigger restock/escalation before depletion.,https://link.springer.com/article/10.1186/1475-2875-13-295,high,Useful contrast to high-resource failures: missed signals can start in supply chain.,2026-05-30
B-028,"Research B - missed signals, diagnostic errors, and late discovery cases",S-015,"COVID-19 and Tuberculosis Co-Occurrence and Missed Opportunities for Diagnosis, California, USA, 2020","California, United States",emergency department; urgent care; primary care; inpatient ward,first clinician assessment; labs/imaging ordered; repeat visit; diagnosis discussion,Tuberculosis with COVID-19 co-occurrence or differential,unknown,unknown,unknown,unknown,unknown,unknown,"Differential guardrail for syndromic overlap: when COVID is positive but TB risk/imaging exists, require TB-test decision capture.",https://wwwnc.cdc.gov/eid/article/30/1/23-0924_article,high,Important example of context-driven anchoring.,2026-05-30
B-029,"Research B - missed signals, diagnostic errors, and late discovery cases",S-004,A woman with recurrent pneumothoraces due to lymphangioleiomyomatosis attack,United States,emergency department; specialist clinic,emergency escalation; imaging interpretation; referral; repeat visit,Lymphangioleiomyomatosis (LAM),unknown,unknown,unknown,unknown,unknown,unknown,Turn radiology pattern + demographic + recurrence into referral prompts for rare but serious diseases.,https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies,medium,Case catalog gives summary-level details rather than full report.,2026-05-30
B-030,"Research B - missed signals, diagnostic errors, and late discovery cases",S-004,"Multiple clinicians, multiple diagnoses and no timely ultrasound for testicular torsion",United States,emergency department; urgent care,arrival; first clinician assessment; physical exam; imaging ordered; repeat visit; emergency escalation,Testicular torsion,unknown,unknown,unknown,unknown,unknown,unknown,"For adolescent male abdominal pain/vomiting, force testicular symptom/exam prompt and urgent ultrasound timer.",https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies,medium,Included because it maps a common stage failure: repeat visits without urgent imaging.,2026-05-30
B-031,"Research B - missed signals, diagnostic errors, and late discovery cases",S-004,Lack of insurance and primary care disrupts workup for suspected colon cancer,United States,primary care; emergency department; hospital outpatient,before visit; medical history; referral; follow-up; emergency escalation,Colon cancer,unknown,unknown,unknown,unknown,unknown,unknown,Offer safety-net tracking for uninsured/high-risk patients with family-history red flags and incomplete workups.,https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies,medium,Useful access-to-diagnosis example; summary-level detail only.,2026-05-30
B-032,"Research B - missed signals, diagnostic errors, and late discovery cases",S-004,Myasthenia gravis is diagnosed after a routine outpatient visit,United States,urgent care; primary care; specialist clinic,first clinician assessment; medical history; referral; specialist review; follow-up,Myasthenia gravis,unknown,unknown,unknown,unknown,unknown,unknown,Use progressive nonspecific-symptom timelines plus neuromuscular checklists before closing as routine fatigue/weight loss.,https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies,medium,Summary-level evidence; included for rare disease and elderly missed diagnosis coverage.,2026-05-30
