evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E011,Research D — clinician-side pain points in identifying health issues early,S011,workflow_obstacle,England,acute NHS hospitals,"doctors, nurses, managers, patient-safety staff",all stages / shifts / handoffs,fatigue and burnout,"fatigue, concentration, empathy, medication safety",Staff fatigue contributes directly and indirectly to patient harm but is not routinely captured.,HSSIB gathered staff accounts and safety-system findings.,Fatigue as system risk was identified.,"Attentional lapses, communication problems, or task omissions can be missed.",long shifts; staffing pressure; inadequate fatigue governance,patient harm and staff retention risk,high,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,Fatigue-aware task routing and second-check triggers for high-risk diagnostic tasks.,unknown,2026-05-30
E012,Research D — clinician-side pain points in identifying health issues early,S014,workflow_obstacle,Ghana,"referral hospitals: ED, ICU, wards, maternity","nurses, midwives, staff nurses",handover / inpatient monitoring,handoff failure,"diagnosis, medications, treatment plan","Poor handover communication was linked to documentation, training, procedure, and culture barriers.",Qualitative interviews described communication barriers during handovers.,Handover barriers were identified.,"Diagnosis, medications, treatment changes, and pending tasks may be missed.",poor documentation; lack of formal procedure; interpersonal barriers,diagnostic/treatment errors and complications risk,medium,https://www.sciencedirect.com/science/article/pii/S266732152400091X,"Standardized handoff object with diagnosis, uncertainty, pending tests, watch-outs, and next owner.",unknown,2026-05-30
E013,Research D — clinician-side pain points in identifying health issues early,S017,workflow_obstacle,United States,primary/specialty care,PCPs and specialists,referral / specialist review / feedback,specialist communication,referral question and consult result,Communication gaps remained despite EHR diffusion.,Survey identified persistent PCP-specialist communication gaps.,Need for better communication was identified.,Specialist feedback or PCP clinical question may not connect.,silos; fragmented EHR workflows,missed follow-up or unclear next step,medium-high,https://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/,"Referral object with clinical question, urgency, attachments, consultant response, next owner.",unknown,2026-05-30
E014,Research D — clinician-side pain points in identifying health issues early,S016,workflow_obstacle,United States,primary-specialty referrals,"PCPs, specialists, coordinators",referral / appointment completion / follow-up,referral loop failure,diagnostic referral completion,Closed diagnostic referral loops remain a safety problem.,Systems-engineering analysis described failures and redesign approaches.,Referral-loop failure points were identified.,Specialist evaluation or test may be missed.,unclear ownership; scheduling and feedback gaps,delays and failed completion,medium-high,https://bmjopenquality.bmj.com/content/10/4/e001603,Closed-loop referral tracker with due dates and exception handling.,unknown,2026-05-30
E015,Research D — clinician-side pain points in identifying health issues early,S018,workflow_obstacle,United States,EHR test-result management,residents and fellows,abnormal result management,EHR usability,abnormal test results,Enhanced usability and longitudinal tracking lowered cognitive workload and improved abnormal-result management.,Simulation compared EHR designs.,Usability and longitudinal tracking benefits were identified.,Abnormal results can be lost in poor interfaces.,poor usability; cognitive workload,missed action on abnormal tests,medium-high,https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/,Longitudinal test-trend view and task-state tracking.,unknown,2026-05-30
E016,Research D — clinician-side pain points in identifying health issues early,S019,workflow_obstacle,United States,EHR documentation across settings,clinicians and trainees,history review / specialist review / handoff,note bloat,critical information in clinical notes,Long and redundant notes can obscure important information.,Review/commentary described note growth and redundancy.,Documentation burden and obscured information were identified.,"New facts, changed assessment, and unresolved problems may be hidden.",copy-forward; billing/documentation incentives,hard-to-read history and handoff risk,medium,https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/,"Note-diff, copied-forward detection, concise problem timeline.",unknown,2026-05-30
E017,Research D — clinician-side pain points in identifying health issues early,S020,experimental_finding,Netherlands,diagnostic reasoning experiments,doctors/residents,first assessment,bias and labels,difficult patient behavior,Difficult patient behavior negatively affected diagnostic performance in experiments.,Physicians reviewed vignettes with disruptive behaviors.,Effect of patient behavior on reasoning was identified.,Correct diagnosis behind behavior could be missed.,negative emotion; cognitive bias,diagnostic accuracy reduction in experiments,medium,https://qualitysafety.bmj.com/content/26/1/13,Bias-aware diagnostic pause when stigmatizing labels or difficult interactions appear.,unknown,2026-05-30
E018,Research D — clinician-side pain points in identifying health issues early,S021,workflow_obstacle,United Kingdom,ED and psychiatric liaison,"ED doctors, nurses, psychiatric liaison teams",ED assessment,diagnostic overshadowing,physical symptoms in patients with mental illness,Physical symptoms may be misattributed to mental illness.,Qualitative study explored diagnostic overshadowing and ED challenges.,Diagnostic overshadowing risk was identified.,Physical illness can be missed when symptoms are attributed to psychiatric causes.,mental-health misattribution; bias,missed physical illness risk,medium,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682,Medical red-flag checklist for mental-health presentations and vitals/baseline trend display.,unknown,2026-05-30
E019,Research D — clinician-side pain points in identifying health issues early,S022,workflow_obstacle,India,rural / community health,"ASHAs, VHNs, ANMs, CHWs",screening / referral / follow-up,low-resource early detection,"cervical, breast, oral cancer signs",CHWs reported barriers to early cancer detection and referral.,"Qualitative study identified training, infrastructure, referral, fear, finance, and sociocultural barriers.",Community-level barriers were identified.,Early cancer signs and referral completion may be missed.,limited training; infrastructure; referral barriers; sociocultural beliefs,delayed cancer detection risk,medium-high,https://link.springer.com/article/10.1186/s12889-025-22735-y,"CHW decision support, local-language education, referral navigation, follow-up queue.",unknown,2026-05-30
E020,Research D — clinician-side pain points in identifying health issues early,S023,systematic_context,Global / LMIC,low-resource primary care,"primary care clinicians, labs, health systems",labs ordered / imaging ordered / public screening,diagnostic access,basic diagnostics for common diseases,Large global diagnostic-access gap limits confirmation and monitoring.,Lancet Commission summary documented inadequate access to diagnostics.,Access gap was identified.,Conditions may remain unconfirmed or unmonitored.,diagnostic scarcity; infrastructure limits,delayed or absent diagnosis in low-resource contexts,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,"Resource-aware workflows, point-of-care test inventory, offline referral escalation.",unknown,2026-05-30
E021,Research D — clinician-side pain points in identifying health issues early,S024,clinician_commentary,United States,emergency department,emergency clinicians / designers,assessment / EHR review,real workflow visibility,ED diagnostic context,Clinician commentary emphasized observing the actual clinician screen and workflow.,Podcast/blog commentary discussed diagnostic-error reduction in ED.,Need for workflow-grounded design was identified.,"Prior history, pending tests, and red flags may be scattered.",information scattering; interface burden,diagnostic context may be missed,low-medium,https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.html,Field observation and screen-level workflow mapping before designing tools.,unknown,2026-05-30
