map_id,feature_id,feature_name,evidence_ref,v1_mapping,evidence_strength,risk_level,notes,date_packaged
WB2-F012-E01,WB2-F012,Repeat-visit and persistence view,Research F PI003,M11/M12; timeline; M22,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F012-E02,WB2-F012,Repeat-visit and persistence view,SHM FEAT007,M11/M12; timeline; M22,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F012-E03,WB2-F012,Repeat-visit and persistence view,Research B repeated visits ignored,M11/M12; timeline; M22,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F013-E01,WB2-F013,Missing context checklist,Research F PI010/PI022,M14 Missing Data; onboarding,some/strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F013-E02,WB2-F013,Missing context checklist,Research B patient self-advocacy,M14 Missing Data; onboarding,some/strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F013-E03,WB2-F013,Missing context checklist,KFC002,M14 Missing Data; onboarding,some/strong,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F014-E01,WB2-F014,Patient-held record import,Research F PI018,document-upload; M28; M03,regional/strong,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F014-E02,WB2-F014,Patient-held record import,Research E product implications,document-upload; M28; M03,regional/strong,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F014-E03,WB2-F014,Patient-held record import,VISION.md,document-upload; M28; M03,regional/strong,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F015-E01,WB2-F015,Access and equity memory,Research F PI019/PI020/PI021/PI022,M08 Lifestyle/Context; settings; onboarding,strong/regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F015-E02,WB2-F015,Access and equity memory,SHM M006,M08 Lifestyle/Context; settings; onboarding,strong/regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F015-E03,WB2-F015,Access and equity memory,Research E key findings,M08 Lifestyle/Context; settings; onboarding,strong/regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F016-E01,WB2-F016,Lab trend and personal baseline explorer,Research F PI015,M10; metrics-dashboard; graph-node-context,some,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F016-E02,WB2-F016,Lab trend and personal baseline explorer,WellBe baseline/anomaly principle,M10; metrics-dashboard; graph-node-context,some,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F017-E01,WB2-F017,Medication and access clue capture,Research F PI022,M05 Medical; M08 Context; M13 Confounders,some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F017-E02,WB2-F017,Medication and access clue capture,Research B medication/access-as-diagnostic-clue,M05 Medical; M08 Context; M13 Confounders,some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F018-E01,WB2-F018,Note/document delta view,Research F PI023,M15 Contradiction Resolution; M26; document-upload,some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F018-E02,WB2-F018,Note/document delta view,Research D patterns,M15 Contradiction Resolution; M26; document-upload,some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F019-E01,WB2-F019,Deterioration check-in and escalation guidance,Research F PI012/PI025,M21 Safety & Triage; M22; Telegram/mobile,strong/regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F019-E02,WB2-F019,Deterioration check-in and escalation guidance,Research C high-confidence findings,M21 Safety & Triage; M22; Telegram/mobile,strong/regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F020-E01,WB2-F020,Personal Responsibility Memory ledger,Research F PI004/PI005/PI016,M22; M26; dashboard,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F020-E02,WB2-F020,Personal Responsibility Memory ledger,SHM M005,M22; M26; dashboard,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F020-E03,WB2-F020,Personal Responsibility Memory ledger,KFC004,M22; M26; dashboard,strong,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F021-E01,WB2-F021,Safe research and explanation mode,WellBe C9,M18/M19; Professor; myth-buster,internal + safety supported,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F021-E02,WB2-F021,Safe research and explanation mode,SHM regulation/safety facts,M18/M19; Professor; myth-buster,internal + safety supported,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F021-E03,WB2-F021,Safe research and explanation mode,Research F do-not-diagnose,M18/M19; Professor; myth-buster,internal + safety supported,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F022-E01,WB2-F022,Personal experiment guardrails,WellBe overview,M20 Personal Experiments; Coach,needs more evidence,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F022-E02,WB2-F022,Personal experiment guardrails,Research F safety principles,M20 Personal Experiments; Coach,needs more evidence,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F023-E01,WB2-F023,Trend-over-noise PGHD summarizer,SHM F012/R003/FEAT006,M07; M10/M11; wearable-integration,some,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F023-E02,WB2-F023,Trend-over-noise PGHD summarizer,WellBe cross-everything correlation,M07; M10/M11; wearable-integration,some,medium,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F024-E01,WB2-F024,Scoped share link / export,VISION.md,M02; doctor-summary; settings-and-privacy,strong product identity,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F024-E02,WB2-F024,Scoped share link / export,Research F PI009,M02; doctor-summary; settings-and-privacy,strong product identity,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F024-E03,WB2-F024,Scoped share link / export,SHM Shared Health Memory,M02; doctor-summary; settings-and-privacy,strong product identity,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F025-E01,WB2-F025,Care-team comment mode,SHM collaborative diagnosis,medical-institution-integration; API gateway,some,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F025-E02,WB2-F025,Care-team comment mode,Research F clinician workflow support,medical-institution-integration; API gateway,some,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F026-E01,WB2-F026,Low-resource / CHW / SMS mode,Research F PI020/PI021,M28; Telegram; mobile; patient-held record import,regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F026-E02,WB2-F026,Low-resource / CHW / SMS mode,Research E product implications,M28; Telegram; mobile; patient-held record import,regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F026-E03,WB2-F026,Low-resource / CHW / SMS mode,SHM F017,M28; Telegram; mobile; patient-held record import,regional,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F027-E01,WB2-F027,Bias/misattribution reflection prompt,Research F PI014,M21; M15; M22,strong problem / cautious product,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F027-E02,WB2-F027,Bias/misattribution reflection prompt,Research B mental-health misattribution,M21; M15; M22,strong problem / cautious product,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F027-E03,WB2-F027,Bias/misattribution reflection prompt,Research E cultural safety,M21; M15; M22,strong problem / cautious product,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F028-E01,WB2-F028,Workload-aware alert/worklist mode,Research F PI024,M21; M22; medical-institution-integration,problem strong / feature caution,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F028-E02,WB2-F028,Workload-aware alert/worklist mode,Research D alert overload,M21; M22; medical-institution-integration,problem strong / feature caution,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F028-E03,WB2-F028,Workload-aware alert/worklist mode,SHM R002,M21; M22; medical-institution-integration,problem strong / feature caution,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F029-E01,WB2-F029,Cross-specialty pattern map,Research F PI017,M09; graph-explorer; doctor-discovery,some,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F029-E02,WB2-F029,Cross-specialty pattern map,Research B no-one-connected-dots,M09; graph-explorer; doctor-discovery,some,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F030-E01,WB2-F030,Decision and uncertainty memory,SHM M004,M17 Hypothesis Engine; M15 Contradiction; doctor-summary,strong concept / implementation caution,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F030-E02,WB2-F030,Decision and uncertainty memory,National Academies fact in SHM F003,M17 Hypothesis Engine; M15 Contradiction; doctor-summary,strong concept / implementation caution,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F030-E03,WB2-F030,Decision and uncertainty memory,Research F uncertainty principles,M17 Hypothesis Engine; M15 Contradiction; doctor-summary,strong concept / implementation caution,high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F031-E01,WB2-F031,Doctor discovery as pathway support,Research F PI005,doctor-discovery,some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F031-E02,WB2-F031,Doctor discovery as pathway support,Research E system-type adaptation,doctor-discovery,some,medium-high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F032-E01,WB2-F032,Cross-patient comparison sandbox,VISION.md,C11 Expand; VISION cross-patient opt-in,needs more evidence,very high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F032-E02,WB2-F032,Cross-patient comparison sandbox,SHM safety,C11 Expand; VISION cross-patient opt-in,needs more evidence,very high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
WB2-F032-E03,WB2-F032,Cross-patient comparison sandbox,Research F privacy/bias risks,C11 Expand; VISION cross-patient opt-in,needs more evidence,very high,"Cross-reference compiled from Research F, Shared Health Memory, and WellBe v1 files.",2026-05-30
