traceability_id,insight_or_feature_id,insight_or_feature_name,supporting_package_filename,internal_source_ids,internal_evidence_ids,internal_quote_ids,internal_case_ids,internal_review_ids,internal_file_paths,evidence_summary,evidence_strength,notes,date_packaged,research_topic
TI011,PI011,Triage red-flag co-pilot with reassessment timers,unknown,unknown,Arrival; B-006; B-016; C003; C008; C009; Chief; Configure; Danger; E010; ED; EHR; Q010; S01; S03; S04; S09; S10; Support; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM01/FM02/FM04; sources S01/S03/S04/S09/S10; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E010; quote Q010; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::nurse triage/vitals; B-006/B-016; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C003/C008/C009,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI012,PI012,Waiting-room and pre-triage deterioration check-in,unknown,unknown,Arrival; C008; C009; Check; Configure; Deterioration; E004; E008; ED; EHR; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM02/FM04/FM05; evidence_items.csv::E004/E008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008/C009; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::arrival / registration; nurse triage / vitals,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI013,PI013,Digital intake complexity escape hatch,unknown,unknown,C002; Complex; Configure; Digital; E006; E007; E011; EHR; Q005; S033; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E006/E007; quote Q005; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; evidence_items.csv::E006/E011; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; source S033 virtual-care evidence,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI014,PI014,Bias and misattribution guardrail,unknown,unknown,B-003; B-020; B-021; B-024; Bias; C008; C012; C014; C015; Configure; Could; E017; E018; EHR; Q009; Q010; Q012; Q013; Q014; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E017/E018; quotes Q012/Q013; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Bias/misattribution guardrail; B-003/B-020/B-021/B-024; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q009/Q010/Q014; cases C012/C014/C015; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008; cultural_black_zone_map.md,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI015,PI015,Lab trend and personal-baseline explorer,unknown,unknown,B-001; B-014; B-015; Clinically; Configure; E015; EHR; R009; S54; Serial; Slow; Start; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-001/B-014/B-015; black_zones_by_patient_stage.csv::long-term monitoring; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E015; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R009; source S54,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI016,PI016,Pending-test discharge contract,unknown,unknown,B-012; B-017; C010; C011; Configure; E004; EHR; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; B-012/B-017; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI017,PI017,Cross-specialty pattern map,unknown,unknown,B-002; B-003; B-024; B-029; B-032; Complex; Configure; Cross; Distributed; E013; E014; EHR; Encourages; Surfaces; Symptom,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Cross-specialty referral map; B-002/B-003/B-024/B-029/B-032; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::patterns.md::wrong specialty or unclear referral pathway; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI018,PI018,Patient-held record and out-of-system care import,unknown,unknown,B-031; C004; C005; CHW; Configure; E008; E009; EHR; SMS; Signals; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::evidence_items.csv::E008/E009; cases C004/C005; product_or_system_implications.md; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / home/community / rural settings; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-031,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI019,PI019,"Language, interpreter and cultural-safety layer",unknown,unknown,C008; C009; C010; Configure; Connect; E003; EHR; S023; S024; S026; S027; S028; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::sources S023/S024/S026/S027/S028; cases C008/C009/C010; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / public health screening / community visit,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI020,PI020,Low-resource diagnostic availability and stockout-aware plan,unknown,unknown,B-025; B-026; B-027; Blames; C005; C006; C007; CHW; CHWs; Configure; E010; E019; E020; EHR; Resource; SMS; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-025/B-026/B-027; product_opportunities.csv::Low-resource diagnostic availability layer; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C006/C007; evidence_items E010; product implications; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019/E020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12 and rural/low-resource clinic notes,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI021,PI021,CHW and informal-provider referral capture mode,unknown,unknown,Assigns; C005; C007; CHW; Community; Configure; E010; E019; EHR; S012; S021; S38; S40; S41; S43; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C007; evidence_items E010; sources S012/S021; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12; sources S38/S40/S41/S43; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI022,PI022,Medication and access-as-diagnostic-clue capture,unknown,unknown,Ask; B-013; B-031; Configure; Current; E003; EHR; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Medication/access-as-diagnostic-clue; B-013/B-031; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::patterns.md::cost/transport/access barriers; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI023,PI023,Note-diff and copied-forward detection,unknown,unknown,Configure; Diffs; E016; EHR; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E016; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md::no one connected the dots; normal-test trap; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md::patient narratives reveal continuity failures,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI024,PI024,Workload-aware alert management and risk-ranked worklists,unknown,unknown,Actionable; Alert; Configure; Creates; E001; E011; E015; E021; EHR; Q003; Q008; Q010; Q011; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E011/E015/E021; quotes Q003/Q008/Q010/Q011; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::front-door workflows sort urgency before diagnosis; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md::over-alert risk,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI025,PI025,Patient/family deterioration escalation route,unknown,unknown,C003; C004; C008; C009; Clear; Configure; ED; EHR; Q004; Q008; R003; Rule; S036; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C004/C008; source S036 Martha’s Rule; quotes Q004/Q008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C003/C008/C009; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R003; quotes Q004,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TI026,PI026,Diagnosis-status clarity in patient portal,unknown,unknown,Configure; Diagnosis; EHR; Q007; Q011; Q012; Surfaces,unknown,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q007/Q011/Q012; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::record what remains unexplained,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF027,F001,Diagnostic episode layer / unresolved-problem tracker,unknown,unknown,B-001; B-009; B-014; B-020; B-021; Brian; C001; C008; COVID; Creates; Diagnostic; E005; Every; Repeated; S20; S21; Symptoms,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::04_topic_outputs/diagrams_or_flows/flow_maps.csv::FM09; S20; S21; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::04_topic_outputs/other_outputs/product_opportunities.csv::Longitudinal diagnostic signal accumulator; B-001/B-009/B-014/B-020/B-021; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C008; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E005; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001,strongly supported,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF028,F002,Rich patient intake timeline with change-from-baseline,unknown,unknown,Adaptive; B-002; B-023; C001; C002; C005; Current; E003; E006; E007; E011; Rich,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; 02_extracted_evidence/evidence_items.csv::E011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E003/E006/E007; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001/C002/C005; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-002/B-023,strongly supported,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF029,F003,Repeat-visit diagnostic reset trigger,unknown,unknown,Alert; B-006; B-010; B-028; B-030; C001; C002; C003; C009; COVID; ED; Encounter; Repeat; Research; Return; Rule,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Repeat-visit diagnostic reset; B-006/B-010/B-028/B-030; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM09; 02_extracted_evidence/cases_or_examples.csv::C002/C009; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::cases_or_examples.csv::C003; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C001,strongly supported,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF030,F004,Closed-loop abnormal result ownership ledger,unknown,unknown,Abnormal; B-011; B-012; B-015; B-017; B-018; C002; C010; C011; Closed; E001; E015; Risk; S013; S014; S035; S19; S24; S25,unknown,unknown,unknown,unknown,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E015; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Closed-loop abnormal result ownership; B-011/B-012/B-015/B-017/B-018; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; sources S013/S014/S035; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; sources S19/S24/S25; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C002,strongly supported,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF031,F005,Referral completion and transparency tracker,unknown,unknown,ADHD; Adult; B-005; B-029; B-032; C005; C006; C016; E013; E014; R007; R008; Referral; S27; S28; S29; Separate; Status,unknown,unknown,unknown,unknown,research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11; sources S27/S28/S29; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C006/C016; reviews R007/R008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C005/C006; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-005/B-029/B-032,strongly supported,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF032,F006,Normal-test trap explainer and persistent-symptom safety net,unknown,unknown,B-001; B-003; B-004; B-016; C003; C007; CXR; Q003; Still,unknown,unknown,unknown,unknown,research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Normal-test trap explainer; B-001/B-003/B-004/B-016; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C003/C007; quote Q003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::normal-test trap; flow FM09; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::practical_implications.md::pair normal test results with symptom status,strongly supported,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF033,F007,Patient voice protection: verbatim concern + correction path,unknown,unknown,Could; Q-001; Q-004; Q-005; Q-007; Q001; Q002; Q003; Q004; Q018; Q019; Q020; Separate,unknown,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q001/Q003/Q004/Q018/Q019/Q020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::quotes.csv::Q001/Q002/Q003/Q004; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::quotes.csv::Q-001/Q-004/Q-005/Q-007; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::quotes.csv::Q001/Q004,strongly supported,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
TF034,F008,Concern-by-concern visit closure,unknown,unknown,Adds; Allow; Autistic; C002; Concern; E004; Q002,unknown,unknown,unknown,unknown,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; quote Q002; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::specific safety-netting and follow-up,supported by some evidence,parsed from completed synthesis rows where explicit IDs were present,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
