_package_filename,quote_id,source_id,quote_text_short,quote_context,speaker_type,country_or_region,setting_or_context,topic_category,pain_point_or_theme,why_it_matters,source_url_or_identifier,research_topic,evidence_quality,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q011,S024,Follow me around for a shift; see what my screen looks like.,Clinician commentary about observing ED workflow.,emergency clinician/commentator,United States,emergency department,workflow visibility,EHR information scattering,Supports field observation and screen-level design.,https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.html,Research D — clinician-side pain points in identifying health issues early,low-medium,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q012,S020,Difficult patients may negatively affect doctors’ diagnostic reasoning.,Completed research short summary of BMJ Quality & Safety experiments.,researchers,Netherlands,diagnostic reasoning experiments,bias,difficult patient labels,Shows emotional/cognitive bias can affect diagnostic accuracy.,https://qualitysafety.bmj.com/content/26/1/13,Research D — clinician-side pain points in identifying health issues early,medium,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q013,S021,Diagnostic overshadowing is the misattribution of physical symptoms to mental illness.,Completed research definition from ED diagnostic overshadowing study.,researchers,United Kingdom,ED / psychiatric liaison,diagnostic overshadowing,mental-health misattribution,Keeps physical red flags visible in mental-health presentations.,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682,Research D — clinician-side pain points in identifying health issues early,medium,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,Q001,S005,re-tell,Patient group described the burden of repeatedly retelling medical history when continuity was absent.,patient / patient group,England,primary care / GP,continuity failure,fragmented care,Shows patient voice around repeated-history burden.,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",high,Short excerpt only; verify exact wording before republication.,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,Q002,S006,tried to get doctors to listen,Family/patient complaint context in scan-failure report about difficulty getting clinicians to respond.,patient/family,UK,imaging / hospital,doctor did not listen,dismissed concern,Shows communication/listening failure around missed imaging diagnosis.,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",high,Short excerpt only; verify exact wording before republication.,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,Q003,S007,recognized the signs,Family complaint context around sepsis recognition failures.,family member,UK,hospital / ED,red flag missed,sepsis escalation,Shows family perception that clinical red flags were visible but not acted on.,https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",high,Short excerpt only; verify exact wording before republication.,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,Q001,S20,“no-one else should have to go through what I did”,Public patient quote in source; context: metastatic breast cancer presenting as back pain; stage: repeat visit; medical history; specialist review; emergency escalation,patient,England,primary care,fragmented care; no one connected the dots; missing family/history context; repeated visits ignored,No one clinician/system connected the repeated back-pain presentations with prior cancer risk.,"Surface unresolved symptom threads, prior high-risk history and multiple-clinician patterns in the EHR.",https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,Real health-system patient flows for identifying health issues,high,Named public case from national safety investigation; includes patient voice.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,Q002,S22,"“I was constantly dismissed, ignored and belittled”",Public patient quote in source; context: endometriosis; stage: medical history; referral; specialist review; repeat visit,patient,UK,primary care,symptom dismissed; chronic illness invalidation; bias or minimization; patient self-advocacy required,Chronic pain and women's health symptoms can be minimized despite repeated presentations.,"Track symptom duration/severity, repeated visits and invalidating language; prompt specialist referral criteria review.",https://www.endometriosis-uk.org/diagnosis-report,Real health-system patient flows for identifying health issues,medium,Advocacy survey gives patient voice and quantitative delay data.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,Q003,S23,"“severe pain, immobile and very frustrated”",Public patient quote in source; context: varied unresolved conditions while waiting; stage: referral; follow-up; lab interpretation,patient,England,primary care / specialist referral,referral delay; no follow-up ownership; patient self-advocacy required,"Referral is not a completed action unless the patient is seen, tests are done and results acted on.","Track referral state, wait risk, abnormal-test escalation and patient-visible next step.",https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care,Real health-system patient flows for identifying health issues,medium,Patient voice source on referral/follow-up gaps.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,Q004,S24,“I really tried to get the doctors to listen”,Public patient quote in source; context: cancer and other scan-detectable conditions; stage: imaging ordered; lab interpretation; follow-up; emergency return,patient,England,hospital outpatient / imaging / ED,abnormal result not followed up; red flag missed; repeated visits ignored,"Imaging workflows fail at multiple points: ordering, performance, interpretation, communication, follow-up.","Closed-loop imaging: critical finding acknowledgment, patient notification and escalation if no action documented.",https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,Real health-system patient flows for identifying health issues,high,Patient-complaint/ombudsman evidence with public family quote.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,Q005,S29,“discuss with” rather than “refer to”,Public clinician/system quote in source; context: gastrointestinal and other specialty referrals; stage: referral; specialist review; imaging/labs ordered; follow-up,clinician/system,England,hospital outpatient / specialist clinic,referral delay; no follow-up ownership; normal-test trap,Advice can reduce unnecessary appointments but must not become a soft rejection of unresolved symptoms.,Record advice decisions with safety-net tasks and escalation criteria.,https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/,Real health-system patient flows for identifying health issues,medium,Includes clinician voice and pathway redesign example.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,Q-001,unknown,'she was crazy',Source describes how patient felt after symptoms were treated as psychological.,Patient voice,United States,primary care; specialist clinic; hospital outpatient,unknown,Severe cyclic pain normalized and split between GI and gynecology.,Shows patient or clinician voice linked to a documented missed-signal pattern.,https://psnet.ahrq.gov/web-mm/endometriosis-common-and-commonly-missed-and-delayed-diagnosis,"Research B - missed signals, diagnostic errors, and late discovery cases",high,B-002,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,Q-002,unknown,dismissive / berating,Source describes patient perception of urology encounter.,Patient voice,United States,primary care; specialist clinic; emergency department,unknown,A high-risk measurement lacked immediate safety action and patient education.,Shows patient or clinician voice linked to a documented missed-signal pattern.,https://psnet.ahrq.gov/web-mm/renal-failure-due-benign-prostatic-hyperplasia,"Research B - missed signals, diagnostic errors, and late discovery cases",high,B-005,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,Q-003,S-006,'trust their instincts',Public article reports patient's warning to others after cervical cancer diagnosis.,Patient voice,England / United Kingdom,public health screening; specialist clinic; hospital outpatient,unknown,Screening result and symptom follow-up failed over years.,Shows patient or clinician voice linked to a documented missed-signal pattern.,https://www.independent.co.uk/news/health/cervical-cancer-screens-misdiagnosis-nhs-b2563898.html,"Research B - missed signals, diagnostic errors, and late discovery cases",medium,B-019,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,Q-004,S-008,'all in your head',Advocacy survey reports this phrase was commonly told to POTS patients.,Patient voice,International / mostly patient-reported,primary care; emergency department; specialist clinic,unknown,A simple orthostatic pattern is missed when symptoms are separated by specialty.,Shows patient or clinician voice linked to a documented missed-signal pattern.,https://www.dysautonomiainternational.org/page.php?ID=184,"Research B - missed signals, diagnostic errors, and late discovery cases",medium,B-021,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,Q-005,S-009,'get enough food to live',Inquest reporting of severe ME/CFS patient's request for help.,Patient voice,England / United Kingdom,primary care; hospital inpatient; home/community visit,unknown,Functional decline and care needs fell between medical and social-care boundaries.,Shows patient or clinician voice linked to a documented missed-signal pattern.,https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears,"Research B - missed signals, diagnostic errors, and late discovery cases",medium,B-022,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,Q-006,S-009,'We needed help. We all needed help.',Clinician witness quote in inquest reporting.,Clinician voice,England / United Kingdom,primary care; hospital inpatient; home/community visit,unknown,Functional decline and care needs fell between medical and social-care boundaries.,Shows patient or clinician voice linked to a documented missed-signal pattern.,https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears,"Research B - missed signals, diagnostic errors, and late discovery cases",medium,B-022,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,Q-007,S-010,anxiety was used against her,Patient essay describing lupus diagnostic delay.,Patient voice,United States,primary care; specialist clinic,unknown,Basic normal labs blocked deeper autoimmune evaluation despite systemic pattern.,Shows patient or clinician voice linked to a documented missed-signal pattern.,https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999,"Research B - missed signals, diagnostic errors, and late discovery cases",low,B-023,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q001,S001,I felt completely dismissed and silenced.,Patient described doctor cutting off symptom history and demanding yes/no answers.,patient,UK,hospital / acute assessment,dismissal during assessment,doctor did not listen,Shows patient narrative may be suppressed at the first clinician assessment.,https://www.careopinion.org.uk/1429947,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q002,S002,They decided to only treat the acid reflux.,Autistic patient brought advocate and list of priorities; only reflux addressed.,patient,UK,primary care,one-symptom focus,fragmented care,Shows agenda-setting and multi-issue visit closure problem.,https://www.careopinion.org.uk/1258944,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q003,S003,Still in severe pain and still have no idea.,Patient discharged from ED after bloods and X-ray interpreted as reassuring.,patient,"Scotland, UK",emergency department,normal-test trap,unexplained severe symptom,Shows discharge without explanation or unresolved problem plan.,https://www.careopinion.org.uk/1117906,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q004,S004,No one listened to us.,Relative reported severe back pain after bowel cancer dismissed across services.,family member,"England, UK","A&E, GP, ambulance/111",prior cancer red flag missed,family concern ignored,Shows repeated presentations and caregiver concern not integrated.,https://www.careopinion.org.uk/1349233,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q005,S005,Refused to listen properly.,Parent said initial CAMHS psychiatrist dismissed family input and genetics/family history.,family member,"Scotland, UK",CAMHS / adolescent mental health,family history ignored,mental-health diagnostic delay,Shows caregiver and family-history signals can be excluded.,https://www.careopinion.org.uk/176152,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q006,S006,Not even meeting me.,Patient said psychiatrist declined ADHD assessment without patient encounter.,patient,"Scotland, UK",referral triage,referral rejection,unknown,Shows administrative triage can feel like unsupported diagnosis.,https://www.careopinion.org.uk/1167674,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q007,S007,No one had told me initially.,Patient found diagnostic language in portal and felt letters framed things inconsistently.,patient,"England, UK",documentation / portal,documentation ambiguity,unknown,Shows patient-facing records can confuse diagnosis status.,https://www.careopinion.org.uk/1378025,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q008,S008,He should have been in hospital.,Family quote/context from PHSO PE case where man was discharged and died.,family member,"England, UK",out-of-hours GP / ED,unsafe discharge,unknown,Shows discordance between clinical signs and discharge decision.,https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",high,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q009,S018,Too many women worry about endometriosis.,Patient recalled specialist comment during endometriosis referral review.,clinician as reported by patient,UK,specialist gynecology,gendered dismissal,unknown,Shows concern about endometriosis can be minimized.,https://www.endometriosis-uk.org/tayas-story,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q010,S019,Normal part of womanhood.,Patient said severe adolescent symptoms were normalized.,clinician as reported by patient,UK,primary care,normalization of symptoms,unknown,Shows severe function-impacting symptoms may be reframed as normal.,https://www.endometriosis-uk.org/orlas-story,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q011,S020,Finally had answers after 27 years.,Patient reflected on long endometriosis diagnostic delay.,patient,UK,primary care to gynecology,rare/chronic delay,unknown,Shows emotional relief after prolonged unresolved symptoms.,https://www.endometriosis-uk.org/dipikas-story,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q012,S021,I wasn’t given any further information.,Patient reported little explanation after surgery/endometriosis diagnosis.,patient,UK,"A&E, imaging, surgery",diagnosis communication gap,unknown,Shows diagnosis label alone is insufficient for patient understanding.,https://www.endometriosis-uk.org/stephanies-story-0,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q013,S022,I wasn’t even examined.,Patient with blood in stool said GP did not examine her before IBS/piles explanation.,patient,"England, UK",primary care,red flag missed,unknown,Shows physical exam/referral gap in bowel cancer warning symptom.,https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/personal-experiences/debbie-cameron%2C-merseyside/,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q014,S023,Too young to have cancer.,Young bowel cancer patient reported age-based dismissal.,clinician as reported by patient,"England, UK",A&E / referral,age bias,unknown,Shows age can become inappropriate rule-out.,https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q015,S025,Why would you come to A&E for back pain?,Young patient with severe back pain recalled dismissive emergency response.,clinician as reported by patient,"England, UK",A&E,pain minimization,unknown,Shows functional impairment may be discounted until imaging access is forced.,https://people.com/22-year-old-diagnosed-with-terminal-cancer-after-docs-dismiss-symptoms-11855746,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",low-medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q016,S026,I felt like I was going crazy.,Patient described repeated inconclusive tests and infection treatment before cervical cancer biopsy.,patient,Nigeria,clinics/hospitals,diagnostic drift,unknown,Shows emotional burden of unresolved symptoms and repeated consultations.,https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",low-medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q017,S027,Health workers’ poor attitude is another major issue.,Patient/commentary in Nigerian wrong-diagnosis report.,patient/public commenter,Nigeria,hospitals/labs,low-resource trust gap,unknown,Shows trust and service attitude interact with diagnostic reliability.,https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",low,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q018,S037,Gave me time whilst he listened.,Positive review of thorough consultation and result explanation.,patient,UK,primary care / NHS-linked review,positive listening,unknown,"Shows listening, explanation and exam as valued safety signals.",https://www.careopinion.org.uk/1333013,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q019,S038,"Whole person, not just the pain.",Cancer-related positive review of consultant asking broader support questions.,patient,Northern Ireland / UK,specialist outpatient,whole-person care,unknown,Shows whole-person context can improve felt understanding.,https://www.careopinion.org.uk/1065736,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,Q020,S039,I always felt listened to.,Postpartum patient praised health visitor continuity and responsiveness.,patient,Northern Ireland / UK,home/community visit,continuity,unknown,Shows continuity and access are positive identification/support patterns.,https://www.careopinion.org.uk/1328982,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/quotes.csv
