_package_filename,evidence_id,source_id,evidence_type,country_or_region,setting_or_context,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_missed_or_identified,pain_point_or_failure_mode,research_topic,person_or_group_involved,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E011,S011,workflow_obstacle,England,acute NHS hospitals,all stages / shifts / handoffs,fatigue and burnout,"fatigue, concentration, empathy, medication safety",Staff fatigue contributes directly and indirectly to patient harm but is not routinely captured.,HSSIB gathered staff accounts and safety-system findings.,,,Research D — clinician-side pain points in identifying health issues early,"doctors, nurses, managers, patient-safety staff",Fatigue as system risk was identified.,"Attentional lapses, communication problems, or task omissions can be missed.",long shifts; staffing pressure; inadequate fatigue governance,patient harm and staff retention risk,high,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,Fatigue-aware task routing and second-check triggers for high-risk diagnostic tasks.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E012,S014,workflow_obstacle,Ghana,"referral hospitals: ED, ICU, wards, maternity",handover / inpatient monitoring,handoff failure,"diagnosis, medications, treatment plan","Poor handover communication was linked to documentation, training, procedure, and culture barriers.",Qualitative interviews described communication barriers during handovers.,,,Research D — clinician-side pain points in identifying health issues early,"nurses, midwives, staff nurses",Handover barriers were identified.,"Diagnosis, medications, treatment changes, and pending tasks may be missed.",poor documentation; lack of formal procedure; interpersonal barriers,diagnostic/treatment errors and complications risk,medium,https://www.sciencedirect.com/science/article/pii/S266732152400091X,"Standardized handoff object with diagnosis, uncertainty, pending tests, watch-outs, and next owner.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E013,S017,workflow_obstacle,United States,primary/specialty care,referral / specialist review / feedback,specialist communication,referral question and consult result,Communication gaps remained despite EHR diffusion.,Survey identified persistent PCP-specialist communication gaps.,,,Research D — clinician-side pain points in identifying health issues early,PCPs and specialists,Need for better communication was identified.,Specialist feedback or PCP clinical question may not connect.,silos; fragmented EHR workflows,missed follow-up or unclear next step,medium-high,https://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/,"Referral object with clinical question, urgency, attachments, consultant response, next owner.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E014,S016,workflow_obstacle,United States,primary-specialty referrals,referral / appointment completion / follow-up,referral loop failure,diagnostic referral completion,Closed diagnostic referral loops remain a safety problem.,Systems-engineering analysis described failures and redesign approaches.,,,Research D — clinician-side pain points in identifying health issues early,"PCPs, specialists, coordinators",Referral-loop failure points were identified.,Specialist evaluation or test may be missed.,unclear ownership; scheduling and feedback gaps,delays and failed completion,medium-high,https://bmjopenquality.bmj.com/content/10/4/e001603,Closed-loop referral tracker with due dates and exception handling.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E015,S018,workflow_obstacle,United States,EHR test-result management,abnormal result management,EHR usability,abnormal test results,Enhanced usability and longitudinal tracking lowered cognitive workload and improved abnormal-result management.,Simulation compared EHR designs.,,,Research D — clinician-side pain points in identifying health issues early,residents and fellows,Usability and longitudinal tracking benefits were identified.,Abnormal results can be lost in poor interfaces.,poor usability; cognitive workload,missed action on abnormal tests,medium-high,https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/,Longitudinal test-trend view and task-state tracking.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E016,S019,workflow_obstacle,United States,EHR documentation across settings,history review / specialist review / handoff,note bloat,critical information in clinical notes,Long and redundant notes can obscure important information.,Review/commentary described note growth and redundancy.,,,Research D — clinician-side pain points in identifying health issues early,clinicians and trainees,Documentation burden and obscured information were identified.,"New facts, changed assessment, and unresolved problems may be hidden.",copy-forward; billing/documentation incentives,hard-to-read history and handoff risk,medium,https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/,"Note-diff, copied-forward detection, concise problem timeline.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E017,S020,experimental_finding,Netherlands,diagnostic reasoning experiments,first assessment,bias and labels,difficult patient behavior,Difficult patient behavior negatively affected diagnostic performance in experiments.,Physicians reviewed vignettes with disruptive behaviors.,,,Research D — clinician-side pain points in identifying health issues early,doctors/residents,Effect of patient behavior on reasoning was identified.,Correct diagnosis behind behavior could be missed.,negative emotion; cognitive bias,diagnostic accuracy reduction in experiments,medium,https://qualitysafety.bmj.com/content/26/1/13,Bias-aware diagnostic pause when stigmatizing labels or difficult interactions appear.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E018,S021,workflow_obstacle,United Kingdom,ED and psychiatric liaison,ED assessment,diagnostic overshadowing,physical symptoms in patients with mental illness,Physical symptoms may be misattributed to mental illness.,Qualitative study explored diagnostic overshadowing and ED challenges.,,,Research D — clinician-side pain points in identifying health issues early,"ED doctors, nurses, psychiatric liaison teams",Diagnostic overshadowing risk was identified.,Physical illness can be missed when symptoms are attributed to psychiatric causes.,mental-health misattribution; bias,missed physical illness risk,medium,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682,Medical red-flag checklist for mental-health presentations and vitals/baseline trend display.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E019,S022,workflow_obstacle,India,rural / community health,screening / referral / follow-up,low-resource early detection,"cervical, breast, oral cancer signs",CHWs reported barriers to early cancer detection and referral.,"Qualitative study identified training, infrastructure, referral, fear, finance, and sociocultural barriers.",,,Research D — clinician-side pain points in identifying health issues early,"ASHAs, VHNs, ANMs, CHWs",Community-level barriers were identified.,Early cancer signs and referral completion may be missed.,limited training; infrastructure; referral barriers; sociocultural beliefs,delayed cancer detection risk,medium-high,https://link.springer.com/article/10.1186/s12889-025-22735-y,"CHW decision support, local-language education, referral navigation, follow-up queue.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E020,S023,systematic_context,Global / LMIC,low-resource primary care,labs ordered / imaging ordered / public screening,diagnostic access,basic diagnostics for common diseases,Large global diagnostic-access gap limits confirmation and monitoring.,Lancet Commission summary documented inadequate access to diagnostics.,,,Research D — clinician-side pain points in identifying health issues early,"primary care clinicians, labs, health systems",Access gap was identified.,Conditions may remain unconfirmed or unmonitored.,diagnostic scarcity; infrastructure limits,delayed or absent diagnosis in low-resource contexts,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,"Resource-aware workflows, point-of-care test inventory, offline referral escalation.",unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,E021,S024,clinician_commentary,United States,emergency department,assessment / EHR review,real workflow visibility,ED diagnostic context,Clinician commentary emphasized observing the actual clinician screen and workflow.,Podcast/blog commentary discussed diagnostic-error reduction in ED.,,,Research D — clinician-side pain points in identifying health issues early,emergency clinicians / designers,Need for workflow-grounded design was identified.,"Prior history, pending tests, and red flags may be scattered.",information scattering; interface burden,diagnostic context may be missed,low-medium,https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.html,Field observation and screen-level workflow mapping before designing tools.,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E001,S001,fact,US / generalizable,all care settings,varies,diagnostic safety,health issue identification,"Diagnosis is a complex collaborative process involving patients, families, clinicians, systems, and tools.",Used as conceptual anchor for global diagnostic workflows.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.nationalacademies.org/projects/IOM-HCS-13-03/publication/21794,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E002,S002,fact,OECD countries,all care settings,varies,diagnostic safety metric,health issue identification,"OECD report estimates that up to 15% of diagnoses in OECD countries may be inaccurate, delayed, or wrong.",Used to frame diagnostic safety as a high-income-system issue too.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E003,S003,fact,US,all care settings,varies,diagnostic harm burden,health issue identification,"AHRQ reports an estimate of 795,000 Americans annually dying or becoming permanently disabled from disease misdiagnosis.",Used as US burden metric.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.ahrq.gov/diagnostic-safety/index.html,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E004,S004,fact,US,emergency department,varies,ED diagnostic error,health issue identification,AHRQ PSNet ED review summary estimated roughly 1 in 18 ED patients receive an incorrect diagnosis.,Emergency department diagnostic safety metric.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://psnet.ahrq.gov/issue/diagnostic-errors-emergency-department-systematic-review?utm_source=chatgpt.com,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E005,S005,fact,England,primary care / GP,varies,continuity failure,health issue identification,HSSIB found GP systems did not reliably surface unresolved symptoms or repeated visits across different clinicians.,Used for UK GP continuity black zone.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E006,S006,fact,UK,imaging / hospital,varies,diagnostic result follow-up,health issue identification,"UK ombudsman identified repeated scan-reading and scan-follow-up failures, including abnormality not identified and results not properly followed up.",Used for abnormal-result closure black zone.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E007,S008,fact,Israel,primary care / specialist care,varies,health-system structure,health issue identification,Israel has universal NHI coverage through four competing nonprofit health plans with strong health-plan EHR integration.,Used for Israel integrated health-plan model.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/international-health-policy-center/countries/israel,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E008,S010,fact,Israel / Negev Bedouin,community / primary care,varies,underserved access,health issue identification,"Bedouin communities in Israel face physical access, health-literacy, language/cultural, and out-of-system continuity barriers.",Used for underserved/periphery cultural access pattern.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,medium,https://link.springer.com/article/10.1186/s12939-025-02398-2,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E009,S011,fact,India,public/private care,varies,fragmented care,health issue identification,"India has weak practical gatekeeping, a large public/private/informal ecosystem, slow EHR adoption, and no universal patient identifier.",Used for India fragmented-care model.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/taxonomy/term/8,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E010,S012,fact,India,community / TB pathway,varies,TB diagnostic delay,health issue identification,A referral and free chest-x-ray intervention involving non-allopathic providers reduced TB diagnostic delay by 8.6 days.,Used as successful low-resource/community linkage example.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E011,S014,fact,China,hospital outpatient / ED,varies,open access / continuity,health issue identification,China does not generally require referrals and ED information is not routinely sent to primary-care doctors.,Used for open-access/hospital-first continuity risk.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/taxonomy/term/3,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E012,S017,fact,Brazil,community health / referral,varies,CHW / referral bottleneck,health issue identification,Brazil Family Health Strategy teams cover defined households but specialty access remains a major bottleneck causing long queues and diagnostic delays.,Used for CHW and referral bottleneck pattern.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/taxonomy/term/5436,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E013,S018,fact,Mexico,public/private outpatient,varies,fragmented care,health issue identification,Mexico has a segmented system with private providers delivering substantial outpatient care but poorly integrated into public networks.,Used for public/private fragmentation pattern.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-2024-mexico,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E014,S020,fact,Tanzania,cancer diagnosis pathway,varies,cancer delay,health issue identification,Tanzania cancer pathway study reported median delay of 358 days from first symptom to diagnosis.,Used as low-resource diagnostic delay case.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://link.springer.com/article/10.1186/s12913-021-07438-5,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E015,S021,fact,Sub-Saharan Africa,community health,varies,CHW workflow,health issue identification,"WHO RAcE/iCCM trained CHWs to diagnose, treat, and refer childhood malaria, pneumonia, and diarrhea.",Used for CHW first-assessment model.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E016,S022,fact,Europe,migrant/refugee care,varies,migrant access barriers,health issue identification,"WHO Europe reports migrants/refugees face barriers including unclear entitlements, limited interpreters/cultural mediators, financial barriers, discrimination, and poor living conditions.",Used for migrant/refugee access black zones.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.who.int/europe/health-topics/refugee-and-migrant-health,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E017,S023,fact,England,all NHS settings,varies,language access,health issue identification,NHS England reports people with limited English can struggle at all points and inconsistent interpreting can prevent engagement.,Used for language barrier workflow design.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E018,S026,fact,Canada,ED / hospital,varies,Indigenous health equity,health issue identification,Canadian Indigenous patients may have symptoms taken less seriously and stereotypes can lead to misdiagnosis or neglect.,Used for cultural-safety and racism black zones.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,medium,https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E019,S027,fact,Australia,all settings,varies,cultural safety,health issue identification,"AIHW reports 32% of Indigenous Australians who did not access needed services cited cultural reasons such as language, discrimination, or cultural appropriateness.",Used for cultural-safety access barrier metric.,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",patients / clinicians / health system,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary,See implications files for product mapping.,derived from facts.csv,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/evidence_items.csv
