_package_filename,case_id,source_id,case_title,country_or_region,setting_or_context,topic_category,condition_or_issue,initial_situation,what_happened,what_was_missed_or_identified,delay_or_timeline,patient_stage_or_workflow_step,failure_or_black_zone_tags,research_topic,outcome_if_known,lesson_or_pattern,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C007,S021,WHO RAcE/iCCM CHW childhood illness workflow,"DRC, Malawi, Mozambique, Niger, Nigeria",community health / CHW,community-health-worker system,"malaria, pneumonia, diarrhea in children under 5",Children with acute illness were assessed near home by trained CHWs.,"CHWs diagnosed, treated, and referred according to iCCM protocols.",Danger signs and treatable childhood illnesses identified closer to community.,2013-2017 programme period,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",nearly 1.5 million children diagnosed/treated,"CHWs can be first-assessment nodes but require protocols, supplies, and referral loops.","Offline CHW protocols, stock status, and referral confirmation",https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C008,S026,Brian Sinclair emergency department waiting-room death,Canada,emergency department,Indigenous-specific racism / triage failure,treatable medical need / referral note,Indigenous patient arrived with a referral note.,He waited 34 hours in the ED; staff reportedly assumed intoxication.,Clinical need and referral note were not acted on.,34 hours,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",death,Racism and social triage can block basic assessment and escalation.,"Anti-bias triage audit, Indigenous liaison escalation, did-not-wait prevention",https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,medium,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C009,S028,Queensland ED cultural-safety transformation project,Australia / Queensland,emergency department,cultural safety workflow,ED presentations by Aboriginal and Torres Strait Islander patients,ED sought to improve identification and culturally safe treatment of Indigenous patients.,Project focused on culturally and clinically appropriate care and reducing did-not-wait outcomes.,Risk of leaving before diagnostic workup was targeted.,unknown,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",service improvement project,Cultural safety must be operationalized in triage and ED flow.,Real-time liaison routing and cultural-safety workflow,https://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecs,medium,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,C010,S025,Health Catch-UP migrant screening,UK,migrant/refugee primary care screening,migrant health screening,"hepatitis C, diabetes risk, hypercholesterolemia, immunization gaps",Migrant patients had incomplete routine screening and missing immunization records.,EHR-integrated tool prompted screening.,New conditions were identified and vaccination gaps surfaced.,unknown,,,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",12 new conditions found among 99 screened migrants,Targeted intake tools can identify hidden conditions when prior records are missing.,Migrant-specific EHR screening and vaccination reconstruction,https://link.springer.com/article/10.1186/s12916-024-03713-4,medium,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C001,S01,"Emergency Severity Index (ESI): A Triage Tool for Emergency Department Care, Version 4",US / internationally used,emergency department,red flag missed; normal-test trap; incomplete history,undifferentiated acute illness/injury,"chief complaint, appearance, high-risk state, pain/distress, predicted resources, vital signs","Classify acuity using ESI: immediate life-saving intervention, high risk/severe pain, then expected resources, with danger-zone vitals review.",Identified: patients needing immediate lifesaving intervention and high-risk care; risk: triage depends on nurse pattern recognition and local resource assumptions.,none,,,Real health-system patient flows for identifying health issues,unknown,"Triage is a rapid risk sort, not a diagnosis; subtle chronic or complex symptoms may appear low acuity if vitals are normal.",Separate emergency risk score from diagnostic uncertainty; capture clinician concern and prior visits even when ESI level is lower.,https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf,high,ESI is a documented front-door workflow; its resource prediction step can under-prioritize problems that need diagnostic synthesis rather than many ED resources.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C002,S02,Diagnostic Errors in the Emergency Department: A Systematic Review,US-focused evidence,emergency department,red flag missed; repeated visits ignored; no follow-up ownership,"stroke, MI, aortic dissection, VTE, meningitis/encephalitis, sepsis, spinal cord injury/compression, lung cancer","neurologic symptoms, chest/back pain, infection signs, thromboembolic symptoms, imaging/lab findings",Systematic review estimated diagnostic error harms and common high-harm conditions.,"Missed/delayed: serious ED diagnoses, especially vascular, neurologic, infection and cancer presentations.",varies,,,Real health-system patient flows for identifying health issues,unknown,High-risk diagnoses may be missed at the first visit and only recognized after repeat ED return or deterioration.,Flag high-harm conditions linked to symptom clusters and require explicit exclusion/safety-netting before discharge.,https://www.ncbi.nlm.nih.gov/books/NBK588197/,high,Useful as cross-setting failure evidence rather than a local workflow manual.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C003,S03,Guidance for emergency departments: initial assessment,England,emergency department,poor handoff; red flag missed; no follow-up ownership,undifferentiated emergency/urgent presentations,"reason for attendance, acuity, suitability for ED vs other services","Initial assessment can include streaming, triage and rapid assessment/treatment to identify sickest patients and direct others to right service.",Identified: sickest patients and appropriate service route; risk: redirection decisions can become unsafe if not clinically governed.,front-door targets in related guidance,,,Real health-system patient flows for identifying health issues,unknown,Patients may experience an 'occult wait' before triage if registration queues or digital check-in create hidden delays.,"Track real elapsed time from physical arrival to clinical assessment, not just time after registration.",https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/,high,Represents a national ED front-door flow rather than a diagnostic guideline.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C004,S04,Initial Assessment of Emergency Department Patients,UK,emergency department,arrival; registration; red flag missed; poor handoff,undifferentiated ED attendance,"chief complaint, acuity, disposition, early warning score/vitals","Register quickly, perform initial assessment by trained registered clinician, record minimum clinical fields and use early warning scores where relevant.",Identified: front-door risk; missed risk if queues are unmanaged before registration/assessment.,within minutes in standard,,,Real health-system patient flows for identifying health issues,unknown,Operational queues can hide clinical risk before the patient is visible to the triage system.,Use queue surveillance and arrival-time capture; include deterioration prompts before formal triage is complete.,https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf,high,Supports the black-zone concept of pre-triage waits.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C005,S05,Emergency Department Workflow Diagrams,US,emergency department,documentation error; no one connected the dots; normal-test trap,suspected community-acquired pneumonia,"age, RR, BP, confusion, BUN, chest X-ray, CURB-65 factors",Patient arrives by EMS/walk-in; triage/intake RN collects key data; provider orders labs/CXR; CURB-65 and clinical assessment guide admission vs outpatient antibiotics.,Identified: pneumonia severity and disposition; risk: pneumonia mimic or alternative diagnosis may be missed if CDS anchors on CAP.,none,,,Real health-system patient flows for identifying health issues,unknown,Decision support needs upstream data completeness and downstream reassessment when diagnosis does not fit.,"Expose missing CURB-65 elements and create 'pursue other diagnoses' tracking, not just CAP disposition.",https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,medium,Real implementation workflow shows how data from different roles enters a decision point.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C006,S06,Urgent care self-service,England,urgent care / ED front door,digital access gap; incomplete history; red flag missed,urgent non-life-threatening presentations,"demographics/NHS number, symptom answers, guided triage outcome, referral route","Patient self-checks in on kiosk/tablet, completes symptom triage, and can be prioritised, redirected or referred through service routing.","Identified: rapid symptom-led prioritisation and redirection; risk: digital access, literacy and symptom-description gaps.",none,,,Real health-system patient flows for identifying health issues,unknown,"Self-service can speed flow but may miss nuance, language barriers or worsening while waiting.","Add accessibility fallback, clinician override, real-time deterioration alerts and visibility of prior visits.",https://digital.nhs.uk/services/urgent-care-self-service-product,medium,A current example of digital triage embedded in urgent/emergency care.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C007,S07,Urgent treatment centres: principles and standards,England,urgent care,wrong specialty; poor handoff; no follow-up ownership,minor injuries/ailments and urgent non-life-threatening problems,"presenting problem, observations, ECG/blood tests/X-ray where available, referral need",UTCs accept booked and walk-in patients; provide basic diagnostics or protocols; share records/post-event messages and refer to ED/specialists when needed.,Identified: conditions manageable outside ED; risk: lack of diagnostic capability or wrong redirection.,none,,,Real health-system patient flows for identifying health issues,unknown,"UTC boundaries are porous; patients may need escalation, diagnostics or follow-up ownership outside the UTC.","Show available diagnostics, escalation criteria and post-visit ownership in the same workflow.",https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/,high,UTC standard describes setting-level capabilities and data-sharing requirements.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C008,S08,When to visit an urgent treatment centre,England,urgent care,red flag missed; patient self-advocacy required,urgent non-life-threatening illness/injury,"pulse, blood pressure, symptoms, changes while waiting","On arrival, patients may have observations by nurse, may wait by acuity not arrival order, and can be assessed/treated onsite or referred; GP is updated afterwards.",Identified: worsening symptoms during wait if patient tells staff; risk: passive reliance on patient to report deterioration.,none,,,Real health-system patient flows for identifying health issues,unknown,The workflow depends on patients knowing when and how to report deterioration while waiting.,Provide waiting-room check-ins and explicit 'tell us now if...' symptom prompts in multiple languages.,https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,medium,Patient-facing description of the real UTC arrival process.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C009,S09,Vital Signs in the Urgent Care Center,US,urgent care,normal-test trap; lab trend missed; documentation error,urgent illness/injury,"temperature, HR, RR, BP, SpO2, weight, pain score; orthostatics if indicated","Initial vitals tailored to age, complaint and status; abnormal vitals reported and repeated.",Identified: physiologic instability; missed: serious disease with normal or incomplete vitals.,ideally within 15 minutes of arrival,,,Real health-system patient flows for identifying health issues,unknown,"Vitals create early signal but can be incomplete, delayed or not trended against prior visits.","Require abnormal-vital acknowledgment, repeat-vital timers and trend comparison across visits.",https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf,medium,"Practical urgent-care policy source, not a population study.",2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C010,S10,Red Flags Identification and Intervention Policy for Urgent Care Centers,US,urgent care,red flag missed; incomplete history; poor handoff,emergency red-flag presentations presenting to urgent care,"distress, chest pain, shortness of breath, major trauma, bleeding, altered mental status, neurologic signs, anaphylaxis",Registration/intake staff ask reason for visit; red flags trigger immediate rooming and clinician involvement or ED transfer.,Identified: conditions too high-risk for routine urgent care; missed: red flags hidden by vague complaint or poor intake phrasing.,immediate,,,Real health-system patient flows for identifying health issues,unknown,Non-clinical intake staff may be the first safety barrier.,Use plain-language red-flag checklist and escalation button at registration.,https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf,medium,Shows how triage starts before formal clinician assessment.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C011,S11,NHS 111 online,England,telehealth,incomplete history; wrong specialty; no one connected the dots,urgent symptoms not immediately life-threatening,"age, sex, postcode, main symptom, algorithmic question responses","Patient completes one symptom pathway; service gives advice such as self-care, pharmacist, GP, UTC, ED or callback.",Identified: service disposition; missed: multi-symptom or known-condition context if algorithm is used one symptom at a time.,none,,,Real health-system patient flows for identifying health issues,unknown,Digital triage may fragment complex histories into a single main symptom.,"Allow multi-symptom summaries, 'not captured' text, prior-risk integration and easy escalation to human review.",https://111.nhs.uk/,medium,Patient-facing NHS 111 online flow.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C012,S12,NHS 111 online staff information,England,telehealth,wrong specialty; poor handoff; fragmented care,urgent symptom triage,"NHS Pathways outcome, Directory of Services match, callback need",Uses structured triage and service directory to recommend ambulance/ED/UTC/out-of-hours GP/GP/pharmacist/self-care outcomes.,Identified: appropriate service destination; missed: directory availability or local pathway mismatches can redirect incorrectly.,none,,,Real health-system patient flows for identifying health issues,unknown,The handoff is only as good as the service directory and referral visibility.,Audit outcome-to-arrival completion and failed referral attempts; surface no-capacity conditions.,https://digital.nhs.uk/services/nhs-111-online,medium,Staff-facing service information documents integration pieces.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C013,S13,Digital tools for online consultation in general practice,England,telehealth,digital access gap; incomplete history; no follow-up ownership; chronic illness invalidation,varied primary-care requests; hidden serious illness,"free-text online request, photos, admin/clinical reason, practice capacity",Asynchronous online consultations support clinical/admin requests but may be capped or rerouted by practices for safety.,"Missed/delayed: safety incidents when digital tools reduce access, distort history or weaken proactive/long-term care.",varies,,,Real health-system patient flows for identifying health issues,unknown,Online access can create a digital bottleneck and reduce the chance to observe/examine patients.,"Create safe fallback channels, complexity flags, remote-to-face-to-face conversion rules and continuity prompts.",https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,high,HSSIB source includes patient and staff focus groups and practice visits.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C014,S14,Telehealth and Patient Safety,US / international,telehealth,normal-test trap; incomplete physical exam; poor follow-up ownership,acute or chronic problems assessed remotely,"history quality, patient-measured vitals, visible exam findings, records, ability to test/follow up","Telehealth can be safer when embedded in a medical home with records, tests, referrals and follow-up; risk rises when exam and communication are limited.","Missed: diagnostic cues requiring auscultation, private/inaccessible body areas, objective vitals or hands-on exam.",varies,,,Real health-system patient flows for identifying health issues,unknown,Telehealth changes the signal set available for diagnosis.,Decision support should classify problems as telehealth-suitable vs requiring in-person exam/labs/imaging.,https://psnet.ahrq.gov/primer/telehealth-and-patient-safety,high,Useful cross-setting telehealth safety evidence.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C015,S15,Modern General Practice Model,England,primary care,incomplete history; wrong specialty; no one connected the dots,broad primary-care problems,"mode of contact, request reason, urgency, preferred/appropriate professional","Modern access model directs patients via phone/online/in-person to the right professional first time, using care navigation and demand/capacity management.",Identified: routing need; missed: clinical complexity if navigation lacks enough symptom/risk context.,none,,,Real health-system patient flows for identifying health issues,unknown,Routing can optimize capacity but also become a diagnostic gate if symptoms are under-described.,Separate admin routing from clinical triage; capture escalation flags and repeated contacts.,https://www.england.nhs.uk/long-read/modern-general-practice-model/,high,National primary-care access policy.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C016,S16,Care navigation and triage in general practice,UK,primary care,poor handoff; symptom dismissed; red flag missed,primary-care symptoms and admin requests,"reason for contact, urgency, suitable clinician/service",Care navigation signposts to appropriate clinician or service; clinical triage by nurse/GP makes early clinical decisions.,Identified: difference between signposting and clinical triage; missed: escalation if administrative navigation substitutes for clinical judgment.,none,,,Real health-system patient flows for identifying health issues,unknown,Ambiguity over whether a contact is administrative or clinical can lose risk signals.,Make role boundaries explicit and route uncertain cases to clinical triage.,https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice,medium,Professional guidance clarifies first-contact roles.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C017,S17,Suspected cancer: recognition and referral (NG12),England/Wales,primary care,normal-test trap; referral delay; rare disease delay,suspected cancer,"symptoms, signs, primary-care investigation findings, risk threshold","Guideline organizes referral/investigation actions by cancer site, symptom and findings; includes safety netting and diagnostic-process advice.",Identified: cancer suspicion thresholds; missed: patients below threshold or with nonspecific/vague symptoms unless active monitoring occurs.,varies by pathway,,,Real health-system patient flows for identifying health issues,unknown,Threshold pathways may leave low-risk but persistent symptoms in a monitoring black zone.,"Add active-monitoring tasks and symptom persistence triggers, not only referral thresholds.",https://www.nice.org.uk/guidance/NG12/,high,A key formal workflow source for primary-care suspicion/referral.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C018,S18,Safety netting,UK,primary care,normal-test trap; no follow-up ownership; repeated visits ignored,possible cancer or other unresolved condition,"persistent symptoms, negative tests, incomplete investigations, non-attendance, repeat presentations","Safety-netting gives time-bound follow-up, documents advice, ensures tests/referrals completed and monitors persistent symptoms even after negative tests.",Identified: ongoing risk despite low-risk or negative initial results; missed: no owner for follow-up tasks.,time-bound by plan,,,Real health-system patient flows for identifying health issues,unknown,A negative test can prematurely close a diagnostic episode.,"Build safety-net plans with due dates, owner, patient-facing instructions and re-presentation counters.",https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting,medium,Clear source for the normal-test trap and repeat-presentation workflows.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C019,S19,GP mythbuster: managing test results in general practice,England,primary care,abnormal result not followed up; documentation error; no follow-up ownership,any condition with ordered tests,"test ordered, attendance, result returned/not returned, abnormal result, clinician absence, patient notification","Practice needs systems for ordering, tracking attendance, return/non-return, review, filing, patient communication and abnormal follow-up.","Missed: abnormal result not acted on, result not returned, no patient communication or clinician absence gap.",varies,,,Real health-system patient flows for identifying health issues,unknown,Test-result management crosses many people and organisations.,"Implement closed-loop result tracking, unresolved-result inboxes and backup reviewer rules.",https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters,high,Regulator source supports result-management black zones.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,C020,S20,Continuity of care: delayed diagnosis in GP practices,England,primary care,fragmented care; no one connected the dots; missing family/history context; repeated visits ignored,metastatic breast cancer presenting as back pain,"severe persistent back pain, prior breast cancer history, later spinal lump/CT",Over 8 months the patient saw many clinicians; eventual GP found spinal lump and sent patient to ED where CT found metastatic cancer.,Missed/delayed: unresolved symptoms and cancer-history context were not surfaced across repeat contacts.,8 months,,,Real health-system patient flows for identifying health issues,unknown,No one clinician/system connected the repeated back-pain presentations with prior cancer risk.,"Surface unresolved symptom threads, prior high-risk history and multiple-clinician patterns in the EHR.",https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,high,Named public case from national safety investigation; includes patient voice.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/cases_or_examples.csv
