_package_filename,metric_id,source_id,metric_name,metric_value,metric_unit,population_or_sample,country_or_region,setting_or_context,time_period,methodology_note,why_it_matters,research_topic,source_url_or_identifier,evidence_quality,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,M001,S002,inaccurate/delayed/wrong diagnoses,up to 15,percent of diagnoses,OECD diagnostic-safety estimate,OECD countries,all care settings,2025,OECD report estimate,Shows diagnostic safety remains a high-income-system issue.,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,M002,S003,death or permanent disability from disease misdiagnosis,795000,people annually,US population estimate,US,all care settings,unknown,AHRQ-reported estimate,Shows severity and scale of diagnostic harm.,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",https://www.ahrq.gov/diagnostic-safety/index.html,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,M003,S004,incorrect ED diagnosis,1 in 18,ED patients,Emergency department patients,US,emergency department,unknown,AHRQ PSNet systematic review summary,Shows ED diagnosis has high miss risk.,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",https://psnet.ahrq.gov/issue/diagnostic-errors-emergency-department-systematic-review?utm_source=chatgpt.com,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,M004,S012,TB diagnostic delay reduction,8.6,days,Intervention involving referral/free chest x-ray from non-allopathic/allopathic providers,India,community / TB pathway,2026,Peer-reviewed intervention study,Shows nontraditional first contacts can be linked into diagnostic systems.,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,M005,S020,median delay from first symptom to cancer diagnosis,358,days,Cancer patients in Tanzania pathway study,Tanzania,cancer diagnosis pathway,2022,Peer-reviewed qualitative/pathway study,Shows severe delay in low-resource cancer diagnosis.,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",https://link.springer.com/article/10.1186/s12913-021-07438-5,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,M006,S027,needed services not accessed for cultural reasons,32,percent,Indigenous Australians who did not access needed care,Australia,all settings,unknown,AIHW monitoring framework,Shows cultural safety affects entry into care.,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,M007,S021,children diagnosed/treated in RAcE/iCCM,nearly 1.5 million,children,Children under 5 across five African countries,"DRC, Malawi, Mozambique, Niger, Nigeria",community health,2013-2017,WHO programme report,Shows scale of CHW diagnostic/treatment workflow.,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,high,unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,M001,S13,patient safety incidents reviewed,13,incidents,England patient safety investigations / primary care cases,England,primary care,2023,HSSIB investigation sample,Shows repeat GP visits and continuity failures in delayed diagnosis.,Real health-system patient flows for identifying health issues,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,high,curated from completed workbook/source summaries; verify exact numerator/denominator before quantitative reuse,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,M002,S20,average endometriosis diagnosis delay,almost 9,years,Endometriosis UK survey/report respondents,UK,primary care / specialist referral,2024,Advocacy survey/report,Shows chronic illness identification can require years and self-advocacy.,Real health-system patient flows for identifying health issues,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,high,curated from completed workbook/source summaries; verify exact numerator/denominator before quantitative reuse,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,M003,S21,estimated diagnostic error burden,1 in 20,US adults per year,US outpatient adult population,US,outpatient / primary care,2014,BMJ Quality & Safety estimate,"Shows diagnostic error is common enough to design for, not only rare edge cases.",Real health-system patient flows for identifying health issues,https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/,medium,curated from completed workbook/source summaries; verify exact numerator/denominator before quantitative reuse,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,M004,S52,estimated global population lacking essential health services,4.5,billion people,global population,global,low-resource / public health,2023,WHO/World Bank UHC monitoring,Frames resource constraints for real-world identification workflows.,Real health-system patient flows for identifying health issues,https://home.ecri.org/blogs/ecri-news/data-analysis-reveals-common-errors-that-prevent-patients-from-getting-timely-accurate-diagnoses,medium,curated from completed workbook/source summaries; verify exact numerator/denominator before quantitative reuse,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-001,derived_from_case_library,symptom dismissed case count,6,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Patient's stated severity or persistence is treated as low-signal.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-002, B-006, B-019, B-020, B-023, B-024",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-002,derived_from_case_library,mental-health misattribution case count,3,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Physical illness is explained as anxiety/panic/stress before high-risk alternatives are ruled out.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-003, B-021, B-023",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-003,derived_from_case_library,normal-test trap case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,A normal prior/current test is overgeneralized beyond its scope or timing.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-001, B-003, B-004, B-009, B-016, B-021, B-023",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-004,derived_from_case_library,abnormal result not followed up case count,9,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Abnormal lab/imaging/result exists but does not become action.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-005, B-008, B-011, B-012, B-013, B-015, B-017, B-018, B-019",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-005,derived_from_case_library,repeated visits ignored case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Return visits are handled as new isolated encounters instead of escalation signals.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-006, B-009, B-010, B-024, B-025, B-028, B-030",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-006,derived_from_case_library,no one connected the dots case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"Signals distributed across time, specialties, or notes never assemble into a pattern.","Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-001, B-002, B-009, B-014, B-024, B-028, B-032",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-007,derived_from_case_library,poor handoff case count,6,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Important data crosses team/shift/setting boundaries without reliable receipt/action.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-007, B-008, B-011, B-012, B-017, B-018",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-008,derived_from_case_library,no follow-up ownership case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"A necessary next step exists, but no named accountable person owns it.","Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-005, B-011, B-012, B-017, B-018, B-025, B-027",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-009,derived_from_case_library,referral delay case count,7,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"Patient needs another expertise/pathway but referral is late, absent, or not completed.","Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-001, B-002, B-005, B-025, B-029, B-031, B-032",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-010,derived_from_case_library,red flag missed case count,9,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,Time-sensitive warning sign is present but not elevated.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-004, B-005, B-006, B-007, B-010, B-013, B-016, B-030, B-031",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-011,derived_from_case_library,patient self-advocacy required case count,6,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,"Diagnosis advances only after patient/family insists, researches, or returns repeatedly.","Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-002, B-003, B-020, B-021, B-023, B-024",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,M-012,derived_from_case_library,low-resource diagnostic supply gap case count,3,case-library rows,32 curated documented cases/patterns,multiple,multiple,unknown,Count derived from tags in the completed research workbook; not a prevalence estimate.,The test/referral needed to identify disease is unavailable or unreliable.,"Research B - missed signals, diagnostic errors, and late discovery cases",04_topic_outputs/tables/research_b_missed_signals_case_library.xlsx,derived synthesis,"B-025, B-026, B-027",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,M001,S013,delay from positive histology to action,about 6,months,single HDC prostate cancer case,New Zealand,secondary hospital/shared information system,Nov 2021 to May 2022,case chronology from HDC decision,Illustrates abnormal-result follow-up ownership failure.,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/,high,Case-level metric; not a population rate unless stated.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,M002,S011,delay before metastatic cancer diagnosis,8,months,single HSSIB reference event case,"England, UK",GP/out-of-hours/ED/oncology,case period in HSSIB report,case chronology from safety investigation,Illustrates repeated unresolved symptoms not connected across clinicians.,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,high,Case-level metric; not a population rate unless stated.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,M003,S018,symptom tracking before endometriosis diagnosis,nearly 11,years,single advocacy patient story,UK,GP to specialist gynecology,story period,patient advocacy story,Shows patient self-documentation burden and long delay.,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",https://www.endometriosis-uk.org/tayas-story,medium,Case-level metric; not a population rate unless stated.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,M004,S020,endometriosis diagnostic delay,27,years,single advocacy patient story,UK,primary care to gynecology,story period,patient advocacy story,Shows very long chronic condition invalidation.,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",https://www.endometriosis-uk.org/dipikas-story,medium,Case-level metric; not a population rate unless stated.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,M005,S022,blood in stool to bowel cancer diagnosis,about 11,months,single advocacy patient story,"England, UK",primary care/screening/colonoscopy,Feb 2017 to Jan 2018,patient advocacy story,Shows red-flag symptom delay.,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/personal-experiences/debbie-cameron%2C-merseyside/,medium,Case-level metric; not a population rate unless stated.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,M006,S025,severe back pain to rare cancer diagnosis,about 5,months,single news patient story,"England, UK",GP/A&E/imaging/oncology,Nov 2024 to Apr 2025,news patient story,Shows repeated pain presentations before imaging diagnosis.,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",https://people.com/22-year-old-diagnosed-with-terminal-cancer-after-docs-dismiss-symptoms-11855746,low-medium,Case-level metric; not a population rate unless stated.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/statistics_or_metrics.csv
