_package_filename,fact_id,source_id,fact_summary,fact_context,country_or_region,setting_or_context,topic_category,evidence_quality,source_url_or_identifier,research_topic,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F011,S023,The Lancet diagnostics source reported that 47% of the world has little or no access to diagnostics.,Global diagnostic access gap.,Global / LMIC,low-resource care,diagnostic access,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F012,S023,Only about 19% of low/lower-middle income populations have access to the most basic diagnostics at primary-care level.,Global diagnostic access gap.,Global / LMIC,primary care,diagnostic access,high,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,Research D — clinician-side pain points in identifying health issues early,unknown,2026-05-30,clinician_side_diagnostic_pain_points,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F001,S001,"Diagnosis is a complex collaborative process involving patients, families, clinicians, systems, and tools.",Used as conceptual anchor for global diagnostic workflows.,US / generalizable,all care settings,diagnostic safety,high,https://www.nationalacademies.org/projects/IOM-HCS-13-03/publication/21794,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F002,S002,"OECD report estimates that up to 15% of diagnoses in OECD countries may be inaccurate, delayed, or wrong.",Used to frame diagnostic safety as a high-income-system issue too.,OECD countries,all care settings,diagnostic safety metric,high,https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F003,S003,"AHRQ reports an estimate of 795,000 Americans annually dying or becoming permanently disabled from disease misdiagnosis.",Used as US burden metric.,US,all care settings,diagnostic harm burden,high,https://www.ahrq.gov/diagnostic-safety/index.html,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F004,S004,AHRQ PSNet ED review summary estimated roughly 1 in 18 ED patients receive an incorrect diagnosis.,Emergency department diagnostic safety metric.,US,emergency department,ED diagnostic error,high,https://psnet.ahrq.gov/issue/diagnostic-errors-emergency-department-systematic-review?utm_source=chatgpt.com,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F005,S005,HSSIB found GP systems did not reliably surface unresolved symptoms or repeated visits across different clinicians.,Used for UK GP continuity black zone.,England,primary care / GP,continuity failure,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F006,S006,"UK ombudsman identified repeated scan-reading and scan-follow-up failures, including abnormality not identified and results not properly followed up.",Used for abnormal-result closure black zone.,UK,imaging / hospital,diagnostic result follow-up,high,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F007,S008,Israel has universal NHI coverage through four competing nonprofit health plans with strong health-plan EHR integration.,Used for Israel integrated health-plan model.,Israel,primary care / specialist care,health-system structure,high,https://www.commonwealthfund.org/international-health-policy-center/countries/israel,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F008,S010,"Bedouin communities in Israel face physical access, health-literacy, language/cultural, and out-of-system continuity barriers.",Used for underserved/periphery cultural access pattern.,Israel / Negev Bedouin,community / primary care,underserved access,medium,https://link.springer.com/article/10.1186/s12939-025-02398-2,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F009,S011,"India has weak practical gatekeeping, a large public/private/informal ecosystem, slow EHR adoption, and no universal patient identifier.",Used for India fragmented-care model.,India,public/private care,fragmented care,high,https://www.commonwealthfund.org/taxonomy/term/8,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F010,S012,A referral and free chest-x-ray intervention involving non-allopathic providers reduced TB diagnostic delay by 8.6 days.,Used as successful low-resource/community linkage example.,India,community / TB pathway,TB diagnostic delay,high,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F011,S014,China does not generally require referrals and ED information is not routinely sent to primary-care doctors.,Used for open-access/hospital-first continuity risk.,China,hospital outpatient / ED,open access / continuity,high,https://www.commonwealthfund.org/taxonomy/term/3,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F012,S017,Brazil Family Health Strategy teams cover defined households but specialty access remains a major bottleneck causing long queues and diagnostic delays.,Used for CHW and referral bottleneck pattern.,Brazil,community health / referral,CHW / referral bottleneck,high,https://www.commonwealthfund.org/taxonomy/term/5436,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F013,S018,Mexico has a segmented system with private providers delivering substantial outpatient care but poorly integrated into public networks.,Used for public/private fragmentation pattern.,Mexico,public/private outpatient,fragmented care,high,https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-2024-mexico,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F014,S020,Tanzania cancer pathway study reported median delay of 358 days from first symptom to diagnosis.,Used as low-resource diagnostic delay case.,Tanzania,cancer diagnosis pathway,cancer delay,high,https://link.springer.com/article/10.1186/s12913-021-07438-5,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F015,S021,"WHO RAcE/iCCM trained CHWs to diagnose, treat, and refer childhood malaria, pneumonia, and diarrhea.",Used for CHW first-assessment model.,Sub-Saharan Africa,community health,CHW workflow,high,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F016,S022,"WHO Europe reports migrants/refugees face barriers including unclear entitlements, limited interpreters/cultural mediators, financial barriers, discrimination, and poor living conditions.",Used for migrant/refugee access black zones.,Europe,migrant/refugee care,migrant access barriers,high,https://www.who.int/europe/health-topics/refugee-and-migrant-health,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F017,S023,NHS England reports people with limited English can struggle at all points and inconsistent interpreting can prevent engagement.,Used for language barrier workflow design.,England,all NHS settings,language access,high,https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F018,S026,Canadian Indigenous patients may have symptoms taken less seriously and stereotypes can lead to misdiagnosis or neglect.,Used for cultural-safety and racism black zones.,Canada,ED / hospital,Indigenous health equity,medium,https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F019,S027,"AIHW reports 32% of Indigenous Australians who did not access needed services cited cultural reasons such as language, discrimination, or cultural appropriateness.",Used for cultural-safety access barrier metric.,Australia,all settings,cultural safety,high,https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,F020,S030,"GAO reports rural US residents face fewer providers, longer travel, transportation barriers, and less broadband.",Used for rural high-income access pattern.,Rural US,rural care / telehealth,rural access,high,https://www.gao.gov/products/gao-23-106651,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",unknown,2026-05-30,global_health_issue_identification,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F001,S01,"Triage is a rapid risk sort, not a diagnosis; subtle chronic or complex symptoms may appear low acuity if vitals are normal.","Stage: nurse triage; action: Classify acuity using ESI: immediate life-saving intervention, high risk/severe pain, then expected resources, with danger-zone vitals review.",US / internationally used,emergency department,red flag missed; normal-test trap; incomplete history,high,https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf,Real health-system patient flows for identifying health issues,ESI is a documented front-door workflow; its resource prediction step can under-prioritize problems that need diagnostic synthesis rather than many ED resources.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F002,S02,High-risk diagnoses may be missed at the first visit and only recognized after repeat ED return or deterioration.,Stage: first clinician assessment; imaging/lab interpretation; discharge; action: Systematic review estimated diagnostic error harms and common high-harm conditions.,US-focused evidence,emergency department,red flag missed; repeated visits ignored; no follow-up ownership,high,https://www.ncbi.nlm.nih.gov/books/NBK588197/,Real health-system patient flows for identifying health issues,Useful as cross-setting failure evidence rather than a local workflow manual.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F003,S03,Patients may experience an 'occult wait' before triage if registration queues or digital check-in create hidden delays.,"Stage: arrival; registration; nurse triage; streaming; first clinician assessment; action: Initial assessment can include streaming, triage and rapid assessment/treatment to identify sickest patients and direct others to right service.",England,emergency department,poor handoff; red flag missed; no follow-up ownership,high,https://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/,Real health-system patient flows for identifying health issues,Represents a national ED front-door flow rather than a diagnostic guideline.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F004,S04,Operational queues can hide clinical risk before the patient is visible to the triage system.,"Stage: registration; initial assessment; vitals; action: Register quickly, perform initial assessment by trained registered clinician, record minimum clinical fields and use early warning scores where relevant.",UK,emergency department,arrival; registration; red flag missed; poor handoff,high,https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdf,Real health-system patient flows for identifying health issues,Supports the black-zone concept of pre-triage waits.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F005,S05,Decision support needs upstream data completeness and downstream reassessment when diagnosis does not fit.,Stage: arrival; intake; labs ordered; imaging ordered; lab interpretation; discharge/admission; action: Patient arrives by EMS/walk-in; triage/intake RN collects key data; provider orders labs/CXR; CURB-65 and clinical assessment guide admission vs outpatient antibiotics.,US,emergency department,documentation error; no one connected the dots; normal-test trap,medium,https://www.ahrq.gov/sites/default/files/wysiwyg/professionals/quality-patient-safety/quality-resources/tools/cap-toolkit/ed-workflowdiagrams.pdf,Real health-system patient flows for identifying health issues,Real implementation workflow shows how data from different roles enters a decision point.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F006,S06,"Self-service can speed flow but may miss nuance, language barriers or worsening while waiting.","Stage: arrival; intake form; triage; referral; action: Patient self-checks in on kiosk/tablet, completes symptom triage, and can be prioritised, redirected or referred through service routing.",England,urgent care / ED front door,digital access gap; incomplete history; red flag missed,medium,https://digital.nhs.uk/services/urgent-care-self-service-product,Real health-system patient flows for identifying health issues,A current example of digital triage embedded in urgent/emergency care.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F007,S07,"UTC boundaries are porous; patients may need escalation, diagnostics or follow-up ownership outside the UTC.",Stage: arrival; first clinician assessment; labs ordered; imaging ordered; referral; follow-up; action: UTCs accept booked and walk-in patients; provide basic diagnostics or protocols; share records/post-event messages and refer to ED/specialists when needed.,England,urgent care,wrong specialty; poor handoff; no follow-up ownership,high,https://www.england.nhs.uk/publication/urgent-treatment-centres-principles-and-standards/,Real health-system patient flows for identifying health issues,UTC standard describes setting-level capabilities and data-sharing requirements.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F008,S08,The workflow depends on patients knowing when and how to report deterioration while waiting.,"Stage: arrival; vitals; first clinician assessment; discharge/referral; action: On arrival, patients may have observations by nurse, may wait by acuity not arrival order, and can be assessed/treated onsite or referred; GP is updated afterwards.",England,urgent care,red flag missed; patient self-advocacy required,medium,https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,Real health-system patient flows for identifying health issues,Patient-facing description of the real UTC arrival process.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F009,S09,"Vitals create early signal but can be incomplete, delayed or not trended against prior visits.","Stage: vitals; nurse triage; first clinician assessment; action: Initial vitals tailored to age, complaint and status; abnormal vitals reported and repeated.",US,urgent care,normal-test trap; lab trend missed; documentation error,medium,https://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdf,Real health-system patient flows for identifying health issues,"Practical urgent-care policy source, not a population study.",2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F010,S10,Non-clinical intake staff may be the first safety barrier.,Stage: registration; intake form; nurse triage; action: Registration/intake staff ask reason for visit; red flags trigger immediate rooming and clinician involvement or ED transfer.,US,urgent care,red flag missed; incomplete history; poor handoff,medium,https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf,Real health-system patient flows for identifying health issues,Shows how triage starts before formal clinician assessment.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F011,S11,Digital triage may fragment complex histories into a single main symptom.,"Stage: before visit; intake form; referral; action: Patient completes one symptom pathway; service gives advice such as self-care, pharmacist, GP, UTC, ED or callback.",England,telehealth,incomplete history; wrong specialty; no one connected the dots,medium,https://111.nhs.uk/,Real health-system patient flows for identifying health issues,Patient-facing NHS 111 online flow.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F012,S12,The handoff is only as good as the service directory and referral visibility.,Stage: before visit; intake form; referral; action: Uses structured triage and service directory to recommend ambulance/ED/UTC/out-of-hours GP/GP/pharmacist/self-care outcomes.,England,telehealth,wrong specialty; poor handoff; fragmented care,medium,https://digital.nhs.uk/services/nhs-111-online,Real health-system patient flows for identifying health issues,Staff-facing service information documents integration pieces.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F013,S13,Online access can create a digital bottleneck and reduce the chance to observe/examine patients.,Stage: before visit; intake form; first clinician assessment; follow-up; action: Asynchronous online consultations support clinical/admin requests but may be capped or rerouted by practices for safety.,England,telehealth,digital access gap; incomplete history; no follow-up ownership; chronic illness invalidation,high,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,Real health-system patient flows for identifying health issues,HSSIB source includes patient and staff focus groups and practice visits.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F014,S14,Telehealth changes the signal set available for diagnosis.,"Stage: medical history; physical exam; vitals; referral; follow-up; action: Telehealth can be safer when embedded in a medical home with records, tests, referrals and follow-up; risk rises when exam and communication are limited.",US / international,telehealth,normal-test trap; incomplete physical exam; poor follow-up ownership,high,https://psnet.ahrq.gov/primer/telehealth-and-patient-safety,Real health-system patient flows for identifying health issues,Useful cross-setting telehealth safety evidence.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F015,S15,Routing can optimize capacity but also become a diagnostic gate if symptoms are under-described.,"Stage: before visit; intake form; care navigation; first clinician assessment; action: Modern access model directs patients via phone/online/in-person to the right professional first time, using care navigation and demand/capacity management.",England,primary care,incomplete history; wrong specialty; no one connected the dots,high,https://www.england.nhs.uk/long-read/modern-general-practice-model/,Real health-system patient flows for identifying health issues,National primary-care access policy.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F016,S16,Ambiguity over whether a contact is administrative or clinical can lose risk signals.,Stage: care navigation; clinical triage; referral; action: Care navigation signposts to appropriate clinician or service; clinical triage by nurse/GP makes early clinical decisions.,UK,primary care,poor handoff; symptom dismissed; red flag missed,medium,https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice,Real health-system patient flows for identifying health issues,Professional guidance clarifies first-contact roles.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F017,S17,Threshold pathways may leave low-risk but persistent symptoms in a monitoring black zone.,"Stage: medical history; physical exam; labs ordered; referral; safety netting; action: Guideline organizes referral/investigation actions by cancer site, symptom and findings; includes safety netting and diagnostic-process advice.",England/Wales,primary care,normal-test trap; referral delay; rare disease delay,high,https://www.nice.org.uk/guidance/NG12/,Real health-system patient flows for identifying health issues,A key formal workflow source for primary-care suspicion/referral.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F018,S18,A negative test can prematurely close a diagnostic episode.,"Stage: follow-up; repeat visit; diagnosis discussion; action: Safety-netting gives time-bound follow-up, documents advice, ensures tests/referrals completed and monitors persistent symptoms even after negative tests.",UK,primary care,normal-test trap; no follow-up ownership; repeated visits ignored,medium,https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting,Real health-system patient flows for identifying health issues,Clear source for the normal-test trap and repeat-presentation workflows.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F019,S19,Test-result management crosses many people and organisations.,"Stage: labs ordered; lab interpretation; follow-up; action: Practice needs systems for ordering, tracking attendance, return/non-return, review, filing, patient communication and abnormal follow-up.",England,primary care,abnormal result not followed up; documentation error; no follow-up ownership,high,https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters,Real health-system patient flows for identifying health issues,Regulator source supports result-management black zones.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F020,S20,No one clinician/system connected the repeated back-pain presentations with prior cancer risk.,Stage: repeat visit; medical history; specialist review; emergency escalation; action: Over 8 months the patient saw many clinicians; eventual GP found spinal lump and sent patient to ED where CT found metastatic cancer.,England,primary care,fragmented care; no one connected the dots; missing family/history context; repeated visits ignored,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,Real health-system patient flows for identifying health issues,Named public case from national safety investigation; includes patient voice.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F021,S21,Repeat visits are often visible only as isolated encounters.,"Stage: repeat visit; physical exam; referral; labs ordered; action: After three presentations, GP teams are prompted to reflect, review and rethink, consider face-to-face exam, second opinion, tests or referral.",England,primary care,repeated visits ignored; no one connected the dots; bias or minimization,medium,https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/,Real health-system patient flows for identifying health issues,Current NHS initiative; useful product pattern for persistent symptoms.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz,F022,S22,Chronic pain and women's health symptoms can be minimized despite repeated presentations.,Stage: medical history; referral; specialist review; repeat visit; action: Survey documented repeated GP visits and A&E attendance before diagnosis; respondents reported dismissal/minimisation.,UK,primary care,symptom dismissed; chronic illness invalidation; bias or minimization; patient self-advocacy required,medium,https://www.endometriosis-uk.org/diagnosis-report,Real health-system patient flows for identifying health issues,Advocacy survey gives patient voice and quantitative delay data.,2026-05-30,health_system_patient_flows,research_evidence_package/02_extracted_evidence/facts.csv
