feature_name,product_area,user,problem_statement,evidence_summary,status,patient_stage,missed_signal,why_missed,proposed_capability,data_needed,risk_level,complexity,expected_value,failure_mode,safety_guardrail,example_quote_or_case,internal_evidence_refs,source_links_count,source_links
Patient/family deterioration escalation route,Patient voice protection; Black-zone prevention,patient; caregiver; nurse; doctor,"Patient or family concern about deterioration may not reliably change triage level or trigger senior review, especially after discharge or during inpatient deterioration.",Patient complaint and global packages include family concerns and sepsis escalation; England’s Martha’s Rule is listed as a patient-safety initiative; Brian and scan cases include families trying to get clinicians to listen.,supported by some evidence,follow-up; discharge; inpatient ward; emergency escalation; repeat visit,"family/caregiver concern, “not right,” worsening after discharge, deterioration despite reassurance",concerns are not structured as actionable tasks; families lack a clear escalation channel.,"Escalation button/check-in that routes deterioration concern to the right clinical review tier with context, recent tests, and safety-net instructions.","patient/caregiver concern, symptom change, recent encounter/result/referral, current red flags, contact preference, escalation level and response time",high,medium-high,high,overuse causes triage burden; patients think it guarantees urgent care; response delays create liability,clear emergency instructions; triage rules and response times; audit unanswered escalation; avoid replacing emergency services,Patient/family quotes include “No one listened to us” and “He should have been in hospital.”,"research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: S036, C004, C007, Q004, Q008 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E023, Q003 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C020, C024 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-006",7,"https://www.england.nhs.uk/patient-safety/marthas-rule/
https://www.careopinion.org.uk/1349233
https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings
https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://psnet.ahrq.gov/web-mm"
Stage-specific red-flag prompts and emergency pathway timers,Black-zone prevention; Clinician workflow support,nurse; doctor; urgent-care clinician; CHW,"Time-sensitive red flags can be missed at arrival, triage, first assessment, discharge, or resource-limited community assessment.","ED/urgent-care workflows, ESI, urgent-care red-flag policies, IMCI/iCCM danger signs, and Research B emergency cases support stage-specific red-flag prompting.",strongly supported,arrival; nurse triage; vitals; first clinician assessment; labs ordered; imaging ordered; discharge,"chest pain, shortness of breath, focal deficits, sepsis danger signs, torsion symptoms, abnormal vitals, pediatric danger signs",first handler may be non-clinical/under-resourced; red flags compete with volume; atypical presentations look benign.,"Configurable red-flag module by setting: ED/UC timers, serial ECG/troponin reminders, sepsis reassessment, ultrasound/CTA prompts, CHW danger-sign escalation.","presenting symptoms, vitals, age/risk state, red-flag answers, timestamps, ordered tests, reassessment times, escalation decision and rationale",high,high,high,unsafe algorithmic triage if treated as diagnosis; alert fatigue; inappropriate local pathway assumptions,clinician override with rationale; local governance; audit false positives/negatives; show uncertainty and time-critical rationale,"Research B emergency pathway cases include pediatric sepsis, STEMI after missing ECG, stroke, and torsion; ED review shows top high-harm conditions concentrate ED diagnostic harm.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E002, C001, C009, C041, C039, C040, 04_topic_outputs/diagrams_or_flows/flow_maps.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-006, B-007, B-016, B-030, M-010 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E008, M007 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E023",10,"https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf
https://www.ncbi.nlm.nih.gov/books/NBK588197/
https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf
https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://www.childhealthtaskforce.org/hubs/iccm
https://link.springer.com/article/10.1186/s12245-025-01005-z
https://psnet.ahrq.gov/web-mm
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/
https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade"
Cross-specialty pattern map for unresolved multi-system symptoms,Doctor-facing summary; Referral,doctor; specialist; patient,"Symptoms that span GI, gynecology, cardiology, neurology, mental health, or rare-disease domains can be bounced between specialties without a shared unresolved-problem view.","Missed-signal cases include endometriosis, PSVT misattributed to panic, Crohn’s/gender bias, LAM, and myasthenia; patient complaints include wrong specialty routing for rectal cancer.",supported by some evidence,referral; specialist review; repeat visit; diagnosis discussion,"multi-system symptom cluster, specialty handoff gaps, adjacent specialty not considered, patient history split by organ system",specialists receive narrow referral questions; primary care lacks a cross-specialty pattern summary; mental-health or demographic labels anchor interpretation.,"Unresolved-pattern view that clusters symptoms and prior specialty conclusions, suggests missing specialty domains/questions, and provides a shared handoff summary.","symptom categories, prior specialist notes, tests/results, unresolved questions, referral outcomes, patient concern, contraindications, local services",high,high,medium-high,inaccurate specialty suggestions; over-referral; undermines specialist judgment,"present as “questions to consider,” not diagnosis; local referral rules; track outcomes to calibrate","Research B cross-specialty referral map cites B-002, B-003, B-024, B-029, B-032; patient case C015 involved a young rectal cancer patient in a wrong-specialty loop.","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-002, B-003, B-024, B-029, B-032, 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C015, Q014 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C047, C048",6,"https://psnet.ahrq.gov/web-mm
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/
https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/
https://www.all-can.org/efficiency-hub/danish-cancer-patient-pathways-three-legged-strategy-for-faster-referral-and-diagnosis-of-cancer/
https://www.nature.com/articles/s41416-024-02620-y"
Concise doctor-facing diagnostic episode summary,Doctor-facing summary; Clinician workflow support,doctor; nurse; specialist,"Clinicians face time pressure, EHR burden, alert overload, note bloat, and scattered prior data while trying to identify hidden or complex conditions.","Clinician package documents EHR alert overload, time pressure, note bloat, and scattered screens; patient-flow/global packages call for cross-episode views and explicit unresolved-problem tracking.",strongly supported,first clinician assessment; medical history; specialist review; repeat visit,"prior unresolved issues, abnormal labs, trends, referrals, patient concern, prior failed diagnoses, uncertainty",information exists but is not prioritized by diagnostic relevance; copied-forward notes and alerts bury signal.,"One-page diagnostic episode summary: timeline, red flags, abnormal/pending results, trend deltas, repeat visits, current patient concern, missing data checklist, and open questions.","problem clusters, encounters, notes, lab trends, imaging results, referrals, pending tasks, patient intake, clinician uncertainty, prior diagnoses",high,high,very high,summary omits critical nuance; hallucinated/incorrect summarization; clinician overtrust,source-linked summary lines; show recency/provenance; allow drill-down; mark uncertainty and unreviewed patient data,Clinician quote: “More alerts than they could effectively manage”; emergency clinician/commentary: “see what my screen looks like.”,"research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, E015, E016, Q003, Q011, M002, M003, M004, M005, M006 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 03_analysis/key_findings.md, 05_implications/product_or_system_implications.md | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 05_implications/product_or_system_implications.md",9,"https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753
https://link.springer.com/article/10.1007/s11606-019-05343-6
https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/
https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/
https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.html
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540
https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html
https://www.ahrq.gov/diagnostic-safety/index.html"
Missing-data checklist and suggested questions,Doctor-facing summary; Patient intake,doctor; nurse; patient,"Key data needed for diagnostic synthesis—family history, prior tests, medication changes, red flags, physical exam limitations, interpreter needs—may never be collected or reviewed.",Patient-flow black-zone matrix highlights incomplete history; online consultation tools can lose complexity; complaints show family history and physical examination gaps; telehealth/virtual care has physical exam limitations.,strongly supported,intake form; medical history; physical exam; telehealth; first clinician assessment,"family history, prior tests, medication access, red flags, physical exam limitation, interpreter need, patient’s main fear",forms are generic; encounter time is short; care navigation and telehealth separate data collection from clinician reasoning.,"Dynamic checklist generated from setting, symptom cluster, prior records, and patient-entered concerns: “ask/verify before closure.”","symptom category, visit type, demographics only where clinically justified, prior data, missing fields, local pathway requirements",medium-high,medium,high,checklist fatigue; biased rules; creates rigid medicine; misses free-text signals,"short, explainable prompts; no hard diagnosis; clinician can mark not applicable; include narrative review reminder",Patient case C005: family history/caregiver input can be diagnostic signal; HSSIB GP quote warns single-symptom algorithms miss complexity.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv, 04_topic_outputs/maps_or_matrices/stage_data_matrix.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C005, C003, C018 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q005, E011 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-002, B-003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: S023, S024",9,"https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/
https://psnet.ahrq.gov/primer/telehealth-and-patient-safety
https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice
https://www.careopinion.org.uk/176152
https://www.careopinion.org.uk/1117906
https://www.careopinion.org.uk/1333013
https://psnet.ahrq.gov/web-mm
https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/
https://www.gov.uk/guidance/language-interpretation-migrant-health-guide"
Note-diff and copy-forward detection,Clinician workflow support,doctor; nurse; quality/safety team,"Important new information can be buried in copied-forward documentation and long notes, making it harder to notice change over time.",Clinician package identifies note bloat and documentation burden as a workflow obstacle and recommends note-diff/copy-forward detection.,supported by some evidence,medical history; first clinician assessment; follow-up; specialist review,"new/worsened symptom, changed lab trend, unresolved issue hidden in unchanged note text",EHR documentation emphasizes completeness and billing; copied text obscures fresh signal.,"Highlight “what changed since last visit” across notes, patient text, labs, meds, and referrals; flag excessive copy-forward in diagnostic episodes.","prior notes, current note, timestamps, structured data deltas, problem list changes, patient-entered updates",medium,high,medium,privacy/comparison errors; clinician distrust if diff is noisy; false accusations of copy-forward,frame as navigation aid; show exact sources; avoid punitive language; let clinicians dismiss irrelevant deltas,Clinician package product implication: “Provide note-diff and copied-forward detection.”,"research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E016, 05_implications/product_or_system_implications.md",1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/
Patient voice protection and visit-summary correction,Patient voice protection,patient; caregiver; doctor; admin,"Patients report being dismissed, not listened to, or receiving unclear explanations; positive examples show listening, explanation, and whole-person context can improve trust and signal capture.","Patient complaint package contains 20 patient/clinician/public quotes, including dismissal and positive counter-patterns; patient-flow and missed-signal packages echo self-advocacy and patient-voice failures.",strongly supported,diagnosis discussion; discharge; follow-up; patient portal,"patient’s own words, unresolved concerns, incorrect summary, dismissed symptom without explanation, deterioration concern",clinical notes are clinician-authored; patients often cannot correct misunderstandings quickly; summary portals can obscure diagnosis status.,"Patient voice ledger: verbatim concern quote, “what matters most,” what was addressed/not addressed, patient correction request, and clinician response/status.","patient quote, concerns list, visit summary, unresolved concerns, correction request, clinician response, timestamps, privacy preferences",medium-high,medium-high,high,adversarial tone; clinician workload; inappropriate or stigmatizing patient language copied into record,respectful language normalization with original preserved separately; triage correction urgency; clinician response workflow; privacy review,"Negative quote: “I felt completely dismissed and silenced.” Positive quotes: “Gave me time whilst he listened”; “Whole person, not just the pain.”","research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: Q001, Q003, Q018, Q019, Q020, C018 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: Q002, Q004, C022 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: Q-003, Q-004, Q-007 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q004",11,"https://www.careopinion.org.uk/1429947
https://www.careopinion.org.uk/1117906
https://www.careopinion.org.uk/1333013
https://www.careopinion.org.uk/1065736
https://www.careopinion.org.uk/1328982
https://www.endometriosis-uk.org/diagnosis-report
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.independent.co.uk/news/health/cervical-cancer-screens-misdiagnosis-nhs-b2563898.html
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999
https://link.springer.com/article/10.1186/s12875-024-02526-x"
Bias and misattribution guardrail,Safety and ethics; Patient voice protection,doctor; nurse; quality/safety team,"Symptoms may be minimized because of age, gender, mental-health labels, anxiety/stress explanations, diagnostic overshadowing, or chronic illness stigma before dangerous physical alternatives are reviewed.","Research B counts mental-health misattribution and symptom dismissal; clinician package cites diagnostic overshadowing; patient complaints include “too young,” “normal part of womanhood,” and anxiety used against patient.",strongly supported / needs caution,first clinician assessment; medical history; referral; diagnosis discussion,"persistent physical symptoms under psychiatric/age/gender label, red flags, functional decline, patient/caregiver concern","anchoring, stereotypes, time pressure, difficult-patient labels, normal-test reassurance.","Guardrail prompt when closing under anxiety/stress/age/gender/functional label: physical red flags reviewed, explanation documented, follow-up/safety net set, patient concern addressed.","diagnostic/visit labels, symptom persistence, red flags, patient quote, prior visits, follow-up plan, clinician rationale",high,medium-high,high,stigmatizes clinicians or mental health conditions; checkbox compliance; biased trigger rules,"focus on coexisting physical risk; non-punitive wording; audit equity outcomes; include mental-health care as valid care, not exclusion","Quotes include “all in your head,” “Too young to have cancer,” and “Normal part of womanhood.” Clinician source defines diagnostic overshadowing.","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-001, M-002, B-003, B-021, Q-004, Q-007 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C013, C015, Q010, Q014 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q012, Q013, E018, E019 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C022",8,"https://www.sciencedirect.com/science/article/pii/S2667321522001299
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999
https://www.endometriosis-uk.org/orlas-story
https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/
https://qualitysafety.bmj.com/content/26/1/13
https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682
https://www.endometriosis-uk.org/diagnosis-report"
"Language, interpreter, and cultural-safety fields",Global adaptation; Patient intake,patient; caregiver; doctor; nurse; admin,"Language barriers, cultural safety, racism, mistrust, and migration/Indigenous context affect whether symptoms are voiced, believed, escalated, and followed up.",Global package high-confidence findings say language access and cultural safety affect diagnostic identification; metrics include 32% needed services not accessed for cultural reasons in an Australian source.,strongly supported / region-specific,before visit; intake form; medical history; referral; follow-up,"preferred language, interpreter need, cultural safety concern, mistrust, prior discrimination, migration/Indigenous health context",fields are treated as administrative or experience data rather than diagnostic safety data.,"Language/cultural-safety profile attached to diagnostic episode: interpreter mode, translated intake, trust concerns, culturally safe escalation contacts, and consented community/caregiver support.","preferred language, interpreter requirement, communication preferences, cultural safety notes, consent, translated patient materials, access barriers",high,medium-high,high in affected populations,privacy harm; stereotypes; fields ignored; interpreter shortage not solved by software,patient-controlled visibility where possible; do not infer ethnicity/culture; track whether interpreter was actually provided; local governance with communities,"Global package: “Language access and cultural safety affect diagnostic identification, not only patient experience.”","research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E024, E026, E027, E028, M006, 03_analysis/key_findings.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 04_topic_outputs/maps_or_matrices/stage_data_matrix.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017, Q017",8,"https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/
https://www.gov.uk/guidance/language-interpretation-migrant-health-guide
https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada
https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary
https://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecs
https://psnet.ahrq.gov/primer/telehealth-and-patient-safety
https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/
https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/"
Low-resource diagnostic availability and provenance layer,Global adaptation; Black-zone prevention,CHW; nurse; doctor; system manager; patient,"In low-resource settings, missed identification may result from unavailable tests, stockouts, unreliable equipment, transport/cost barriers, or lack of referral capacity—not only clinician reasoning.","Clinician/global packages cite diagnostic access gaps; Research B counts low-resource diagnostic supply gaps; patient-flow package includes HWC, IMCI/iCCM, Uganda triage, and CHW pathways.",strongly supported / region-specific,labs ordered; imaging ordered; referral; follow-up; home/community visit,"test unavailable, stockout, equipment quality, sample provenance, referral alternative, counter-referral, affordability","the chart may only show that a test was not done, not why or what fallback plan exists.","Resource-aware layer: mark test availability/provenance, stockout, fallback plan, referral alternative, and supply-chain/manager escalation.","facility capabilities, stock status, test source, device/lab quality, cost/transport barriers, referral options, fallback safety-net plan",high,high,very high in low-resource settings,blames clinic for infrastructure gaps; stale stock data; unsafe fallback suggestions,non-punitive infrastructure reporting; timestamped availability; clinician/local-protocol review; offline mode,Global metric: 47% of world population with little or no diagnostic access; Research E Tanzania cancer pathway median delay 358 days from first symptom to diagnosis.,"research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M009, M010 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M005, E020, S020, 05_implications/product_or_system_implications.md | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-012, B-025, B-026, B-027 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C038, C039, C040, C041, C042",12,"https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/
https://link.springer.com/article/10.1186/s12913-021-07438-5
https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme
https://psnet.ahrq.gov/issue/diagnostic-excellence-us-rural-healthcare-call-action
https://www.gao.gov/products/gao-23-106651
https://doaj.org/article/7ae6f62fe6174a639fc8a63fd8a97cfd
https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0001532
https://link.springer.com/article/10.1186/1475-2875-13-295
https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf
https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://www.childhealthtaskforce.org/hubs/iccm
https://link.springer.com/article/10.1186/s12245-025-01005-z"
CHW and informal-provider referral capture,Global adaptation; Patient intake,CHW; informal provider; nurse; doctor; public-health admin,"Community health workers and informal/non-allopathic providers are often first-contact nodes, but their observations and referral attempts may not enter the formal diagnostic record.","Global package includes India TB referral intervention, rural India CHW cancer detection, WHO RAcE/iCCM, and Brazil Family Health Strategy; patient-flow package includes HWC, iCCM, and home/community pathways.",strongly supported / region-specific,before visit; home/community visit; referral; follow-up,"home observations, danger signs, community screening, informal-provider referral, household/social risk, failure to reach referral facility",formal systems often begin at clinic registration; CHW/informal records can be paper/offline/disconnected.,"CHW/informal referral capture: minimal offline form, danger signs, referral reason, photo/document capture, referral receipt, counter-referral/result return.","CHW/informal provider ID, household/patient consent, symptoms/danger signs, screening result, referral facility, attendance, outcome, follow-up task",high,high,high in CHW-based systems,untrained users overburdened; privacy risks in shared devices; referral capacity absent,scope-of-practice limits; supervision; offline encryption; referral backup before assigning responsibility,Global metric: non-allopathic provider referral intervention reduced TB diagnostic delay by 8.6 days; RAcE/iCCM diagnosed/treated nearly 1.5 million children.,"research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M004, M007, E012, E013, E021 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C038, C039, C040, C043, FM12, FM14, FM15",7,"https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416
https://link.springer.com/article/10.1186/s12889-025-22735-y
https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme
https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf
https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://www.childhealthtaskforce.org/hubs/iccm
https://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workers"
Patient-held record import for fragmented systems,Global adaptation; Longitudinal tracking,patient; caregiver; doctor; nurse; admin,"Out-of-system care, private/informal providers, paper records, SMS results, and prior scans may be invisible to the clinician seeing the patient today.","Global package states private/informal/out-of-system care can be invisible and recommends patient-held record import using photos, PDFs, SMS, and manual entry.",supported by some evidence / region-specific,before visit; registration; medical history; referral; specialist review,"outside labs, scans, discharge summaries, prescriptions, referral letters, SMS results, private/informal care history",health systems are fragmented; interoperability and patient access differ by region; patients carry fragmented evidence.,"Secure import of photos/PDFs/SMS/manual records with provenance, translation, OCR/human review flag, and clinician verification status.","uploaded files, source/facility, date, document type, patient notes, consent, verification status, extracted key data",high,high,medium-high,incorrect OCR/extraction; forged or mismatched records; privacy leak; clinician overload,mark as unverified until reviewed; retain original image/document; show source/date; minimize copied data,"Global package product implication: patient-held record import using photos, PDFs, SMS, and manual entry.","research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md, 05_implications/product_or_system_implications.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C049, C050 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017",10,"https://www.commonwealthfund.org/taxonomy/term/8
https://www.commonwealthfund.org/taxonomy/term/3
https://www.commonwealthfund.org/taxonomy/term/5436
https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-2024-mexico
https://www.paho.org/en/news/29-9-2025-lives-and-economies-risk-weak-primary-health-care-latin-america-and-caribbean-world
https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/
https://www.maccabi4u.co.il/en/46562/main_english/our-healthcare-system/diagnostic-services/
https://home.ecri.org/blogs/ecri-news/data-analysis-reveals-common-errors-that-prevent-patients-from-getting-timely-accurate-diagnoses
https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/
https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/"
Public-health screening follow-up navigator,Black-zone prevention; Public health screening,patient; navigator; primary care; specialist; admin,"Positive screening results or abnormal FIT/mammography/cervical/histology signals require diagnostic completion, but patients can disappear between screen, diagnostic test, specialist appointment, and result discussion.","Patient-flow package includes abnormal FIT navigation, national screening pathways, and screening false-reassurance; patient complaint and missed-signal packages include delayed cancer after missed smear/histology.",strongly supported,public health screening; lab interpretation; referral; follow-up; diagnosis discussion,"positive screen, non-returned kit, colonoscopy not booked/attended, confirmation checkup, result not communicated","screening systems may not own diagnostic completion across primary care, labs, specialists, and patient logistics.","Screening navigator with closed-loop positive-result tracking, navigator outreach, barriers, appointment completion, results, and symptom warning after negative screen.","eligibility, invite/kit status, result, symptom status, navigator contact, diagnostic appointment, barriers, final result and follow-up plan",medium-high,medium-high,high,negative-screen false reassurance; contact fatigue; privacy concerns around outreach,clear patient language: screening is not diagnosis; targeted navigator escalation; protect outreach privacy,A patient complaint package case reports positive prostate cancer histology not actioned for about six months; B case B-019 concerns terminal cervical cancer after missed smear tests.,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C032, C033, C034, C035, C036, C037 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-019 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C010, M001 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E025",9,"https://www.sciencedirect.com/science/article/pii/S221133552300102X
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659
https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/
https://www.gov.uk/government/publications/breast-screening-programme-pathway-requirements/breast-screening-programme-pathway-requirements
https://www.gov.uk/government/publications/cervical-screening-programme-pathway-requirements/cervical-screening-programme-pathway-requirements
https://www.cdc.gov/cancer/php/interventions/patient-navigation.html
https://www.independent.co.uk/news/health/cervical-cancer-screens-misdiagnosis-nhs-b2563898.html
https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/
https://link.springer.com/article/10.1186/s12916-024-03713-4"
Diagnosis-status clarity and “not yet explained” state,Patient-facing workflow; Safety and ethics,patient; doctor; admin,"Patients can leave portals or visits believing a diagnosis was ruled out, confirmed, or ignored when the clinician actually considers it unresolved or pending.","Patient complaints include “still no idea,” no initial explanation, rejected referral without meeting patient, and product implications call for diagnosis-status clarity in portals.",supported by some evidence,diagnosis discussion; discharge; follow-up; patient portal,"uncertainty, pending tests, unresolved symptoms, differential not closed, diagnosis status mismatch",portal labels and discharge summaries often flatten uncertainty; patients may not know what remains open.,"Problem status labels: confirmed, suspected, ruled out for now, not yet explained, pending test/referral, watchful waiting with trigger to return; patient can ask for clarification.","diagnosis/problem status, clinician rationale, pending items, safety-net plan, patient acknowledgement, clarification request",medium-high,medium,high,creates false reassurance or anxiety; clinicians reluctant to document uncertainty; patient misunderstands “not yet explained.”,standard uncertainty language; clinician-controlled diagnosis labels; patient-friendly explanations; no autonomous final diagnosis,Patient quote: “Still in severe pain and still have no idea.” Another quote: “No one had told me initially.”,"research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: Q003, Q007, C003, C006, 05_implications/product_or_system_implications.md | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E009",4,"https://www.careopinion.org.uk/1117906
https://www.careopinion.org.uk/1378025
https://www.careopinion.org.uk/1167674
https://link.springer.com/article/10.1186/s12875-024-02526-x"
