_package_filename,review_id,source_id,source_platform_or_type,country_or_region,setting_or_context,review_or_complaint_excerpt_short,complaint_context,process_step,complaint_type,what_person_wanted,what_service_or_staff_did,pain_point_or_failure_mode,research_topic,what_was_missed_or_failed,outcome_if_known,product_or_system_implication,source_url_or_identifier,evidence_quality,notes,date_packaged,_package_tag,_internal_path
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-001,unknown,AHRQ PSNet WebM&M case analysis,United States,primary care; specialist clinic; hospital outpatient,Source reports she felt made to feel 'she was crazy.',Severe cyclic pain normalized and split between GI and gynecology.,medical history; first clinician assessment; referral; specialist review,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,"Create menstrual + GI timeline capture, severity thresholds, and cross-specialty prompts for persistent dysmenorrhea.",https://psnet.ahrq.gov/web-mm/endometriosis-common-and-commonly-missed-and-delayed-diagnosis,high,Case shows patient and mother advocacy as a diagnostic driver.,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-002,unknown,AHRQ PSNet WebM&M case analysis,United States,emergency department; primary care; specialist clinic,Patient explicitly asked if it could be a heart rhythm problem.,Intermittent conditions can disappear during testing and become labeled psychiatric.,first clinician assessment; labs/imaging interpretation; referral; repeat visit,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,Offer event-triggered monitoring workflows and a 'normal when asymptomatic' warning for episodic cardiopulmonary complaints.,https://psnet.ahrq.gov/web-mm/paroxysmal-supraventricular-tachycardia-masquerading-panic-attacks,high,"Source notes PSVT symptoms are often attributed to panic/anxiety, especially in women.",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-003,unknown,AHRQ PSNet WebM&M case analysis,United States,primary care; specialist clinic; emergency department,Source says patient felt the urology clinician was dismissive and berating.,A high-risk measurement lacked immediate safety action and patient education.,medical history; specialist review; labs ordered; follow-up; emergency escalation,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,"Create hard-stop follow-up for extreme post-void residual: creatinine, catheter plan, teach-back, and owner assignment.",https://psnet.ahrq.gov/web-mm/renal-failure-due-benign-prostatic-hyperplasia,high,Case shows relational rupture causing loss to follow-up.,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-004,S-006,News report with legal admission/public complaint,England / United Kingdom,public health screening; specialist clinic; hospital outpatient,Patient urged others to 'trust their instincts.',Screening result and symptom follow-up failed over years.,public health screening; lab interpretation; diagnosis discussion; follow-up,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,"Screening safety layer: patient-visible abnormal-history timeline, second-review triggers, and symptom/result reconciliation.",https://www.independent.co.uk/news/health/cervical-cancer-screens-misdiagnosis-nhs-b2563898.html,medium,"Use cautiously: source is journalism, but cites legal admission/settlement and trust response.",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-005,S-007,Peer-reviewed qualitative survey article,United States,primary care; specialist clinic; telehealth,Patients described dismissal of their experience.,New chronic condition lacked stable diagnostic workflow and validation.,first clinician assessment; medical history; diagnosis discussion; referral; long-term monitoring,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,Capture patient-generated longitudinal symptom burden and prevent closure solely because routine tests are normal.,https://www.sciencedirect.com/science/article/pii/S2667321522001299,medium,Not one case; included as documented patient-voice pattern.,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-006,S-008,Patient-advocacy survey report,International / mostly patient-reported,primary care; emergency department; specialist clinic,Survey reports many were told symptoms were 'all in your head.',A simple orthostatic pattern is missed when symptoms are separated by specialty.,medical history; first clinician assessment; referral; specialist review; long-term monitoring,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,Add orthostatic-vital workflow and patient-triggered POTS screener for recurrent tachycardia/dizziness/fatigue complaints.,https://www.dysautonomiainternational.org/page.php?ID=184,medium,Survey has advocacy-source limitations but valuable patient voice and numeric delay pattern.,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-007,S-009,News report of coroner's inquest,England / United Kingdom,primary care; hospital inpatient; home/community visit,She asked for help to 'get enough food to live.',Functional decline and care needs fell between medical and social-care boundaries.,before visit; first clinician assessment; inpatient assessment; discharge; long-term monitoring,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,"Track functional intake, hydration, and care capacity as clinical red flags, not just social notes.",https://www.theguardian.com/society/article/2024/jul/22/devon-woman-with-me-asked-gp-to-help-her-get-enough-food-to-live-inquest-hears,medium,Highly sensitive case; included with minimal public details.,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-008,S-010,Patient essay / public patient story,United States,primary care; specialist clinic,Patient wrote that anxiety was used against her.,Basic normal labs blocked deeper autoimmune evaluation despite systemic pattern.,medical history; labs ordered; lab interpretation; referral; patient self-advocacy,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,"Give patients structured way to upload symptom photos, family history, and flare timelines; flag repeated systemic symptoms even with normal basic labs.",https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999,low,"Patient-story evidence; useful for voice/pattern, not incidence.",2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz,R-009,S-011,Advocacy group patient story,United States,primary care; specialist clinic; inpatient ward; emergency department,Story attributes delay partly to being a young woman.,Age/gender assumptions diverted GI disease into behavioral explanation.,medical history; referral; specialist review; repeat visit; emergency escalation,unknown,"recognition, diagnosis, follow-up, or escalation",unknown,,"Research B - missed signals, diagnostic errors, and late discovery cases",unknown,unknown,"Use red-flag pediatric/adolescent GI triggers: weight loss, fractures/malnutrition, recurrent admissions, infections, and persistent abdominal pain.",https://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/,low,Patient-story evidence; included for bias/young-woman workflow pattern.,2026-05-30,missed_signals_diagnostic_errors,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R001,S001,public patient review,UK,hospital / acute assessment,I felt completely dismissed and silenced.,Patient described doctor cutting off symptom history and demanding yes/no answers.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1429947,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R002,S002,public patient review,UK,primary care,They decided to only treat the acid reflux.,Autistic patient brought advocate and list of priorities; only reflux addressed.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1258944,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R003,S003,public emergency department review,"Scotland, UK",emergency department,Still in severe pain and still have no idea.,Patient discharged from ED after bloods and X-ray interpreted as reassuring.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1117906,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R004,S004,public family review,"England, UK","A&E, GP, ambulance/111",No one listened to us.,Relative reported severe back pain after bowel cancer dismissed across services.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1349233,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R005,S005,public parent review,"Scotland, UK",CAMHS / adolescent mental health,Refused to listen properly.,Parent said initial CAMHS psychiatrist dismissed family input and genetics/family history.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/176152,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R006,S006,public patient review with service response,"Scotland, UK",primary care to mental health referral,Not even meeting me.,Patient said psychiatrist declined ADHD assessment without patient encounter.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1167674,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R007,S007,public patient review,"England, UK","A&E, physiotherapy, community services",No one had told me initially.,Patient found diagnostic language in portal and felt letters framed things inconsistently.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1378025,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R008,S018,advocacy patient story,UK,GP to specialist gynecology,Too many women worry about endometriosis.,Patient recalled specialist comment during endometriosis referral review.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.endometriosis-uk.org/tayas-story,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R009,S019,advocacy patient story,UK,"primary care, fertility clinic, gynecology",Normal part of womanhood.,Patient said severe adolescent symptoms were normalized.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.endometriosis-uk.org/orlas-story,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R010,S020,advocacy patient story,UK,primary care to gynecology,Finally had answers after 27 years.,Patient reflected on long endometriosis diagnostic delay.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.endometriosis-uk.org/dipikas-story,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R011,S021,advocacy patient story,UK,"A&E, imaging, surgery",I wasn’t given any further information.,Patient reported little explanation after surgery/endometriosis diagnosis.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.endometriosis-uk.org/stephanies-story-0,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R012,S022,advocacy patient story,"England, UK","primary care, screening, colonoscopy",I wasn’t even examined.,Patient with blood in stool said GP did not examine her before IBS/piles explanation.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/personal-experiences/debbie-cameron%2C-merseyside/,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R013,S023,advocacy patient story,"England, UK","A&E, gynecology, screening, colonoscopy",Too young to have cancer.,Young bowel cancer patient reported age-based dismissal.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R014,S025,news patient story,"England, UK","GP, A&E, imaging, oncology",Why would you come to A&E for back pain?,Young patient with severe back pain recalled dismissive emergency response.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://people.com/22-year-old-diagnosed-with-terminal-cancer-after-docs-dismiss-symptoms-11855746,low-medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R015,S026,news health-system story,Nigeria,"clinics/hospitals, labs, gynecology",I felt like I was going crazy.,Patient described repeated inconclusive tests and infection treatment before cervical cancer biopsy.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/,low-medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R016,S027,news report with patient accounts,Nigeria,hospitals and labs,Health workers’ poor attitude is another major issue.,Patient/commentary in Nigerian wrong-diagnosis report.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/,low,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz,R017,S037,public positive review,UK,primary care / NHS-linked review,Gave me time whilst he listened.,Positive review of thorough consultation and result explanation.,unknown,patient experience / diagnostic identification workflow,"to be heard, assessed, explained, followed up, or referred as appropriate",see source-specific evidence and cases_or_examples.csv,,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",unknown; see linked case/evidence rows where extracted,unknown; see linked case/evidence rows where extracted,see linked quote/case product implication,https://www.careopinion.org.uk/1333013,medium,Review/complaint row extracted from public or reported patient-experience source.,2026-05-30,patient_complaints_identification_failures,research_evidence_package/02_extracted_evidence/reviews_or_complaints.csv
