insight,status,problem_statement,evidence_basis,interpretation,contradictions_or_limits,next_evidence_needed,internal_evidence_refs
Patient/family deterioration escalation route,supported by some evidence,"Patient or family concern about deterioration may not reliably change triage level or trigger senior review, especially after discharge or during inpatient deterioration.",Patient complaint and global packages include family concerns and sepsis escalation; England’s Martha’s Rule is listed as a patient-safety initiative; Brian and scan cases include families trying to get clinicians to listen.,"Escalation button/check-in that routes deterioration concern to the right clinical review tier with context, recent tests, and safety-net instructions.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: S036, C004, C007, Q004, Q008 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E023, Q003 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C020, C024 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-006"
Stage-specific red-flag prompts and emergency pathway timers,strongly supported,"Time-sensitive red flags can be missed at arrival, triage, first assessment, discharge, or resource-limited community assessment.","ED/urgent-care workflows, ESI, urgent-care red-flag policies, IMCI/iCCM danger signs, and Research B emergency cases support stage-specific red-flag prompting.","Configurable red-flag module by setting: ED/UC timers, serial ECG/troponin reminders, sepsis reassessment, ultrasound/CTA prompts, CHW danger-sign escalation.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E002, C001, C009, C041, C039, C040, 04_topic_outputs/diagrams_or_flows/flow_maps.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-006, B-007, B-016, B-030, M-010 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E008, M007 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E023"
Cross-specialty pattern map for unresolved multi-system symptoms,supported by some evidence,"Symptoms that span GI, gynecology, cardiology, neurology, mental health, or rare-disease domains can be bounced between specialties without a shared unresolved-problem view.","Missed-signal cases include endometriosis, PSVT misattributed to panic, Crohn’s/gender bias, LAM, and myasthenia; patient complaints include wrong specialty routing for rectal cancer.","Unresolved-pattern view that clusters symptoms and prior specialty conclusions, suggests missing specialty domains/questions, and provides a shared handoff summary.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-002, B-003, B-024, B-029, B-032, 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C015, Q014 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C047, C048"
Concise doctor-facing diagnostic episode summary,strongly supported,"Clinicians face time pressure, EHR burden, alert overload, note bloat, and scattered prior data while trying to identify hidden or complex conditions.","Clinician package documents EHR alert overload, time pressure, note bloat, and scattered screens; patient-flow/global packages call for cross-episode views and explicit unresolved-problem tracking.","One-page diagnostic episode summary: timeline, red flags, abnormal/pending results, trend deltas, repeat visits, current patient concern, missing data checklist, and open questions.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, E015, E016, Q003, Q011, M002, M003, M004, M005, M006 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 03_analysis/key_findings.md, 05_implications/product_or_system_implications.md | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 05_implications/product_or_system_implications.md"
Missing-data checklist and suggested questions,strongly supported,"Key data needed for diagnostic synthesis—family history, prior tests, medication changes, red flags, physical exam limitations, interpreter needs—may never be collected or reviewed.",Patient-flow black-zone matrix highlights incomplete history; online consultation tools can lose complexity; complaints show family history and physical examination gaps; telehealth/virtual care has physical exam limitations.,"Dynamic checklist generated from setting, symptom cluster, prior records, and patient-entered concerns: “ask/verify before closure.”",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv, 04_topic_outputs/maps_or_matrices/stage_data_matrix.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C005, C003, C018 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q005, E011 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-002, B-003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: S023, S024"
Note-diff and copy-forward detection,supported by some evidence,"Important new information can be buried in copied-forward documentation and long notes, making it harder to notice change over time.",Clinician package identifies note bloat and documentation burden as a workflow obstacle and recommends note-diff/copy-forward detection.,"Highlight “what changed since last visit” across notes, patient text, labs, meds, and referrals; flag excessive copy-forward in diagnostic episodes.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E016, 05_implications/product_or_system_implications.md"
Patient voice protection and visit-summary correction,strongly supported,"Patients report being dismissed, not listened to, or receiving unclear explanations; positive examples show listening, explanation, and whole-person context can improve trust and signal capture.","Patient complaint package contains 20 patient/clinician/public quotes, including dismissal and positive counter-patterns; patient-flow and missed-signal packages echo self-advocacy and patient-voice failures.","Patient voice ledger: verbatim concern quote, “what matters most,” what was addressed/not addressed, patient correction request, and clinician response/status.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: Q001, Q003, Q018, Q019, Q020, C018 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: Q002, Q004, C022 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: Q-003, Q-004, Q-007 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q004"
Bias and misattribution guardrail,strongly supported / needs caution,"Symptoms may be minimized because of age, gender, mental-health labels, anxiety/stress explanations, diagnostic overshadowing, or chronic illness stigma before dangerous physical alternatives are reviewed.","Research B counts mental-health misattribution and symptom dismissal; clinician package cites diagnostic overshadowing; patient complaints include “too young,” “normal part of womanhood,” and anxiety used against patient.","Guardrail prompt when closing under anxiety/stress/age/gender/functional label: physical red flags reviewed, explanation documented, follow-up/safety net set, patient concern addressed.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-001, M-002, B-003, B-021, Q-004, Q-007 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C013, C015, Q010, Q014 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q012, Q013, E018, E019 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C022"
"Language, interpreter, and cultural-safety fields",strongly supported / region-specific,"Language barriers, cultural safety, racism, mistrust, and migration/Indigenous context affect whether symptoms are voiced, believed, escalated, and followed up.",Global package high-confidence findings say language access and cultural safety affect diagnostic identification; metrics include 32% needed services not accessed for cultural reasons in an Australian source.,"Language/cultural-safety profile attached to diagnostic episode: interpreter mode, translated intake, trust concerns, culturally safe escalation contacts, and consented community/caregiver support.",Evidence supports this in some system types; may not fit integrated high-resource systems or settings without referral capacity. Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E024, E026, E027, E028, M006, 03_analysis/key_findings.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 04_topic_outputs/maps_or_matrices/stage_data_matrix.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017, Q017"
Low-resource diagnostic availability and provenance layer,strongly supported / region-specific,"In low-resource settings, missed identification may result from unavailable tests, stockouts, unreliable equipment, transport/cost barriers, or lack of referral capacity—not only clinician reasoning.","Clinician/global packages cite diagnostic access gaps; Research B counts low-resource diagnostic supply gaps; patient-flow package includes HWC, IMCI/iCCM, Uganda triage, and CHW pathways.","Resource-aware layer: mark test availability/provenance, stockout, fallback plan, referral alternative, and supply-chain/manager escalation.",Evidence supports this in some system types; may not fit integrated high-resource systems or settings without referral capacity. Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M009, M010 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M005, E020, S020, 05_implications/product_or_system_implications.md | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-012, B-025, B-026, B-027 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C038, C039, C040, C041, C042"
CHW and informal-provider referral capture,strongly supported / region-specific,"Community health workers and informal/non-allopathic providers are often first-contact nodes, but their observations and referral attempts may not enter the formal diagnostic record.","Global package includes India TB referral intervention, rural India CHW cancer detection, WHO RAcE/iCCM, and Brazil Family Health Strategy; patient-flow package includes HWC, iCCM, and home/community pathways.","CHW/informal referral capture: minimal offline form, danger signs, referral reason, photo/document capture, referral receipt, counter-referral/result return.",Evidence supports this in some system types; may not fit integrated high-resource systems or settings without referral capacity. Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M004, M007, E012, E013, E021 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C038, C039, C040, C043, FM12, FM14, FM15"
Patient-held record import for fragmented systems,supported by some evidence / region-specific,"Out-of-system care, private/informal providers, paper records, SMS results, and prior scans may be invisible to the clinician seeing the patient today.","Global package states private/informal/out-of-system care can be invisible and recommends patient-held record import using photos, PDFs, SMS, and manual entry.","Secure import of photos/PDFs/SMS/manual records with provenance, translation, OCR/human review flag, and clinician verification status.",Evidence supports this in some system types; may not fit integrated high-resource systems or settings without referral capacity. Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md, 05_implications/product_or_system_implications.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C049, C050 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017"
Public-health screening follow-up navigator,strongly supported,"Positive screening results or abnormal FIT/mammography/cervical/histology signals require diagnostic completion, but patients can disappear between screen, diagnostic test, specialist appointment, and result discussion.","Patient-flow package includes abnormal FIT navigation, national screening pathways, and screening false-reassurance; patient complaint and missed-signal packages include delayed cancer after missed smear/histology.","Screening navigator with closed-loop positive-result tracking, navigator outreach, barriers, appointment completion, results, and symptom warning after negative screen.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C032, C033, C034, C035, C036, C037 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-019 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C010, M001 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E025"
Diagnosis-status clarity and “not yet explained” state,supported by some evidence,"Patients can leave portals or visits believing a diagnosis was ruled out, confirmed, or ignored when the clinician actually considers it unresolved or pending.","Patient complaints include “still no idea,” no initial explanation, rejected referral without meeting patient, and product implications call for diagnosis-status clarity in portals.","Problem status labels: confirmed, suspected, ruled out for now, not yet explained, pending test/referral, watchful waiting with trigger to return; patient can ask for clarification.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: Q003, Q007, C003, C006, 05_implications/product_or_system_implications.md | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E009"
Risk-ranked result/referral worklists to reduce alert fatigue,strongly supported / needs caution,"Adding reminders can worsen clinician alert fatigue unless the system prioritizes meaningful diagnostic risk, ownership, and actionability.",Clinician package reports median 63 EHR alerts/day and missed-result risk; risks notes warn more alerts can worsen alert fatigue; referral/result follow-up evidence supports risk-ranked queues.,"Unified risk-ranked worklist for abnormal results, referrals, pending tests, and unresolved episodes, using criticality, elapsed time, deterioration, and patient vulnerability/access risk.",Potential safety/ethics concern; requires clinical governance and local calibration.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, M002, M003, M004, 05_implications/risks_and_safety_notes.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C024, C025 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-004, M-008, M-009"
Symptom-still-present check-ins after normal tests or watchful waiting,strongly supported,Safety-netting relies on patients knowing when/how to re-contact care and on systems noticing that symptoms persist after reassurance.,"Safety-netting, normal-test trap, repeated visits, and patient complaints repeatedly show persistent symptoms after a normal test or discharge can be lost.","Timed check-in asking whether key symptoms resolved/worsened, with red-flag routing, patient-friendly return instructions, and clinician review if unresolved.",No direct contradiction found in packages; still requires prospective validation.,"Workflow test with clinicians/patients; measure closed-loop completion, clinician time, alert burden, patient trust, and missed/escalated cases.","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E018, C018, C034, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-003, B-001, B-004 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C003, C007, Q003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md"
