backlog_id,feature_name,priority,release_theme,evidence_status,risk_level,complexity,expected_value,primary_user,problem_solved,acceptance_criteria,must_have_guardrail,internal_evidence_refs,source_links
F-11,Patient/family deterioration escalation route,P3,Later,supported by some evidence,high,medium-high,high,patient; caregiver; nurse; doctor,"Patient or family concern about deterioration may not reliably change triage level or trigger senior review, especially after discharge or during inpatient deterioration.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",clear emergency instructions; triage rules and response times; audit unanswered escalation; avoid replacing emergency services,"research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: S036, C004, C007, Q004, Q008 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E023, Q003 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C020, C024 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-006","https://www.england.nhs.uk/patient-safety/marthas-rule/
https://www.careopinion.org.uk/1349233
https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings
https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://psnet.ahrq.gov/web-mm"
F-12,Stage-specific red-flag prompts and emergency pathway timers,P2,Acute pathways,strongly supported,high,high,high,nurse; doctor; urgent-care clinician; CHW,"Time-sensitive red flags can be missed at arrival, triage, first assessment, discharge, or resource-limited community assessment.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",clinician override with rationale; local governance; audit false positives/negatives; show uncertainty and time-critical rationale,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E002, C001, C009, C041, C039, C040, 04_topic_outputs/diagrams_or_flows/flow_maps.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-006, B-007, B-016, B-030, M-010 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E008, M007 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E023","https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdf
https://www.ncbi.nlm.nih.gov/books/NBK588197/
https://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdf
https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://www.childhealthtaskforce.org/hubs/iccm
https://link.springer.com/article/10.1186/s12245-025-01005-z
https://psnet.ahrq.gov/web-mm
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://www.ncbi.nlm.nih.gov/sites/books/NBK588118/
https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade"
F-13,Cross-specialty pattern map for unresolved multi-system symptoms,P2,Specialty coordination,supported by some evidence,high,high,medium-high,doctor; specialist; patient,"Symptoms that span GI, gynecology, cardiology, neurology, mental health, or rare-disease domains can be bounced between specialties without a shared unresolved-problem view.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.","present as “questions to consider,” not diagnosis; local referral rules; track outcomes to calibrate","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-002, B-003, B-024, B-029, B-032, 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C015, Q014 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C047, C048","https://psnet.ahrq.gov/web-mm
https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies
https://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/
https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/
https://www.all-can.org/efficiency-hub/danish-cancer-patient-pathways-three-legged-strategy-for-faster-referral-and-diagnosis-of-cancer/
https://www.nature.com/articles/s41416-024-02620-y"
F-14,Concise doctor-facing diagnostic episode summary,P1,Clinician experience,strongly supported,high,high,very high,doctor; nurse; specialist,"Clinicians face time pressure, EHR burden, alert overload, note bloat, and scattered prior data while trying to identify hidden or complex conditions.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",source-linked summary lines; show recency/provenance; allow drill-down; mark uncertainty and unreviewed patient data,"research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, E015, E016, Q003, Q011, M002, M003, M004, M005, M006 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 03_analysis/key_findings.md, 05_implications/product_or_system_implications.md | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 05_implications/product_or_system_implications.md","https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753
https://link.springer.com/article/10.1007/s11606-019-05343-6
https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/
https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/
https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.html
https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/
https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540
https://www.oecd.org/en/publications/the-economics-of-diagnostic-safety_fc61057a-en.html
https://www.ahrq.gov/diagnostic-safety/index.html"
F-15,Missing-data checklist and suggested questions,P1,Context surfacing,strongly supported,medium-high,medium,high,doctor; nurse; patient,"Key data needed for diagnostic synthesis—family history, prior tests, medication changes, red flags, physical exam limitations, interpreter needs—may never be collected or reviewed.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.","short, explainable prompts; no hard diagnosis; clinician can mark not applicable; include narrative review reminder","research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv, 04_topic_outputs/maps_or_matrices/stage_data_matrix.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C005, C003, C018 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q005, E011 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-002, B-003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: S023, S024","https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/
https://psnet.ahrq.gov/primer/telehealth-and-patient-safety
https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice
https://www.careopinion.org.uk/176152
https://www.careopinion.org.uk/1117906
https://www.careopinion.org.uk/1333013
https://psnet.ahrq.gov/web-mm
https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/
https://www.gov.uk/guidance/language-interpretation-migrant-health-guide"
F-16,Note-diff and copy-forward detection,P3,Advanced EHR,supported by some evidence,medium,high,medium,doctor; nurse; quality/safety team,"Important new information can be buried in copied-forward documentation and long notes, making it harder to notice change over time.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",frame as navigation aid; show exact sources; avoid punitive language; let clinicians dismiss irrelevant deltas,"research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E016, 05_implications/product_or_system_implications.md",https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/
F-17,Patient voice protection and visit-summary correction,P1,Trust and correction,strongly supported,medium-high,medium-high,high,patient; caregiver; doctor; admin,"Patients report being dismissed, not listened to, or receiving unclear explanations; positive examples show listening, explanation, and whole-person context can improve trust and signal capture.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",respectful language normalization with original preserved separately; triage correction urgency; clinician response workflow; privacy review,"research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: Q001, Q003, Q018, Q019, Q020, C018 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: Q002, Q004, C022 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: Q-003, Q-004, Q-007 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q004","https://www.careopinion.org.uk/1429947
https://www.careopinion.org.uk/1117906
https://www.careopinion.org.uk/1333013
https://www.careopinion.org.uk/1065736
https://www.careopinion.org.uk/1328982
https://www.endometriosis-uk.org/diagnosis-report
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.independent.co.uk/news/health/cervical-cancer-screens-misdiagnosis-nhs-b2563898.html
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999
https://link.springer.com/article/10.1186/s12875-024-02526-x"
F-18,Bias and misattribution guardrail,P2,Equity and safety,strongly supported / needs caution,high,medium-high,high,doctor; nurse; quality/safety team,"Symptoms may be minimized because of age, gender, mental-health labels, anxiety/stress explanations, diagnostic overshadowing, or chronic illness stigma before dangerous physical alternatives are reviewed.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.","focus on coexisting physical risk; non-punitive wording; audit equity outcomes; include mental-health care as valid care, not exclusion","research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-001, M-002, B-003, B-021, Q-004, Q-007 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C013, C015, Q010, Q014 | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: Q012, Q013, E018, E019 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C022","https://www.sciencedirect.com/science/article/pii/S2667321522001299
https://www.dysautonomiainternational.org/page.php?ID=184
https://www.popsugar.com/health/how-i-got-my-lupus-diagnosis-personal-essay-49345999
https://www.endometriosis-uk.org/orlas-story
https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/
https://qualitysafety.bmj.com/content/26/1/13
https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682
https://www.endometriosis-uk.org/diagnosis-report"
F-19,"Language, interpreter, and cultural-safety fields",P1,Global adaptation foundation,strongly supported / region-specific,high,medium-high,high in affected populations,patient; caregiver; doctor; nurse; admin,"Language barriers, cultural safety, racism, mistrust, and migration/Indigenous context affect whether symptoms are voiced, believed, escalated, and followed up.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",patient-controlled visibility where possible; do not infer ethnicity/culture; track whether interpreter was actually provided; local governance with communities,"research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E024, E026, E027, E028, M006, 03_analysis/key_findings.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: 04_topic_outputs/maps_or_matrices/stage_data_matrix.csv | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017, Q017","https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/
https://www.gov.uk/guidance/language-interpretation-migrant-health-guide
https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada
https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary
https://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecs
https://psnet.ahrq.gov/primer/telehealth-and-patient-safety
https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/
https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/"
F-20,Low-resource diagnostic availability and provenance layer,P2,Global/LMIC adaptation,strongly supported / region-specific,high,high,very high in low-resource settings,CHW; nurse; doctor; system manager; patient,"In low-resource settings, missed identification may result from unavailable tests, stockouts, unreliable equipment, transport/cost barriers, or lack of referral capacity—not only clinician reasoning.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",non-punitive infrastructure reporting; timestamped availability; clinician/local-protocol review; offline mode,"research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: M009, M010 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M005, E020, S020, 05_implications/product_or_system_implications.md | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-012, B-025, B-026, B-027 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C038, C039, C040, C041, C042","https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/
https://link.springer.com/article/10.1186/s12913-021-07438-5
https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme
https://psnet.ahrq.gov/issue/diagnostic-excellence-us-rural-healthcare-call-action
https://www.gao.gov/products/gao-23-106651
https://doaj.org/article/7ae6f62fe6174a639fc8a63fd8a97cfd
https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0001532
https://link.springer.com/article/10.1186/1475-2875-13-295
https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf
https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://www.childhealthtaskforce.org/hubs/iccm
https://link.springer.com/article/10.1186/s12245-025-01005-z"
F-21,CHW and informal-provider referral capture,P2,Global/LMIC adaptation,strongly supported / region-specific,high,high,high in CHW-based systems,CHW; informal provider; nurse; doctor; public-health admin,"Community health workers and informal/non-allopathic providers are often first-contact nodes, but their observations and referral attempts may not enter the formal diagnostic record.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",scope-of-practice limits; supervision; offline encryption; referral backup before assigning responsibility,"research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: M004, M007, E012, E013, E021 | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C038, C039, C040, C043, FM12, FM14, FM15","https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416
https://link.springer.com/article/10.1186/s12889-025-22735-y
https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme
https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf
https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/
https://www.childhealthtaskforce.org/hubs/iccm
https://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workers"
F-22,Patient-held record import for fragmented systems,P3,Fragmented-system interoperability,supported by some evidence / region-specific,high,high,medium-high,patient; caregiver; doctor; nurse; admin,"Out-of-system care, private/informal providers, paper records, SMS results, and prior scans may be invisible to the clinician seeing the patient today.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",mark as unverified until reviewed; retain original image/document; show source/date; minimize copied data,"research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md, 05_implications/product_or_system_implications.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C049, C050 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C017","https://www.commonwealthfund.org/taxonomy/term/8
https://www.commonwealthfund.org/taxonomy/term/3
https://www.commonwealthfund.org/taxonomy/term/5436
https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-2024-mexico
https://www.paho.org/en/news/29-9-2025-lives-and-economies-risk-weak-primary-health-care-latin-america-and-caribbean-world
https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/
https://www.maccabi4u.co.il/en/46562/main_english/our-healthcare-system/diagnostic-services/
https://home.ecri.org/blogs/ecri-news/data-analysis-reveals-common-errors-that-prevent-patients-from-getting-timely-accurate-diagnoses
https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/
https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/"
F-23,Public-health screening follow-up navigator,P2,Public health,strongly supported,medium-high,medium-high,high,patient; navigator; primary care; specialist; admin,"Positive screening results or abnormal FIT/mammography/cervical/histology signals require diagnostic completion, but patients can disappear between screen, diagnostic test, specialist appointment, and result discussion.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",clear patient language: screening is not diagnosis; targeted navigator escalation; protect outreach privacy,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C032, C033, C034, C035, C036, C037 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: B-019 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C010, M001 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: E025","https://www.sciencedirect.com/science/article/pii/S221133552300102X
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659
https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/
https://www.gov.uk/government/publications/breast-screening-programme-pathway-requirements/breast-screening-programme-pathway-requirements
https://www.gov.uk/government/publications/cervical-screening-programme-pathway-requirements/cervical-screening-programme-pathway-requirements
https://www.cdc.gov/cancer/php/interventions/patient-navigation.html
https://www.independent.co.uk/news/health/cervical-cancer-screens-misdiagnosis-nhs-b2563898.html
https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/
https://link.springer.com/article/10.1186/s12916-024-03713-4"
F-24,Diagnosis-status clarity and “not yet explained” state,P2,Patient portal,supported by some evidence,medium-high,medium,high,patient; doctor; admin,"Patients can leave portals or visits believing a diagnosis was ruled out, confirmed, or ignored when the clinician actually considers it unresolved or pending.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",standard uncertainty language; clinician-controlled diagnosis labels; patient-friendly explanations; no autonomous final diagnosis,"research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: Q003, Q007, C003, C006, 05_implications/product_or_system_implications.md | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: 04_topic_outputs/other_outputs/product_opportunities.csv | research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E009","https://www.careopinion.org.uk/1117906
https://www.careopinion.org.uk/1378025
https://www.careopinion.org.uk/1167674
https://link.springer.com/article/10.1186/s12875-024-02526-x"
F-25,Risk-ranked result/referral worklists to reduce alert fatigue,P0,MVP safety backbone,strongly supported / needs caution,high,high,very high,doctor; nurse; admin; specialist,"Adding reminders can worsen clinician alert fatigue unless the system prioritizes meaningful diagnostic risk, ownership, and actionability.","Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",transparent ranking factors; local calibration; monitor false positives/false negatives; keep unranked search/filter view,"research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz: E001, M002, M003, M004, 05_implications/risks_and_safety_notes.md | research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: C024, C025 | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-004, M-008, M-009","https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753
https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/
https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/
https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/investigation-report/"
F-26,Symptom-still-present check-ins after normal tests or watchful waiting,P1,Safety-netting,strongly supported,medium-high,medium,high,patient; nurse; doctor,Safety-netting relies on patients knowing when/how to re-contact care and on systems noticing that symptoms persist after reassurance.,"Capability is source-linked, clinician-reviewable, patient language is preserved respectfully, ownership/closure states are auditable, and false-positive/false-negative monitoring is defined.",always show emergency instructions; limit to selected episodes; escalate by red flag/persistence; make owner explicit,"research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz: E018, C018, C034, 04_topic_outputs/maps_or_matrices/black_zones_matrix.csv | research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz: M-003, B-001, B-004 | research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz: C003, C007, Q003 | research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz: 03_analysis/patterns.md","https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting
https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/
https://psnet.ahrq.gov/web-mm
https://www.careopinion.org.uk/1117906
https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failings"
