master_evidence_id,record_type,source_package_or_file,internal_id,source_id,topic_or_area,stage_or_layer,fact_or_finding,product_implication_or_interpretation,evidence_quality_or_status,evidence_ref,date_packaged
RF-EVID-0033,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q008,S011,fatigue,fatigue,"We are not only risking patient safety, but staff retention…",,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q008,2026-05-30
RF-EVID-0034,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q009,S011,fatigue,fatigue,I can’t remember how I got home.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q009,2026-05-30
RF-EVID-0035,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q010,S015,triage overload,triage overload,substantial cognitive and emotional strain.,,medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q010,2026-05-30
RF-EVID-0036,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q011,S024,workflow visibility,workflow visibility,Follow me around for a shift; see what my screen looks like.,,low-medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q011,2026-05-30
RF-EVID-0037,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q012,S020,bias,bias,Difficult patients may negatively affect doctors’ diagnostic reasoning.,,medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q012,2026-05-30
RF-EVID-0038,quote,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Q013,S021,diagnostic overshadowing,diagnostic overshadowing,Diagnostic overshadowing is the misattribution of physical symptoms to mental illness.,,medium,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q013,2026-05-30
RF-EVID-0039,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M001,S001,,,Annual death or permanent disability from disease misdiagnoses,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M001,2026-05-30
RF-EVID-0040,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M002,S005,,,Median EHR alerts per day,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M002,2026-05-30
RF-EVID-0041,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M003,S005,,,Practitioners saying EHR notification system made it possible to miss test results,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M003,2026-05-30
RF-EVID-0042,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M004,S005,,,Practitioners reporting personally missed abnormal lab/imaging results delaying care,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M004,2026-05-30
RF-EVID-0043,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M005,S007,,,Clinicians needing more time for new patients,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M005,2026-05-30
RF-EVID-0044,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M006,S007,,,Clinicians needing more time for follow-up visits,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M006,2026-05-30
RF-EVID-0045,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M007,S012,,,Serious ED misdiagnosis harms accounted for by top 15 conditions,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M007,2026-05-30
RF-EVID-0046,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M008,S016,,,Referral-loop failure-rate range cited,,medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M008,2026-05-30
RF-EVID-0047,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M009,S023,,,World population with little or no diagnostic access,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M009,2026-05-30
RF-EVID-0048,metric,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,M010,S023,,,Low/lower-middle-income population with access to basic diagnostics at primary-care level,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M010,2026-05-30
RF-EVID-0049,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F001,S001,diagnostic burden,diagnostic burden,"AHRQ estimates 795,000 Americans die or are permanently disabled each year from disease misdiagnoses.",,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F001,2026-05-30
RF-EVID-0050,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F002,S002,diagnostic process,diagnostic process,"Diagnosis is framed as a collaborative, patient-centered process rather than a single physician act.",,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F002,2026-05-30
RF-EVID-0051,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F003,S003,diagnostic excellence,diagnostic excellence,"CDC diagnostic-excellence framework includes ordering, interpreting, communicating, and acting on diagnostic tests.",,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F003,2026-05-30
RF-EVID-0052,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F004,S005,alert fatigue,alert fatigue,VA primary care practitioners in the survey reported a median of 63 EHR alerts per day.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F004,2026-05-30
RF-EVID-0053,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F005,S005,alert fatigue,alert fatigue,55.6% of VA PCPs in the survey said the EHR notification system made it possible to miss test results.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F005,2026-05-30
RF-EVID-0054,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F006,S005,missed abnormal results,missed abnormal results,29.8% of surveyed VA PCPs reported personally missing abnormal lab/imaging results that delayed care.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F006,2026-05-30
RF-EVID-0055,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F007,S007,time pressure,time pressure,67% of clinicians in the time-pressure study needed more time for new patients and 53% for follow-ups.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F007,2026-05-30
RF-EVID-0056,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F008,S009,continuity failure,continuity failure,The HSSIB Brian case involved an eight-month delay before diagnosis of spinal metastatic cancer.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F008,2026-05-30
RF-EVID-0057,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F009,S012,ED diagnostic error,ED diagnostic error,The AHRQ ED review found the top 15 conditions accounted for 68% of serious misdiagnosis-related harms.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F009,2026-05-30
RF-EVID-0058,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F010,S016,referral loop failure,referral loop failure,Closed-loop referral literature cited 65%–73% failure rates for diagnostic referrals.,,medium-high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F010,2026-05-30
RF-EVID-0059,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F011,S023,diagnostic access,diagnostic access,The Lancet diagnostics source reported that 47% of the world has little or no access to diagnostics.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F011,2026-05-30
RF-EVID-0060,fact,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,F012,S023,diagnostic access,diagnostic access,Only about 19% of low/lower-middle income populations have access to the most basic diagnostics at primary-care level.,,high,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/facts.csv::F012,2026-05-30
RF-EVID-0061,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E001,S001,diagnostic safety,varies,"Diagnosis is a complex collaborative process involving patients, families, clinicians, systems, and tools.",See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E001,2026-05-30
RF-EVID-0062,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E002,S002,diagnostic safety metric,varies,"OECD report estimates that up to 15% of diagnoses in OECD countries may be inaccurate, delayed, or wrong.",See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E002,2026-05-30
RF-EVID-0063,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E003,S003,diagnostic harm burden,varies,"AHRQ reports an estimate of 795,000 Americans annually dying or becoming permanently disabled from disease misdiagnosis.",See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E003,2026-05-30
RF-EVID-0064,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E004,S004,ED diagnostic error,varies,AHRQ PSNet ED review summary estimated roughly 1 in 18 ED patients receive an incorrect diagnosis.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E004,2026-05-30
RF-EVID-0065,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E005,S005,continuity failure,varies,HSSIB found GP systems did not reliably surface unresolved symptoms or repeated visits across different clinicians.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E005,2026-05-30
RF-EVID-0066,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E006,S006,diagnostic result follow-up,varies,"UK ombudsman identified repeated scan-reading and scan-follow-up failures, including abnormality not identified and results not properly followed up.",See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E006,2026-05-30
RF-EVID-0067,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E007,S008,health-system structure,varies,Israel has universal NHI coverage through four competing nonprofit health plans with strong health-plan EHR integration.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E007,2026-05-30
RF-EVID-0068,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E008,S010,underserved access,varies,"Bedouin communities in Israel face physical access, health-literacy, language/cultural, and out-of-system continuity barriers.",See implications files for product mapping.,medium,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E008,2026-05-30
RF-EVID-0069,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E009,S011,fragmented care,varies,"India has weak practical gatekeeping, a large public/private/informal ecosystem, slow EHR adoption, and no universal patient identifier.",See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E009,2026-05-30
RF-EVID-0070,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E010,S012,TB diagnostic delay,varies,A referral and free chest-x-ray intervention involving non-allopathic providers reduced TB diagnostic delay by 8.6 days.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E010,2026-05-30
RF-EVID-0071,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E011,S014,open access / continuity,varies,China does not generally require referrals and ED information is not routinely sent to primary-care doctors.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E011,2026-05-30
RF-EVID-0072,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E012,S017,CHW / referral bottleneck,varies,Brazil Family Health Strategy teams cover defined households but specialty access remains a major bottleneck causing long queues and diagnostic delays.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E012,2026-05-30
RF-EVID-0073,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E013,S018,fragmented care,varies,Mexico has a segmented system with private providers delivering substantial outpatient care but poorly integrated into public networks.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E013,2026-05-30
RF-EVID-0074,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E014,S020,cancer delay,varies,Tanzania cancer pathway study reported median delay of 358 days from first symptom to diagnosis.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E014,2026-05-30
RF-EVID-0075,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E015,S021,CHW workflow,varies,"WHO RAcE/iCCM trained CHWs to diagnose, treat, and refer childhood malaria, pneumonia, and diarrhea.",See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E015,2026-05-30
RF-EVID-0076,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E016,S022,migrant access barriers,varies,"WHO Europe reports migrants/refugees face barriers including unclear entitlements, limited interpreters/cultural mediators, financial barriers, discrimination, and poor living conditions.",See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E016,2026-05-30
RF-EVID-0077,evidence_item,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz,E017,S023,language access,varies,NHS England reports people with limited English can struggle at all points and inconsistent interpreting can prevent engagement.,See implications files for product mapping.,high,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E017,2026-05-30
