Feature name,User,Problem solved,Evidence supporting it,Patient-stage,Data needed,Risk level,Complexity,Expected value,Failure mode,Safety guardrail,Example quote or case,Source links,Status,feature_id,date_packaged,research_topic
Triage red-flag co-pilot with reassessment timers,nurse; ED/urgent-care clinician; registration staff,"Arrival, registration and triage sort urgency under pressure; red flags, worsening while waiting, and abnormal vitals can lose salience.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM01/FM02/FM04; sources S01/S03/S04/S09/S10; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E010; quote Q010; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::nurse triage/vitals; B-006/B-016; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C003/C008/C009,arrival; registration; nurse triage; vitals; waiting,"Chief complaint, vitals, danger signs, repeat visit, high-risk history, waiting time, deterioration reports, acuity score.",High,High,High,"Over-alerting nurses, deskilling triage, or unsafe algorithmic downgrades.",Support not replace nurse judgment; make timers actionable; require human reassessment; audit overrides and missed deteriorations.,Triage nurses reported substantial cognitive and emotional strain; Brian Sinclair ED waiting-room death highlights pre-assessment/cultural safety failure.,https://media.emscimprovement.center/documents/Emergency_Severity_Index_Handbook.pdfhttps://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdfhttps://urgentcareassociation.org/wp-content/uploads/VITAL-SIGNS-IN-UC-CENTERS-04-2025_Revised.pdfhttps://urgentcareassociation.org/wp-content/uploads/RED-FLAGS-04-2025_Revised.pdfhttps://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canadahttps://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecs,strongly supported,F011,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Waiting-room and pre-triage deterioration check-in,patient; registration staff; nurse triage; ED/urgent care,"Patients can deteriorate before registration, during self-service intake, or while waiting by acuity order, especially if they do not know what to report.",research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM02/FM04/FM05; evidence_items.csv::E004/E008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008/C009; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::black_zones_by_patient_stage.csv::arrival / registration; nurse triage / vitals,arrival; registration; waiting; nurse triage; vitals,"Arrival time, registration time, waiting duration, new/worse symptoms, patient-reported deterioration, vitals/repeat vitals.",High,Medium,Medium-high,Check-ins may miss patients with disability/language barriers or increase staff interruptions.,"Multilingual/plain-language prompts, accessibility modes, visible escalation button, queue-monitoring rules, staff triage review.",Brian Sinclair waited 34 hours; urgent care workflows rely on patients telling staff if they worsen while waiting.,https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canadahttps://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecshttps://www.england.nhs.uk/guidance-for-emergency-departments-initial-assessment/https://rcem.ac.uk/wp-content/uploads/2025/04/Initial-Assessment.pdfhttps://digital.nhs.uk/services/urgent-care-self-service-producthttps://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-visit-an-urgent-treatment-centre-urgent-care-centre-or-minor-injury-unit/,region-specific,F012,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Digital intake complexity escape hatch,patient; admin/care navigator; nurse; GP/primary care,"Online triage and self-service flows can force single-symptom routing, depend on free text, omit prior high-risk history, or exclude patients with digital/language barriers.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E006/E007; quote Q005; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM05/FM06/FM07; evidence_items.csv::E006/E011; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C002; source S033 virtual-care evidence,before visit; intake form; triage; referral,"Multiple symptoms, free-text “not captured,” prior diagnoses, recent contacts, high-risk history, language/accessibility need, clinician review trigger.",High,Medium-high,High,A digital form becomes the gatekeeper and hides complexity from humans.,"Human-review escape hatch, prior-history auto-pull, multi-symptom support, accessibility fallback, clear emergency redirection.",GP quote: single-symptom algorithms miss complexity and “the dots can’t be joined up.”,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/https://digital.nhs.uk/services/urgent-care-self-service-producthttps://111.nhs.uk/https://digital.nhs.uk/services/nhs-111-onlinehttps://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,strongly supported,F013,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Bias and misattribution guardrail,doctor; nurse; safety team,"Physical symptoms may be dismissed or attributed to anxiety, stress, age, gender, substance use, difficult behavior, or mental illness before dangerous alternatives are considered.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E017/E018; quotes Q012/Q013; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Bias/misattribution guardrail; B-003/B-020/B-021/B-024; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q009/Q010/Q014; cases C012/C014/C015; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C008; cultural_black_zone_map.md,first clinician assessment; medical history; diagnosis discussion; specialist review,"Patient labels, presenting complaint, red flags, objective data, psychiatric/substance history if relevant, clinician reasoning, unresolved symptoms.",High,High,High,Could stigmatize clinicians/patients or imply mental health diagnoses are not real.,Frame as coexisting physical-risk review; do not accuse; require documentation of red flags considered when symptoms remain discordant.,PSVT framed as panic attacks; patient-reported “normal part of womanhood”; Indigenous-specific racism/triage failure.,https://qualitysafety.bmj.com/content/26/1/13https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682https://psnet.ahrq.gov/web-mm/paroxysmal-supraventricular-tachycardia-masquerading-panic-attackshttps://www.sciencedirect.com/science/article/pii/S2667321522001299https://www.dysautonomiainternational.org/page.php?ID=184https://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/https://www.endometriosis-uk.org/tayas-storyhttps://www.endometriosis-uk.org/orlas-storyhttps://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,unsafe or needs caution,F014,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Lab trend and personal-baseline explorer,doctor; nurse; specialist; patient,"Clinically important change can be hidden when individual values look normal, are viewed out of sequence, or are not connected to symptoms.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-001/B-014/B-015; black_zones_by_patient_stage.csv::long-term monitoring; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E015; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R009; source S54,lab interpretation; long-term monitoring; specialist review,"Serial labs, dates, reference ranges, personal baseline, symptom status, medications, follow-up plans.",High,High,High,Trend rules overfit; false positives cause unnecessary workups.,Start with transparent trend visualization and clinician-reviewed thresholds; capture false positives/negatives; no final diagnosis.,"Anemia trend/colon cancer, thyroid emergencies, AChR antibody/myasthenia crisis.",https://psnet.ahrq.gov/web-mm/anemia-and-delayed-colon-cancer-diagnosishttps://psnet.ahrq.gov/web-mm/delayed-diagnosis-endocrinologic-emergencieshttps://psnet.ahrq.gov/web-mm/myasthenia-crisis-after-delayed-diagnosis-medically-complex-patienthttps://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/,supported by some evidence,F015,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Pending-test discharge contract,patient; doctor; nurse; admin,"Patients leave care while tests are pending, unclear, or not yet interpreted; no one knows who will act or when.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; B-012/B-017; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM08; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C010/C011; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E004,discharge; follow-up; lab/imaging interpretation,"Pending tests, expected result dates, owner, backup owner, patient contact method, action plan by result type, escalation route.",High,Medium,High,Patients may panic from unclear pending-result language or assume no news means normal.,"Plain-language plan: “what is pending,” “when you will hear,” “who owns it,” and “what to do if no contact.”",Delayed positive blood culture; critical echocardiogram result lost to follow-up.,https://psnet.ahrq.gov/web-mm/delayed-recognition-positive-blood-culturehttps://psnet.ahrq.gov/web-mm/critical-echocardiogram-result-lost-followhttps://www.cqc.org.uk/guidance-regulation/gps/gp-mythbustershttps://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/https://www.hdc.org.nz/decisions/search-decisions/2025/22hdc02105/https://www.hdc.org.nz/decisions/search-decisions/2012/10hdc01419/,strongly supported,F016,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Cross-specialty pattern map,doctor; specialist; referral coordinator; patient,"Complex symptoms spanning specialties are split into GI/GYN/cardiology/neuro/psych silos, causing wrong-specialty drift or advice-only loops.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Cross-specialty referral map; B-002/B-003/B-024/B-029/B-032; research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::patterns.md::wrong specialty or unclear referral pathway; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E013/E014; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM10/FM11,referral; specialist review; repeat visit; long-term monitoring,"Symptom clusters, prior specialty opinions, referral statuses, unanswered clinical questions, tests already done, patient goals.",High,High,Medium-high,Encourages inappropriate referral volume or suggests specialties unavailable locally.,Local referral directory and criteria; “consider asking” prompts rather than automated referral; shared summary with clinical question.,Endometriosis split between GI/gynecology; recurrent pneumothorax/LAM; myasthenia diagnosed after routine outpatient visit.,https://psnet.ahrq.gov/web-mm/endometriosis-common-and-commonly-missed-and-delayed-diagnosishttps://psnet.ahrq.gov/web-mm/paroxysmal-supraventricular-tachycardia-masquerading-panic-attackshttps://www.autoimmuneinstitute.org/autoimmune_stories/claires-story-gender-bias-the-long-road-to-diagnosis/https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studieshttps://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/https://bmjopenquality.bmj.com/content/10/4/e001603https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-serviceshttps://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/,supported by some evidence,F017,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Patient-held record and out-of-system care import,patient; caregiver; doctor; admin; CHW,"Signals from private, informal, cross-border, pharmacy, traditional, or disconnected care never enter the formal record.",research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::evidence_items.csv::E008/E009; cases C004/C005; product_or_system_implications.md; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / home/community / rural settings; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-031,before visit; registration; medical history; referral; follow-up,"Uploaded photos/PDFs/SMS, manual test entries, prior visit locations, informal provider referrals, medication packs, patient consent/provenance.",Medium-high,High,High in fragmented systems,Poor-quality records or privacy issues contaminate clinical data.,Provenance labels; clinician verification; patient consent; data-quality confidence; do not overwrite official results.,Bedouin out-of-system continuity barriers; India fragmented public/private/informal ecosystem; lack of insurance disrupted colon-cancer workup.,https://link.springer.com/article/10.1186/s12939-025-02398-2https://www.commonwealthfund.org/taxonomy/term/8https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416https://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studies,region-specific,F018,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
"Language, interpreter and cultural-safety layer",patient; caregiver; registration staff; nurse; doctor; liaison,"Language barriers, mistrust, cultural safety failures, racism, and did-not-wait patterns shape whether symptoms are voiced, believed and followed up.",research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::sources S023/S024/S026/S027/S028; cases C008/C009/C010; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_notes_by_care_setting.csv::telehealth / public health screening / community visit,arrival; registration; intake form; medical history; discharge; follow-up,"Preferred language, interpreter need, translated instructions, liaison request, cultural safety flags, did-not-wait risk, family/community contact preference.",High,Medium-high,High in multilingual/underserved settings,"Tokenistic prompts without staff, interpreters, or liaison capacity.",Connect to actual interpreter/liaison workflows; track completion not just need; avoid ethnicity-based risk scoring.,Queensland ED cultural-safety transformation; Brian Sinclair triage failure; Health Catch-UP migrant screening tool.,https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canadahttps://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summaryhttps://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecshttps://link.springer.com/article/10.1186/s12916-024-03713-4https://link.springer.com/article/10.1007/s11606-019-05343-6,region-specific,F019,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Low-resource diagnostic availability and stockout-aware plan,clinician; CHW; nurse; district manager; patient,"A diagnostic tool may not exist, be affordable, be in stock, or be reachable; missing diagnostics can look like clinician delay unless explicitly captured.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::cases_or_examples.csv::B-025/B-026/B-027; product_opportunities.csv::Low-resource diagnostic availability layer; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C006/C007; evidence_items E010; product implications; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019/E020; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12 and rural/low-resource clinic notes,before visit; labs ordered; imaging ordered; referral; follow-up; public health screening,"Test availability, stockout status, specimen transport, price/affordability, travel distance, referral facility, alternate plan, supply-chain notification.",High,High,High in low-resource settings,Blames clinics/CHWs for infrastructure gaps or creates impossible tasks.,Resource-aware workflows; offline/paper/SMS modes; aggregate stockout reporting; escalation alternatives; no punitive clinician metrics for stockouts.,Malaria RDT stockouts/readiness in Mozambique; Tanzania cancer pathway; India TB free chest-x-ray referral intervention.,https://doaj.org/article/7ae6f62fe6174a639fc8a63fd8a97cfdhttps://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0001532https://link.springer.com/article/10.1186/1475-2875-13-295https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416https://link.springer.com/article/10.1186/s12913-021-07438-5https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programmehttps://link.springer.com/article/10.1186/s12889-025-22735-yhttps://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdfhttps://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programmehttps://link.springer.com/article/10.1186/s12245-025-01005-z,region-specific,F020,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
CHW and informal-provider referral capture mode,CHW; informal provider; nurse; primary care; patient,Community health workers and informal/non-allopathic providers are often first assessment nodes but may not be connected to formal testing and referral loops.,research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases C005/C007; evidence_items E010; sources S012/S021; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::flow_maps.csv::FM12; sources S38/S40/S41/S43; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E019,before visit; home/community visit; referral; follow-up,"CHW assessment, danger signs, screening result, referral card/voucher, diagnostic appointment, attendance, counter-referral, stock/supply status.",High,High,High in CHW/informal-first settings,"Assigns responsibility without training, supplies, supervision or referral backup.","Protocol-bound scope, supervision, offline mode, referral confirmation, local-language prompts, supply/status integration.",Non-allopathic provider TB referral/free chest-x-ray reduced diagnostic delay by 8.6 days; iCCM CHW childhood-illness workflow.,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programmehttps://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdfhttps://www.childhealthtaskforce.org/hubs/iccmhttps://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programmehttps://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workershttps://link.springer.com/article/10.1186/s12889-025-22735-y,region-specific,F021,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Medication and access-as-diagnostic-clue capture,patient; doctor; nurse; social worker,"Medication interruption, device/supply problems, insurance gaps, and affordability can be a direct clue to deterioration or differential diagnosis.",research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Medication/access-as-diagnostic-clue; B-013/B-031; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::patterns.md::cost/transport/access barriers; research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E003,before visit; medical history; first clinician assessment; follow-up,"Current meds, missed doses, reason, cost/coverage/transport barriers, device/supply access, pharmacy fill gaps where available.",Medium-high,Medium,Medium-high,Patients may feel blamed or exposed; affordability data is sensitive.,Ask nonjudgmentally; mark patient-controlled sensitive data; link to assistance/referral resources; do not equate cost barriers with noncompliance.,Thyroid storm/endocrinologic emergency; lack of insurance disrupted suspected colon-cancer workup.,https://psnet.ahrq.gov/web-mm/delayed-diagnosis-endocrinologic-emergencieshttps://betsylehmancenterma.gov/best-practices/diagnostic-error/case-studieshttps://link.springer.com/article/10.1007/s11606-019-05343-6,supported by some evidence,F022,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Note-diff and copied-forward detection,doctor; specialist; nurse; safety reviewer,"Long redundant notes obscure new facts, changed assessments, unresolved problems, and copied-forward assumptions.",research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E016; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::patterns.md::no one connected the dots; normal-test trap; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::patterns.md::patient narratives reveal continuity failures,history review; handoff; specialist review; follow-up,"Visit notes, version history, problem list, new vs copied text, changed diagnoses/plans, unresolved tasks.",Medium-high,High,Medium-high,Diffs become another noisy interface or expose legitimate repeated history as error.,Prioritize clinically meaningful changes; allow clinician dismissal; tie output to unresolved episode summary.,Research D identifies note bloat and EHR documentation burden as obscuring critical information.,https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/https://psnet.ahrq.gov/web-mm/anemia-and-delayed-colon-cancer-diagnosishttps://psnet.ahrq.gov/web-mm/spinal-epidural-abscess,supported by some evidence,F023,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Workload-aware alert management and risk-ranked worklists,doctor; nurse; admin; safety lead,More alerts can worsen the exact overload that causes missed abnormal results and poor follow-up.,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::evidence_items.csv::E001/E011/E015/E021; quotes Q003/Q008/Q010/Q011; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::main_report.md::front-door workflows sort urgency before diagnosis; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::risks_and_safety_notes.md::over-alert risk,all stages; lab interpretation; follow-up; handoff,"Alert type, criticality, patient risk, task age, owner workload, shift/fatigue proxy where ethically appropriate, closure outcome.",High,High,High,"Creates a new inbox, hides low-frequency serious issues, or routes responsibility unfairly.","Actionable, tiered alerts; suppress duplicates; ownership + escalation; measure false positives/negatives; do not use fatigue data punitively.",PCPs reported more alerts than they could effectively manage; HSSIB fatigue report; EHR usability simulation.,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.htmlhttps://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,unsafe or needs caution,F024,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Patient/family deterioration escalation route,patient; caregiver; nurse; doctor; safety team,Family or patient concern about deterioration may be ignored or lack a route beyond repeating the same complaint.,research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::cases_or_examples.csv::C004/C008; source S036 Martha’s Rule; quotes Q004/Q008; research_evidence_package_global_health_issue_identification_2026-05-30.tar.gz::cases_or_examples.csv::C003/C008/C009; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::reviews_or_complaints.csv::R003; quotes Q004,diagnosis discussion; discharge; follow-up; emergency escalation; inpatient/ED waiting,"Family concern, deterioration description, current symptoms, prior contacts, escalation request, response owner, outcome.",High,Medium-high,High,Floods escalation pathways or bypasses normal care without capacity.,"Clear criteria, named response team, acknowledgment timestamp, triage of escalation requests, respectful language.",“No one listened to us”; sepsis and deterioration complaint patterns; Martha’s Rule as a safety initiative reference.,https://www.careopinion.org.uk/1349233https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/https://www.england.nhs.uk/patient-safety/marthas-rule/https://www.ombudsman.org.uk/publications/broken-trust-making-patient-safety-more-just-promise-report/broken-trust-our-casework-evidence-clinical-failingshttps://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decadehttps://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canadahttps://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecshttps://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,strongly supported,F025,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
Diagnosis-status clarity in patient portal,patient; doctor; admin,"Patients may see labels, referral decisions or results without knowing whether a diagnosis is confirmed, suspected, excluded, pending, or unexplained.",research_evidence_package_patient_complaints_identification_failures_2026-05-30.tar.gz::quotes.csv::Q007/Q011/Q012; product implications; research_evidence_package_missed_signals_diagnostic_errors_2026-05-30.tar.gz::product_opportunities.csv::Pending-test discharge contract; research_evidence_package_health_system_patient_flows_2026-05-30.tar.gz::practical_implications.md::record what remains unexplained,diagnosis discussion; discharge; follow-up; patient portal review,"Diagnosis status, uncertainty statement, pending tests, what is ruled out/not ruled out, referral status, next action and owner.",Medium-high,Medium,Medium-high,Over-simplified statuses create false certainty or alarm.,Use clinician-authored uncertainty templates; explain status categories; show who to contact and when.,Patient quotes: “No one had told me initially”; “I wasn’t given any further information.”,https://www.careopinion.org.uk/1378025https://www.endometriosis-uk.org/dipikas-storyhttps://www.endometriosis-uk.org/stephanies-story-0https://psnet.ahrq.gov/web-mm/delayed-recognition-positive-blood-culturehttps://psnet.ahrq.gov/web-mm/critical-echocardiogram-result-lost-follow,supported by some evidence,F026,2026-05-30,"Product-design synthesis for a health-issue identification system focused on hidden, missed, delayed, or complex conditions"
