package_key,package_filename,package_topic,table_type,internal_id,source_id,source_title,source_url_or_identifier,country_or_region,setting_or_context,patient_stage_or_process_step,condition_or_issue,topic_category_or_theme,finding_or_quote_or_case,what_happened,what_was_missed_or_identified,delay_or_timeline,product_or_system_implication,evidence_quality,source_file_path,evidence_ref
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E011,S011,The impact of staff fatigue on patient safety,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,England,acute NHS hospitals,all stages / shifts / handoffs,"fatigue, concentration, empathy, medication safety",fatigue and burnout,Staff fatigue contributes directly and indirectly to patient harm but is not routinely captured.,HSSIB gathered staff accounts and safety-system findings.,"Attentional lapses, communication problems, or task omissions can be missed.",,Fatigue-aware task routing and second-check triggers for high-risk diagnostic tasks.,high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E011
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E012,S014,It is the patient that suffers from poor communication: communication barriers during nurse handovers in Ghanaian hospitals,https://www.sciencedirect.com/science/article/pii/S266732152400091X,Ghana,"referral hospitals: ED, ICU, wards, maternity",handover / inpatient monitoring,"diagnosis, medications, treatment plan",handoff failure,"Poor handover communication was linked to documentation, training, procedure, and culture barriers.",Qualitative interviews described communication barriers during handovers.,"Diagnosis, medications, treatment changes, and pending tasks may be missed.",,"Standardized handoff object with diagnosis, uncertainty, pending tests, watch-outs, and next owner.",medium,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E012
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E013,S017,Primary care-specialist communication gaps despite electronic health record diffusion,https://pmc.ncbi.nlm.nih.gov/articles/PMC9328695/,United States,primary/specialty care,referral / specialist review / feedback,referral question and consult result,specialist communication,Communication gaps remained despite EHR diffusion.,Survey identified persistent PCP-specialist communication gaps.,Specialist feedback or PCP clinical question may not connect.,,"Referral object with clinical question, urgency, attachments, consultant response, next owner.",medium-high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E013
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E014,S016,Closing the loop on diagnostic referrals,https://bmjopenquality.bmj.com/content/10/4/e001603,United States,primary-specialty referrals,referral / appointment completion / follow-up,diagnostic referral completion,referral loop failure,Closed diagnostic referral loops remain a safety problem.,Systems-engineering analysis described failures and redesign approaches.,Specialist evaluation or test may be missed.,,Closed-loop referral tracker with due dates and exception handling.,medium-high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E014
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E015,S018,EHR usability and abnormal test-result management simulation,https://pmc.ncbi.nlm.nih.gov/articles/PMC6450327/,United States,EHR test-result management,abnormal result management,abnormal test results,EHR usability,Enhanced usability and longitudinal tracking lowered cognitive workload and improved abnormal-result management.,Simulation compared EHR designs.,Abnormal results can be lost in poor interfaces.,,Longitudinal test-trend view and task-state tracking.,medium-high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E015
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E016,S019,Note bloat and EHR documentation burden,https://pmc.ncbi.nlm.nih.gov/articles/PMC11852943/,United States,EHR documentation across settings,history review / specialist review / handoff,critical information in clinical notes,note bloat,Long and redundant notes can obscure important information.,Review/commentary described note growth and redundancy.,"New facts, changed assessment, and unresolved problems may be hidden.",,"Note-diff, copied-forward detection, concise problem timeline.",medium,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E016
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E017,S020,The influence of difficult patient behaviour on physicians’ diagnostic performance,https://qualitysafety.bmj.com/content/26/1/13,Netherlands,diagnostic reasoning experiments,first assessment,difficult patient behavior,bias and labels,Difficult patient behavior negatively affected diagnostic performance in experiments.,Physicians reviewed vignettes with disruptive behaviors.,Correct diagnosis behind behavior could be missed.,,Bias-aware diagnostic pause when stigmatizing labels or difficult interactions appear.,medium,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E017
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E018,S021,Diagnostic overshadowing in emergency departments,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682,United Kingdom,ED and psychiatric liaison,ED assessment,physical symptoms in patients with mental illness,diagnostic overshadowing,Physical symptoms may be misattributed to mental illness.,Qualitative study explored diagnostic overshadowing and ED challenges.,Physical illness can be missed when symptoms are attributed to psychiatric causes.,,Medical red-flag checklist for mental-health presentations and vitals/baseline trend display.,medium,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E018
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E019,S022,Rural India community health workers and early cancer detection,https://link.springer.com/article/10.1186/s12889-025-22735-y,India,rural / community health,screening / referral / follow-up,"cervical, breast, oral cancer signs",low-resource early detection,CHWs reported barriers to early cancer detection and referral.,"Qualitative study identified training, infrastructure, referral, fear, finance, and sociocultural barriers.",Early cancer signs and referral completion may be missed.,,"CHW decision support, local-language education, referral navigation, follow-up queue.",medium-high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E019
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E020,S023,Lancet Commission on diagnostics / diagnostic access gap,https://pmc.ncbi.nlm.nih.gov/articles/PMC8654090/,Global / LMIC,low-resource primary care,labs ordered / imaging ordered / public screening,basic diagnostics for common diseases,diagnostic access,Large global diagnostic-access gap limits confirmation and monitoring.,Lancet Commission summary documented inadequate access to diagnostics.,Conditions may remain unconfirmed or unmonitored.,,"Resource-aware workflows, point-of-care test inventory, offline referral escalation.",high,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E020
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,evidence_item,E021,S024,KevinMD emergency diagnostic-error podcast / clinician commentary,https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.html,United States,emergency department,assessment / EHR review,ED diagnostic context,real workflow visibility,Clinician commentary emphasized observing the actual clinician screen and workflow.,Podcast/blog commentary discussed diagnostic-error reduction in ED.,"Prior history, pending tests, and red flags may be scattered.",,Field observation and screen-level workflow mapping before designing tools.,low-medium,02_extracted_evidence/evidence_items.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/evidence_items.csv::E021
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,case,C001,S009,Continuity of care: delayed diagnosis in GP practices,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/,England,general practice / ED / oncology,continuity failure,severe back pain after prior breast cancer,continuity failure,Brian delayed spinal metastatic cancer diagnosis,"Multiple contacts across ED, GPs, out-of-hours GPs, nurse, and physiotherapy preceded later diagnosis.",Prior cancer history plus repeated unresolving back pain were not connected early.,8 months,Unresolved-symptom timeline and prior high-risk history surfacing.,high,02_extracted_evidence/cases_or_examples.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C001
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,case,C002,S010,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,England,general practice / online consultation,digital intake risk,worsening skin lesion with prior skin cancer,digital intake risk,Delayed urgent recognition in online skin-lesion consultation,A second online request lacked prior cancer history and was triaged routine; later GP review generated urgent referral.,Worsening skin signs and prior skin cancer history were not joined at intake/triage.,"2 weeks to GP suspicion after second form, plus referral wait",Hybrid intake with prior-history auto-pull and adaptive red flags.,high,02_extracted_evidence/cases_or_examples.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C002
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,case,C003,S006,Types and Origins of Diagnostic Errors in Primary Care Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,United States,primary care,diagnostic process breakdown,"common diseases including pneumonia, CHF, renal failure, cancer, UTI/pyelonephritis",diagnostic process breakdown,Primary-care diagnostic-error trigger cases,Researchers used EHR triggers to identify and review diagnostic-error cases.,"Breakdowns occurred in history, exam, workup, referral, and tracking.",Trigger examples included hospitalization/return/ED within 14 days,Return-visit flags and diagnostic-process tracking.,high,02_extracted_evidence/cases_or_examples.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C003
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,case,C004,S014,It is the patient that suffers from poor communication: communication barriers during nurse handovers in Ghanaian hospitals,https://www.sciencedirect.com/science/article/pii/S266732152400091X,Ghana,"referral hospitals: ED, ICU, wards, maternity",handoff failure,"diagnosis, medication, treatment-plan continuity",handoff failure,Nurse handover communication barriers in Ghanaian referral hospitals,"Interviews found poor documentation, lack of formal procedures, and communication barriers.","Diagnosis, treatment plans, medication changes, and pending tasks may be missed.",unknown,"Structured handoff including uncertainty, pending tests, and next owner.",medium,02_extracted_evidence/cases_or_examples.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/cases_or_examples.csv::C004
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q001,S002,Improving Diagnosis in Health Care,https://www.nationalacademies.org/read/21794/chapter/1,United States,all settings,diagnostic process,,diagnostic process,Diagnosis is a collaborative effort.,"Supports tools that connect clinicians, patients, labs, radiology, and follow-up owners.",,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q001
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q002,S002,Improving Diagnosis in Health Care,https://www.nationalacademies.org/read/21794/chapter/1,United States,EHR-mediated care,health IT,,health IT,Health information technology…is often a barrier.,Supports designing tools that reduce cognitive load rather than add new screens.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q002
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q003,S005,Information Overload and Missed Test Results in Electronic Health Record-Based Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,United States,VA primary care,alert fatigue,,alert fatigue,More alerts than they could effectively manage.,Shows that alert streams can become a diagnostic black zone.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q003
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q004,S008,Diagnostic uncertainty in real-world primary care consultations,https://link.springer.com/article/10.1186/s12875-024-02526-x,United States,primary care,time pressure,,time pressure,Good care is slow enough to be able to pay attention.,Highlights conflict between speed and careful diagnosis.,,,,medium-high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q004
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q005,S010,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,England,online GP intake,digital intake,,digital intake,Algorithms that go down single symptom routes miss the complexity of general practice and mean the dots can’t be joined up.,Shows danger of over-structured digital triage for complex stories.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q005
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q006,S010,Workforce and patient safety: online consultation tools in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,England,online GP consultation,triage safety,,triage safety,Err on the side of caution.,Shows safety may depend on clinician caution instead of tool design.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q006
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q007,S014,It is the patient that suffers from poor communication: communication barriers during nurse handovers in Ghanaian hospitals,https://www.sciencedirect.com/science/article/pii/S266732152400091X,Ghana,hospital handover,handoff,,handoff,It’s the patient that suffers from poor communication.,Connects staff communication barriers to patient harm.,,,,medium,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q007
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q008,S011,The impact of staff fatigue on patient safety,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,England,acute hospitals,fatigue,,fatigue,"We are not only risking patient safety, but staff retention…",Links fatigue to both safety and workforce sustainability.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q008
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q009,S011,The impact of staff fatigue on patient safety,https://www.hssib.org.uk/patient-safety-investigations/the-impact-of-staff-fatigue-on-patient-safety/investigation-report/,England,acute hospitals,fatigue,,fatigue,I can’t remember how I got home.,Shows severity of fatigue beyond abstract workload metrics.,,,,high,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q009
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q010,S015,Assessments Under Pressure: Interviews With Triage Nurses in Emergency Care,https://research-portal.uea.ac.uk/en/publications/assessments-under-pressure-interviews-with-triage-nurses-in-emerg/,United Kingdom,ED triage,triage overload,,triage overload,substantial cognitive and emotional strain.,Shows triage is cognitively and emotionally demanding.,,,,medium,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q010
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q011,S024,KevinMD emergency diagnostic-error podcast / clinician commentary,https://www.kevinmd.com/2025/04/how-to-reduce-diagnostic-error-in-the-emergency-department-podcast.html,United States,emergency department,workflow visibility,,workflow visibility,Follow me around for a shift; see what my screen looks like.,Supports field observation and screen-level design.,,,,low-medium,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q011
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q012,S020,The influence of difficult patient behaviour on physicians’ diagnostic performance,https://qualitysafety.bmj.com/content/26/1/13,Netherlands,diagnostic reasoning experiments,bias,,bias,Difficult patients may negatively affect doctors’ diagnostic reasoning.,Shows emotional/cognitive bias can affect diagnostic accuracy.,,,,medium,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q012
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,quote,Q013,S021,Diagnostic overshadowing in emergency departments,https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0111682,United Kingdom,ED / psychiatric liaison,diagnostic overshadowing,,diagnostic overshadowing,Diagnostic overshadowing is the misattribution of physical symptoms to mental illness.,Keeps physical red flags visible in mental-health presentations.,,,,medium,02_extracted_evidence/quotes.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/quotes.csv::Q013
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,metric,M001,S001,AHRQ Diagnostic Safety and Quality,https://www.ahrq.gov/diagnostic-safety/index.html,United States,all settings,,Annual death or permanent disability from disease misdiagnoses,,Annual death or permanent disability from disease misdiagnoses,Shows scale of diagnostic-safety problem.,,current page accessed 2026-05-30,,high,02_extracted_evidence/statistics_or_metrics.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M001
D_clinician,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz,Research D / clinician-side diagnostic pain points,metric,M002,S005,Information Overload and Missed Test Results in Electronic Health Record-Based Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1657753,United States,VA primary care,,Median EHR alerts per day,,Median EHR alerts per day,Quantifies alert load on clinicians.,,survey period unknown,,high,02_extracted_evidence/statistics_or_metrics.csv,research_evidence_package_clinician_side_diagnostic_pain_points_2026-05-30.tar.gz::02_extracted_evidence/statistics_or_metrics.csv::M002
