source_id,research_topic,source_title,source_url_or_identifier,source_type,author_or_org,publication_date,access_date,country_or_region,setting_or_context,evidence_quality,short_summary,raw_file_path,notes,date_packaged
S11,Real health-system patient flows for identifying health issues,NHS 111 online,https://111.nhs.uk/,patient-facing digital triage service,unknown,accessed 2026-05-30,2026-05-30,England,telehealth / urgent advice,medium,Patient answers symptom questions and receives disposition advice rather than a diagnosis.,01_sources/raw_sources/other/s11_nhs_111_online.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S12,Real health-system patient flows for identifying health issues,NHS 111 online staff information,https://digital.nhs.uk/services/nhs-111-online,digital service guidance,unknown,last edited 17 Dec 2025; accessed 2026-05-30,2026-05-30,England,telehealth / urgent advice,medium,Uses NHS Pathways and Directory of Services; outcomes include ambulance/ED/UTC/GP/pharmacist/self-care.,01_sources/raw_sources/guidelines/s12_nhs_111_online_staff_information.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S13,Real health-system patient flows for identifying health issues,Digital tools for online consultation in general practice,https://www.hssib.org.uk/patient-safety-investigations/workforce-and-patient-safety/second-investigation-report/,patient safety investigation,unknown,25 Jul 2024,2026-05-30,England,primary care / telehealth,high,"Safety risks when asynchronous online forms change access, history capture, prioritisation and continuity.",01_sources/raw_sources/reports/s13_digital_tools_for_online_consultation_in_general_practi.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S14,Real health-system patient flows for identifying health issues,Telehealth and Patient Safety,https://psnet.ahrq.gov/primer/telehealth-and-patient-safety,patient safety primer,unknown,accessed 2026-05-30,2026-05-30,US / international relevance,telehealth,high,"Diagnostic risks from communication gaps, limited physical exam, patient-measured vitals and follow-up fragmentation.",01_sources/raw_sources/other/s14_telehealth_and_patient_safety.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S15,Real health-system patient flows for identifying health issues,Modern General Practice Model,https://www.england.nhs.uk/long-read/modern-general-practice-model/,national primary-care access guidance,unknown,accessed 2026-05-30,2026-05-30,England,primary care,high,"Care navigation, online/telephone/in-person access, right professional first time, demand/capacity.",01_sources/raw_sources/guidelines/s15_modern_general_practice_model.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S16,Real health-system patient flows for identifying health issues,Care navigation and triage in general practice,https://www.bma.org.uk/advice-and-support/gp-practices/gp-service-provision/care-navigation-and-triage-in-general-practice,professional guidance,unknown,accessed 2026-05-30,2026-05-30,UK,primary care,medium,Distinguishes clinical triage from administrative care navigation and signposting.,01_sources/raw_sources/guidelines/s16_care_navigation_and_triage_in_general_practice.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S17,Real health-system patient flows for identifying health issues,Suspected cancer: recognition and referral (NG12),https://www.nice.org.uk/guidance/NG12/,clinical guideline,unknown,2015; updated; accessed 2026-05-30,2026-05-30,England/Wales,primary care / referral,high,"Symptom, investigation and safety-netting guidance for suspected cancer recognition and referral.",01_sources/raw_sources/guidelines/s17_suspected_cancer__recognition_and_referral__ng12.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S18,Real health-system patient flows for identifying health issues,Safety netting,https://www.cancerresearchuk.org/health-professional/diagnosis/primary-care/safety-netting,professional guidance / charity,unknown,updated 2026; accessed 2026-05-30,2026-05-30,UK,primary care,medium,"Explicitly addresses persistent symptoms, negative tests, investigation completion, repeat presentations and Jess's Rule.",01_sources/raw_sources/guidelines/s18_safety_netting.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S19,Real health-system patient flows for identifying health issues,GP mythbuster: managing test results in general practice,https://www.cqc.org.uk/guidance-regulation/gps/gp-mythbusters,regulator guidance,unknown,accessed 2026-05-30,2026-05-30,England,primary care,high,"Test-result processes: ordering, return/non-return, clinician absence, abnormal follow-up and patient communication.",01_sources/raw_sources/guidelines/s19_gp_mythbuster__managing_test_results_in_general_practic.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S20,Real health-system patient flows for identifying health issues,Continuity of care: delayed diagnosis in GP practices,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/pdf/,patient safety investigation / case study,unknown,30 Nov 2023,2026-05-30,England,primary care / ED / oncology,high,Brian case: repeated contacts across clinicians; EHR failed to surface unresolved symptoms and patterns.,01_sources/raw_sources/reports/s20_continuity_of_care__delayed_diagnosis_in_gp_practices.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S21,Real health-system patient flows for identifying health issues,Jess's Rule: Three strikes and we rethink,https://www.england.nhs.uk/long-read/jesss-rule-three-strikes-and-we-rethink/,national primary-care safety initiative,unknown,23 Sep 2025; updated 14 May 2026,2026-05-30,England,primary care,medium,"Rethink diagnosis after third presentation with persistent, escalating or unexplained symptoms.",01_sources/raw_sources/other/s21_jess_s_rule__three_strikes_and_we_rethink.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S22,Real health-system patient flows for identifying health issues,"Years of being dismissed, ignored and belittled: Endometriosis UK diagnosis report",https://www.endometriosis-uk.org/diagnosis-report,advocacy survey / patient voice,unknown,2024; accessed 2026-05-30,2026-05-30,UK,primary care / specialist referral,medium,"Survey of 4,371 people showing long diagnostic delay, repeated GP visits, ED attendance and dismissal.",01_sources/raw_sources/other/s22_years_of_being_dismissed__ignored_and_belittled__endome.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S23,Real health-system patient flows for identifying health issues,The impact of waiting for care,https://www.healthwatch.co.uk/report/2023-10-03/impact-waiting-care,patient voice / public health-system report,unknown,3 Oct 2023,2026-05-30,England,primary care / specialist referral,medium,"Patients describe waits after GP referral, poor result communication and limited GP ability to expedite specialist care.",01_sources/raw_sources/reports/s23_the_impact_of_waiting_for_care.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S24,Real health-system patient flows for identifying health issues,Patients being harmed due to repeated mistakes in reading scans,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,ombudsman patient-safety report,unknown,20 Mar 2025,2026-05-30,England,imaging / ED / hospital outpatient,high,"More than 40 upheld/partly upheld scan cases; errors in reading, carrying out, and follow-up of scans.",01_sources/raw_sources/reports/s24_patients_being_harmed_due_to_repeated_mistakes_in_readi.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S25,Real health-system patient flows for identifying health issues,Failures in communication or follow-up of unexpected significant radiological findings,https://www.hssib.org.uk/patient-safety-investigations/failures-in-communication-or-follow-up-of-unexpected-significant-radiological-findings/,patient safety investigation,unknown,2019; accessed 2026-05-30,2026-05-30,England,radiology / ED / primary care,high,Unexpected chest imaging finding not reliably communicated or acted on; acknowledgement/read-receipt weaknesses.,01_sources/raw_sources/reports/s25_failures_in_communication_or_follow_up_of_unexpected_si.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S26,Real health-system patient flows for identifying health issues,Core Elements of Hospital Diagnostic Excellence,https://www.cdc.gov/patient-safety/hcp/hospital-dx-excellence/index.html,public health guidance,unknown,2026; accessed 2026-05-30,2026-05-30,US,hospital inpatient/outpatient,high,Hospital diagnostic excellence framework including tests pending at discharge and imaging follow-up.,01_sources/raw_sources/guidelines/s26_core_elements_of_hospital_diagnostic_excellence.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S27,Real health-system patient flows for identifying health issues,Referral Assessment Services - NHS e-Referral Service,https://digital.nhs.uk/services/e-referral-service/document-library/referral-assessment-services,digital referral service guidance,unknown,2025; accessed 2026-05-30,2026-05-30,England,specialist referral,high,"Provider triage before booking; return advice, request more information, redirect or book.",01_sources/raw_sources/guidelines/s27_referral_assessment_services___nhs_e_referral_service.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S28,Real health-system patient flows for identifying health issues,Diagnostic services - NHS e-Referral Service,https://digital.nhs.uk/services/e-referral-service/document-library/diagnostic-services,digital referral service guidance,unknown,accessed 2026-05-30,2026-05-30,England,diagnostic / outpatient,medium,Direct-to-test and clinical assessment service models; responsibility for appropriateness of diagnostic requests.,01_sources/raw_sources/guidelines/s28_diagnostic_services___nhs_e_referral_service.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S29,Real health-system patient flows for identifying health issues,Outpatient recovery and transformation improvement guide,https://www.england.nhs.uk/long-read/outpatient-recovery-and-transformation-improvement-guide/,operational improvement guide,unknown,accessed 2026-05-30,2026-05-30,England,hospital outpatient / specialist,medium,"Advice/guidance, referral optimisation, straight-to-test pathways and outpatient transformation case examples.",01_sources/raw_sources/other/s29_outpatient_recovery_and_transformation_improvement_guid.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S30,Real health-system patient flows for identifying health issues,Health Center Program Compliance Manual: Continuity of Care and Hospital Admitting,https://bphc.hrsa.gov/compliance/compliance-manual/chapter7,federal compliance guidance,unknown,accessed 2026-05-30,2026-05-30,US,community health center / FQHC,high,Requires referral/hospital relationships and receipt/recording of ED/hospital info for follow-up.,01_sources/raw_sources/guidelines/s30_health_center_program_compliance_manual__continuity_of.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S31,Real health-system patient flows for identifying health issues,Health Center Program: Patient-Centered Medical Home,https://bphc.hrsa.gov/technical-assistance/clinical-quality-improvement/patient-centered-medical-home,federal program guidance,unknown,accessed 2026-05-30,2026-05-30,US,community health center / FQHC,medium,Care coordination and quality-improvement recognition for health centers.,01_sources/raw_sources/guidelines/s31_health_center_program__patient_centered_medical_home.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S32,Real health-system patient flows for identifying health issues,Reach and effectiveness of a centralized navigation program for patients with positive FITs,https://www.sciencedirect.com/science/article/pii/S221133552300102X,peer-reviewed implementation study,unknown,2023,2026-05-30,US: North Carolina,FQHC / screening,medium,Patient navigation after abnormal FIT in safety-net FQHCs; barriers and colonoscopy completion.,01_sources/raw_sources/articles/s32_reach_and_effectiveness_of_a_centralized_navigation_pro.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S33,Real health-system patient flows for identifying health issues,Implementing a successful patient navigation program for follow-up colonoscopy after abnormal FIT,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0343659,peer-reviewed implementation study,unknown,2026,2026-05-30,US: Washington state,FQHC / screening,medium,"PRECISE trial lessons: navigator training, workload, documentation, GI partnerships, unified tracking.",01_sources/raw_sources/articles/s33_implementing_a_successful_patient_navigation_program_fo.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S34,Real health-system patient flows for identifying health issues,Bowel cancer screening,https://www.nhs.uk/tests-and-treatments/bowel-cancer-screening/,patient-facing screening pathway,unknown,reviewed 11 Oct 2024; accessed 2026-05-30,2026-05-30,England,public health screening,high,"Home FIT kits, result timing, specialist nurse/colonoscopy after further tests, symptoms despite negative screen.",01_sources/raw_sources/guidelines/s34_bowel_cancer_screening.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S35,Real health-system patient flows for identifying health issues,Breast screening programme: pathway requirements,https://www.gov.uk/government/publications/breast-screening-programme-pathway-requirements/breast-screening-programme-pathway-requirements,national screening pathway,unknown,accessed 2026-05-30,2026-05-30,England,public health screening,high,"Batch invitations, attendance, mammography reporting, recall/non-attendance, assessment clinic and MDT after abnormal tests.",01_sources/raw_sources/guidelines/s35_breast_screening_programme__pathway_requirements.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S36,Real health-system patient flows for identifying health issues,Cervical screening programme: pathway requirements,https://www.gov.uk/government/publications/cervical-screening-programme-pathway-requirements/cervical-screening-programme-pathway-requirements,national screening pathway,unknown,accessed 2026-05-30,2026-05-30,England,public health screening,high,"HPV/cytology-based recall, colposcopy and treatment flow.",01_sources/raw_sources/guidelines/s36_cervical_screening_programme__pathway_requirements.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S37,Real health-system patient flows for identifying health issues,Patient Navigation,https://www.cdc.gov/cancer/php/interventions/patient-navigation.html,public health guidance,unknown,accessed 2026-05-30,2026-05-30,US,screening / community,high,"Navigator role addresses transport, caregiving, understanding, language, mistrust and fear barriers.",01_sources/raw_sources/guidelines/s37_patient_navigation.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S38,Real health-system patient flows for identifying health issues,Ayushman Bharat: Comprehensive Primary Health Care through Health and Wellness Centres,https://aam.mohfw.gov.in/download/document/45a4ab64b74ab124cfd853ec9a0127e4.pdf,government operational guidelines,unknown,2018; accessed 2026-05-30,2026-05-30,India,community health center / rural clinic,high,"Population empanelment, ASHA/CHO roles, screening age 30+, follow-up and referral.",01_sources/raw_sources/guidelines/s38_ayushman_bharat__comprehensive_primary_health_care_thro.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S39,Real health-system patient flows for identifying health issues,Integrated Management of Childhood Illness,https://www.who.int/teams/maternal-newborn-child-adolescent-health-and-ageing/child-health/integrated-management-of-childhood-illness/,WHO clinical/public-health guidance,unknown,accessed 2026-05-30,2026-05-30,LMIC / global,low-resource clinic,high,Algorithms based on history/signs/symptoms where lab/radiology support is limited.,01_sources/raw_sources/guidelines/s39_integrated_management_of_childhood_illness.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S40,Real health-system patient flows for identifying health issues,Integrated Community Case Management (iCCM),https://www.childhealthtaskforce.org/hubs/iccm,global child-health practice hub,unknown,accessed 2026-05-30,2026-05-30,LMIC / global,home/community visit,medium,"CHWs assess, classify, treat and refer common childhood illnesses in hard-to-reach communities.",01_sources/raw_sources/other/s40_integrated_community_case_management__iccm.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S41,Real health-system patient flows for identifying health issues,Community-based case management: the RAcE programme,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,WHO programme documentation,unknown,accessed 2026-05-30,2026-05-30,"DRC, Malawi, Mozambique, Niger, Nigeria",home/community visit,medium,"Scale-up of iCCM for malaria, pneumonia and diarrhoea in under-five children.",01_sources/raw_sources/reports/s41_community_based_case_management__the_race_programme.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S42,Real health-system patient flows for identifying health issues,Effectiveness of a structured triage system in a resource-limited rural hospital in Uganda,https://link.springer.com/article/10.1186/s12245-025-01005-z,peer-reviewed quality-improvement study,unknown,2025,2026-05-30,Uganda,rural clinic / outpatient department,medium,IITT-adapted triage improved patient flow without additional resources.,01_sources/raw_sources/articles/s42_effectiveness_of_a_structured_triage_system_in_a_resour.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S43,Real health-system patient flows for identifying health issues,Brazil's Family Health Strategy: Using Community Health Workers to Provide Primary Care,https://www.commonwealthfund.org/publications/case-study/2016/dec/brazils-family-health-strategy-using-community-health-care-workers,case study / health-system report,unknown,2016,2026-05-30,Brazil,home/community visit / primary care,medium,"CHWs provide home-based primary care, register families, relay information, monitor chronic disease and refer.",01_sources/raw_sources/reports/s43_brazil_s_family_health_strategy__using_community_health.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S44,Real health-system patient flows for identifying health issues,HEARTS in the Americas: Hypertension Clinical Pathways,https://www.paho.org/en/hearts-americas/hypertension-clinical-pathways,regional public-health implementation guidance,unknown,accessed 2026-05-30,2026-05-30,Latin America / Caribbean,primary care / community health center,high,"Standardized hypertension protocols, BP measurement, CVD risk, diabetes/CKD integration.",01_sources/raw_sources/guidelines/s44_hearts_in_the_americas__hypertension_clinical_pathways.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S45,Real health-system patient flows for identifying health issues,Specific health checkup and specific health guidance,https://www.shoken-kenpo.or.jp/eng/member/checkup/measure.html,insurer health screening programme description,unknown,2025; accessed 2026-05-30,2026-05-30,Japan,public health screening / workplace-insurance,medium,Annual metabolic screening for insured people/dependents age 40+ and stratified health guidance.,01_sources/raw_sources/reports/s45_specific_health_checkup_and_specific_health_guidance.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S46,Real health-system patient flows for identifying health issues,National Health Screening Program,https://www.nhis.or.kr/english/wbhe/policies/NationalHealthScreeningProgram.html,national insurer screening programme,unknown,accessed 2026-05-30,2026-05-30,South Korea,public health screening,medium,"Screening eligibility, authorized hospital visit, mailed results and confirmation checkup for suspected disease.",01_sources/raw_sources/reports/s46_national_health_screening_program.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S47,Real health-system patient flows for identifying health issues,Danish Cancer Patient Pathways: three-legged strategy,https://www.all-can.org/efficiency-hub/danish-cancer-patient-pathways-three-legged-strategy-for-faster-referral-and-diagnosis-of-cancer/,health-system case study,unknown,accessed 2026-05-30,2026-05-30,Denmark,primary care / specialist diagnostics,medium,"GP referral routes for alarm symptoms, serious nonspecific symptoms and vague lower-risk symptoms.",01_sources/raw_sources/articles/s47_danish_cancer_patient_pathways__three_legged_strategy.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S48,Real health-system patient flows for identifying health issues,Risk of cancer and serious disease in Danish patients with urgent referral for NSSC,https://www.nature.com/articles/s41416-024-02620-y,peer-reviewed cohort study,unknown,2024,2026-05-30,Denmark,specialist diagnostic centre,high,NSSC-CPP for non-specific symptoms; cancer probability among referred patients.,01_sources/raw_sources/articles/s48_risk_of_cancer_and_serious_disease_in_danish_patients_w.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S49,Real health-system patient flows for identifying health issues,Healthcare Israel,https://www1.health.gov.il/en/landing-pages/healthcare-israel/healthcare-israel/,Ministry of Health health-system overview,unknown,accessed 2026-05-30,2026-05-30,Israel,primary care / HMO,medium,"Family doctor/community health centre front door, national digital record environment and quality measurement.",01_sources/raw_sources/other/s49_healthcare_israel.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S50,Real health-system patient flows for identifying health issues,Maccabi Healthcare Services: Diagnostic Services,https://www.maccabi4u.co.il/en/46562/main_english/our-healthcare-system/diagnostic-services/,HMO diagnostic-service description,unknown,accessed 2026-05-30,2026-05-30,Israel,diagnostic / outpatient,medium,"Physician referral to collection site/test, results to physician computer/user stations, teleradiology and computerized follow-up.",01_sources/raw_sources/other/s50_maccabi_healthcare_services__diagnostic_services.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S51,Real health-system patient flows for identifying health issues,WHO Package of Essential NCD Interventions (PEN),https://www.who.int/initiatives/who-pen,WHO primary-care implementation package,unknown,accessed 2026-05-30,2026-05-30,LMIC / global,primary care / low-resource clinic,high,Integrated NCD primary-care approach for low-resource settings.,01_sources/raw_sources/other/s51_who_package_of_essential_ncd_interventions__pen.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S52,Real health-system patient flows for identifying health issues,"Data analysis reveals common errors that prevent patients from getting timely, accurate diagnoses",https://home.ecri.org/blogs/ecri-news/data-analysis-reveals-common-errors-that-prevent-patients-from-getting-timely-accurate-diagnoses,patient safety analysis,unknown,2024; accessed 2026-05-30,2026-05-30,US,cross-setting,medium,"ECRI analysis of >3,000 diagnostic safety events: testing, monitoring/follow-up and referral/consultation breakdowns.",01_sources/raw_sources/other/s52_data_analysis_reveals_common_errors_that_prevent_patien.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S53,Real health-system patient flows for identifying health issues,Undiagnosed: When Your Rare Diagnosis Comes 30 Years Late,https://rarediseases.org/undiagnosed-when-your-rare-diagnosis-comes-30-years-late/,patient story / advocacy group,unknown,2023; accessed 2026-05-30,2026-05-30,US,specialist / rare disease,low,Patient self-advocacy and specialist programme finally connected long-standing symptoms with rare disorder diagnosis.,01_sources/raw_sources/case_reports/s53_undiagnosed__when_your_rare_diagnosis_comes_30_years_la.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S54,Real health-system patient flows for identifying health issues,Living with CKD: diagnosis experiences,https://kidneycareuk.org/kidney-disease-information/your-stories/ckd-diagnosis-experiences/,patient stories / advocacy group,unknown,accessed 2026-05-30,2026-05-30,UK,primary care / chronic disease,low,"Patient narratives of communication issues, dismissed symptoms and unseen records in CKD diagnosis.",01_sources/raw_sources/other/s54_living_with_ckd__diagnosis_experiences.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S55,Real health-system patient flows for identifying health issues,The Diagnosis They Missed: A Journey from Dismissal to Advocacy,https://www.rarediseaseday.org/heroes/the-diagnosis-they-missed-a-journey-from-dismissal-to-advocacy/,patient story / advocacy group,unknown,accessed 2026-05-30,2026-05-30,international / rare disease,primary care / specialist,low,Rare/chronic-condition patient narrative about delayed diagnosis and being unheard.,01_sources/raw_sources/case_reports/s55_the_diagnosis_they_missed__a_journey_from_dismissal_to.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
S56,Real health-system patient flows for identifying health issues,Types and Origins of Diagnostic Errors in Primary Care Settings,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/1656540,peer-reviewed diagnostic-error study,unknown,2013,2026-05-30,US,primary care,high,"Diagnostic errors clustered in patient-practitioner encounter, history, exam and ordering workup.",01_sources/raw_sources/articles/s56_types_and_origins_of_diagnostic_errors_in_primary_care.md,metadata taken from completed workbook; author/org not normalized,2026-05-30
