evidence_id,research_topic,source_id,evidence_type,country_or_region,setting_or_context,person_or_group_involved,stage_or_process_step,topic_category,condition_or_issue,finding,what_happened,what_was_identified,what_was_missed,cause_or_contributing_factor,outcome_or_consequence,evidence_quality,source_url_or_identifier,product_or_system_implication,notes,date_packaged
E011,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S014,fact,China,hospital outpatient / ED,patients / clinicians / health system,varies,open access / continuity,health issue identification,China does not generally require referrals and ED information is not routinely sent to primary-care doctors.,Used for open-access/hospital-first continuity risk.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/taxonomy/term/3,See implications files for product mapping.,derived from facts.csv,2026-05-30
E012,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S017,fact,Brazil,community health / referral,patients / clinicians / health system,varies,CHW / referral bottleneck,health issue identification,Brazil Family Health Strategy teams cover defined households but specialty access remains a major bottleneck causing long queues and diagnostic delays.,Used for CHW and referral bottleneck pattern.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.commonwealthfund.org/taxonomy/term/5436,See implications files for product mapping.,derived from facts.csv,2026-05-30
E013,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S018,fact,Mexico,public/private outpatient,patients / clinicians / health system,varies,fragmented care,health issue identification,Mexico has a segmented system with private providers delivering substantial outpatient care but poorly integrated into public networks.,Used for public/private fragmentation pattern.,identified documented workflow pattern,unknown,see fact context,see source,high,https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-2024-mexico,See implications files for product mapping.,derived from facts.csv,2026-05-30
E014,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S020,fact,Tanzania,cancer diagnosis pathway,patients / clinicians / health system,varies,cancer delay,health issue identification,Tanzania cancer pathway study reported median delay of 358 days from first symptom to diagnosis.,Used as low-resource diagnostic delay case.,identified documented workflow pattern,unknown,see fact context,see source,high,https://link.springer.com/article/10.1186/s12913-021-07438-5,See implications files for product mapping.,derived from facts.csv,2026-05-30
E015,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S021,fact,Sub-Saharan Africa,community health,patients / clinicians / health system,varies,CHW workflow,health issue identification,"WHO RAcE/iCCM trained CHWs to diagnose, treat, and refer childhood malaria, pneumonia, and diarrhea.",Used for CHW first-assessment model.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,See implications files for product mapping.,derived from facts.csv,2026-05-30
E016,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S022,fact,Europe,migrant/refugee care,patients / clinicians / health system,varies,migrant access barriers,health issue identification,"WHO Europe reports migrants/refugees face barriers including unclear entitlements, limited interpreters/cultural mediators, financial barriers, discrimination, and poor living conditions.",Used for migrant/refugee access black zones.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.who.int/europe/health-topics/refugee-and-migrant-health,See implications files for product mapping.,derived from facts.csv,2026-05-30
E017,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S023,fact,England,all NHS settings,patients / clinicians / health system,varies,language access,health issue identification,NHS England reports people with limited English can struggle at all points and inconsistent interpreting can prevent engagement.,Used for language barrier workflow design.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/,See implications files for product mapping.,derived from facts.csv,2026-05-30
E018,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S026,fact,Canada,ED / hospital,patients / clinicians / health system,varies,Indigenous health equity,health issue identification,Canadian Indigenous patients may have symptoms taken less seriously and stereotypes can lead to misdiagnosis or neglect.,Used for cultural-safety and racism black zones.,identified documented workflow pattern,unknown,see fact context,see source,medium,https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,See implications files for product mapping.,derived from facts.csv,2026-05-30
E019,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S027,fact,Australia,all settings,patients / clinicians / health system,varies,cultural safety,health issue identification,"AIHW reports 32% of Indigenous Australians who did not access needed services cited cultural reasons such as language, discrimination, or cultural appropriateness.",Used for cultural-safety access barrier metric.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary,See implications files for product mapping.,derived from facts.csv,2026-05-30
E020,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S030,fact,Rural US,rural care / telehealth,patients / clinicians / health system,varies,rural access,health issue identification,"GAO reports rural US residents face fewer providers, longer travel, transportation barriers, and less broadband.",Used for rural high-income access pattern.,identified documented workflow pattern,unknown,see fact context,see source,high,https://www.gao.gov/products/gao-23-106651,See implications files for product mapping.,derived from facts.csv,2026-05-30
E021,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S005,case_or_example,England,GP / ED / out-of-hours / physiotherapy,patients / clinicians / staff,varies,continuity failure,metastatic cancer / severe back pain,Delayed metastatic cancer diagnosis after repeated back-pain presentations,"Multiple contacts occurred across ED, GP, nurse, physiotherapy and out-of-hours care; diagnosis came after repeated presentations.",see case row,Red flags and repeated symptom pattern were not connected early enough.,see case row,metastatic cancer identified,high,https://www.hssib.org.uk/patient-safety-investigations/continuity-of-care-delayed-diagnosis-in-gp-practices/investigation-report/,"Same-symptom clustering, unresolved-problem tracking, named follow-up owner",Continuity and IT systems must surface repeated unresolved symptoms and cancer history.,2026-05-30
E022,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S006,case_or_example,UK,imaging / hospital,patients / clinicians / staff,varies,abnormal result missed,cancer / scan abnormality,Missed bowel lesion on scan with delayed diagnosis,Abnormality was not identified and later follow-up was delayed.,see case row,Scan finding missed and result follow-up failed.,see case row,harm from delayed cancer identification,high,https://www.ombudsman.org.uk/news-and-blog/news/patients-being-harmed-due-repeated-mistakes-reading-scans,Closed-loop scan tracker with escalation for unreviewed abnormal results,Imaging workflows need closed-loop review and patient-visible status.,2026-05-30
E023,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S007,case_or_example,UK,hospital / ED / inpatient,patients / clinicians / staff,varies,red flag missed,sepsis,Sepsis recognition failures repeated across NHS complaints,Delayed diagnosis/treatment and communication/follow-up failures recurred across cases.,see case row,Sepsis red flags and family concerns were not acted on quickly enough.,see case row,death or severe harm in complaint examples,high,https://www.ombudsman.org.uk/news-and-blog/news/more-action-sepsis-needed-nhs-ombudsman-still-seeing-same-failings-decade,Family concern escalation field and sepsis reassessment prompts,Emergency escalation must include family concern and deterioration tracking.,2026-05-30
E024,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S010,case_or_example,Israel / Negev Bedouin,community / primary care,patients / clinicians / staff,varies,underserved access,general health needs,Bedouin community access and continuity barriers,"Physical access, health-literacy barriers, and out-of-system care complicate care continuity.",see case row,Signals can be missed when care occurs outside the formal Israeli record system.,see case row,continuity risk and delayed access,medium,https://link.springer.com/article/10.1186/s12939-025-02398-2,Capture out-of-system visits and language/cultural access needs,Integrated records alone are insufficient for marginalized periphery communities.,2026-05-30
E025,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S012,case_or_example,India,community / informal / TB pathway,patients / clinicians / staff,varies,successful community linkage,TB-like symptoms,Non-allopathic provider TB referral intervention,Intervention linked these providers to referral and free chest x-ray.,see case row,TB identification improved; diagnostic delay reduced.,see case row,reduced diagnostic delay,high,https://journals.plos.org/globalpublichealth/article?id=10.1371%2Fjournal.pgph.0004416,Referral tools and diagnostic vouchers for informal/community providers,Informal providers can be part of safer identification if connected to formal diagnostics.,2026-05-30
E026,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S020,case_or_example,Tanzania,low-resource cancer pathway,patients / clinicians / staff,varies,low-resource diagnostic delay,cancer symptoms,Tanzania cancer diagnostic journey,Diagnostic capacity such as imaging/pathology was concentrated in higher-level centers and patients often self-referred.,see case row,Cancer confirmation was delayed.,see case row,delayed cancer diagnosis,high,https://link.springer.com/article/10.1186/s12913-021-07438-5,Referral completion and diagnostic-capacity map,"Referral completion, funds, transport, and diagnostic capacity determine identification.",2026-05-30
E027,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S021,case_or_example,"DRC, Malawi, Mozambique, Niger, Nigeria",community health / CHW,patients / clinicians / staff,varies,community-health-worker system,"malaria, pneumonia, diarrhea in children under 5",WHO RAcE/iCCM CHW childhood illness workflow,"CHWs diagnosed, treated, and referred according to iCCM protocols.",see case row,Danger signs and treatable childhood illnesses identified closer to community.,see case row,nearly 1.5 million children diagnosed/treated,high,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,"Offline CHW protocols, stock status, and referral confirmation","CHWs can be first-assessment nodes but require protocols, supplies, and referral loops.",2026-05-30
E028,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S026,case_or_example,Canada,emergency department,patients / clinicians / staff,varies,Indigenous-specific racism / triage failure,treatable medical need / referral note,Brian Sinclair emergency department waiting-room death,He waited 34 hours in the ED; staff reportedly assumed intoxication.,see case row,Clinical need and referral note were not acted on.,see case row,death,medium,https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,"Anti-bias triage audit, Indigenous liaison escalation, did-not-wait prevention",Racism and social triage can block basic assessment and escalation.,2026-05-30
E029,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S028,case_or_example,Australia / Queensland,emergency department,patients / clinicians / staff,varies,cultural safety workflow,ED presentations by Aboriginal and Torres Strait Islander patients,Queensland ED cultural-safety transformation project,Project focused on culturally and clinically appropriate care and reducing did-not-wait outcomes.,see case row,Risk of leaving before diagnostic workup was targeted.,see case row,service improvement project,medium,https://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecs,Real-time liaison routing and cultural-safety workflow,Cultural safety must be operationalized in triage and ED flow.,2026-05-30
E030,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",S025,case_or_example,UK,migrant/refugee primary care screening,patients / clinicians / staff,varies,migrant health screening,"hepatitis C, diabetes risk, hypercholesterolemia, immunization gaps",Health Catch-UP migrant screening,EHR-integrated tool prompted screening.,see case row,New conditions were identified and vaccination gaps surfaced.,see case row,12 new conditions found among 99 screened migrants,medium,https://link.springer.com/article/10.1186/s12916-024-03713-4,Migrant-specific EHR screening and vaccination reconstruction,Targeted intake tools can identify hidden conditions when prior records are missing.,2026-05-30
