source_id,research_topic,source_title,source_url_or_identifier,source_type,author_or_org,publication_date,access_date,country_or_region,setting_or_context,evidence_quality,short_summary,raw_file_path,notes,date_packaged
S013,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Early cancer detection barriers involving community health workers in rural India,https://link.springer.com/article/10.1186/s12889-025-22735-y,peer-reviewed qualitative study/review,BMC Public Health / authors unknown,2025,2026-05-30,India,rural community health,medium,"CHWs can bridge cancer awareness and referral gaps but face training, infrastructure, finance, stigma, and support barriers.",01_sources/raw_sources/articles/s013_india_chw_cancer.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S014,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",International Health Care System Profiles: China,https://www.commonwealthfund.org/taxonomy/term/3,health-system profile,Commonwealth Fund,unknown,2026-05-30,China,village clinic / hospital outpatient / ED,high,"Profile of open-access care, village doctors, hospital use, and ED information not routinely sent to primary doctors.",01_sources/raw_sources/reports/s014_commonwealth_china.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S015,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",International Health Care System Profiles: Japan,https://www.commonwealthfund.org/taxonomy/term/11,health-system profile,Commonwealth Fund,unknown,2026-05-30,Japan,clinic / hospital outpatient / ED,high,Profile of Japan health system with no strict gatekeeping and substantial direct access.,01_sources/raw_sources/reports/s015_commonwealth_japan.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S016,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",International Health Care System Profiles: Taiwan,https://www.commonwealthfund.org/taxonomy/term/18,health-system profile,Commonwealth Fund,unknown,2026-05-30,Taiwan,clinic / hospital outpatient / ED,high,Profile of Taiwan health system with no strict gatekeeping and patient choice of doctors.,01_sources/raw_sources/reports/s016_commonwealth_taiwan.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S017,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",International Health Care System Profiles: Brazil,https://www.commonwealthfund.org/taxonomy/term/5436,health-system profile,Commonwealth Fund,unknown,2026-05-30,Brazil,community health center / primary care / referral,high,Profile of SUS and Family Health Strategy; notes specialty access bottlenecks and diagnostic delays.,01_sources/raw_sources/reports/s017_commonwealth_brazil.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S018,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Health Systems in Action: Mexico 2024,https://eurohealthobservatory.who.int/publications/i/health-systems-in-action-2024-mexico,health-system report,European Observatory on Health Systems and Policies,2024,2026-05-30,Mexico,public/private outpatient / hospital,high,"Profile describing segmentation, public/private fragmentation, and outpatient private-sector integration problems.",01_sources/raw_sources/reports/s018_mexico_hsia.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S019,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Lives and economies at risk from weak primary health care in Latin America and Caribbean,https://www.paho.org/en/news/29-9-2025-lives-and-economies-risk-weak-primary-health-care-latin-america-and-caribbean-world,regional health-system report/news,PAHO / World Bank,2025,2026-05-30,Latin America and Caribbean,primary care / public health,high,"Regional report describing hospital-centered, fragmented, and underinvested primary care systems.",01_sources/raw_sources/reports/s019_paho_lac_phc.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S020,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Patients’ pathways to cancer diagnosis and treatment in Tanzania,https://link.springer.com/article/10.1186/s12913-021-07438-5,peer-reviewed qualitative study,BMC Health Services Research / authors unknown,2022,2026-05-30,Tanzania,"rural/urban clinics, hospitals, national referral cancer care",high,Cancer pathway study finding median 358-day delay from symptom onset to diagnosis and major diagnostic-capacity barriers.,01_sources/raw_sources/articles/s020_tanzania_cancer_pathway.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S021,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",WHO RAcE / iCCM programme,https://www.who.int/teams/global-malaria-programme/case-management/community-based-case-management-race-programme,WHO programme report,WHO,unknown,2026-05-30,"DRC, Malawi, Mozambique, Niger, Nigeria",community health / CHW,high,"Programme trained CHWs to diagnose, treat, and refer childhood malaria, pneumonia, and diarrhea.",01_sources/raw_sources/reports/s021_who_race_iccm.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S022,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",WHO Europe refugee and migrant health,https://www.who.int/europe/health-topics/refugee-and-migrant-health,WHO regional topic/report page,WHO Europe,unknown,2026-05-30,Europe,migrant/refugee primary care / public health / ED,high,"WHO Europe summary of migrant/refugee health barriers, including entitlements, interpreters, discrimination, and living conditions.",01_sources/raw_sources/reports/s022_who_europe_migrant_health.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S023,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Improvement framework: community language translation and interpreting services,https://www.england.nhs.uk/long-read/improvement-framework-community-language-translation-and-interpreting-services/,clinical service framework,NHS England,2025,2026-05-30,England,all NHS settings,high,Framework describing limited-English communication barriers and need for interpreting/translation across care.,01_sources/raw_sources/guidelines/s023_nhs_interpreting_framework.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S024,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Language interpretation: migrant health guide,https://www.gov.uk/guidance/language-interpretation-migrant-health-guide,government guidance,GOV.UK / Office for Health Improvement and Disparities,unknown,2026-05-30,UK,migrant health / all settings,high,Guidance on interpreter use and risks of relying on family/friends or conversational fluency for health information.,01_sources/raw_sources/guidelines/s024_govuk_language_interpretation.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S025,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Health Catch-UP migrant screening tool,https://link.springer.com/article/10.1186/s12916-024-03713-4,peer-reviewed implementation study,BMC Medicine / authors unknown,2024,2026-05-30,UK,migrant/refugee primary care screening,medium,EHR-integrated migrant screening tool found new conditions and missing immunization records.,01_sources/raw_sources/articles/s025_health_catchup.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S026,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",When health care harms: Addressing Indigenous-specific racism in Canada,https://www.cpha.ca/when-health-care-harms-addressing-indigenous-specific-racism-canada,public-health commentary/report,Canadian Public Health Association,2025,2026-05-30,Canada,ED / hospital / primary care,medium,"Commentary on Indigenous-specific racism in health care, including Brian Sinclair case and symptom-dismissal patterns.",01_sources/raw_sources/reports/s026_cpha_indigenous_racism.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S027,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Cultural safety in health care for Indigenous Australians: monitoring framework,https://www.aihw.gov.au/reports/indigenous-australians/cultural-safety-health-care-framework/contents/summary,national health-data report,Australian Institute of Health and Welfare,unknown,2026-05-30,Australia,primary care / hospital / ED,high,Framework/report showing cultural safety affects access and quality; includes cultural reasons for not accessing needed care.,01_sources/raw_sources/reports/s027_aihw_cultural_safety.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S028,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Transforming Emergency Departments towards Cultural Safety,https://www.clinicalexcellence.qld.gov.au/improvement-exchange/transforming-eds-towards-cultural-safety-tecs,health-service case study,Clinical Excellence Queensland,unknown,2026-05-30,Australia / Queensland,emergency department,medium,ED cultural-safety project to identify Aboriginal and Torres Strait Islander patients and reduce did-not-wait outcomes.,01_sources/raw_sources/case_reports/s028_queensland_tecs.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S029,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Diagnostic excellence in US rural healthcare: a call to action,https://psnet.ahrq.gov/issue/diagnostic-excellence-us-rural-healthcare-call-action,patient-safety issue brief,AHRQ PSNet,2024,2026-05-30,Rural US,rural clinic / hospital / telehealth,high,"Issue brief on rural diagnostic safety affected by care coordination, socioeconomic factors, and specialty access.",01_sources/raw_sources/reports/s029_ahrq_rural_diagnostic.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
S030,"Research E — Global, cultural, and resource-level comparison of health issue identification workflows",Why health care is harder to access in rural America,https://www.gao.gov/products/gao-23-106651,government report,US Government Accountability Office,2023,2026-05-30,Rural US,primary care / specialty care / telehealth,high,"GAO report on fewer providers, longer travel, limited transportation, and broadband barriers in rural health care.",01_sources/raw_sources/reports/s030_gao_rural_access.md,"Raw file is a source-summary stub, not a full web capture.",2026-05-30
