quote_id,research_topic,source_id,quote_text_short,quote_context,speaker_type,country_or_region,setting_or_context,topic_category,pain_point_or_theme,why_it_matters,source_url_or_identifier,evidence_quality,notes,date_packaged
Q011,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S020,Finally had answers after 27 years.,Patient reflected on long endometriosis diagnostic delay.,patient,UK,primary care to gynecology,rare/chronic delay,unknown,Shows emotional relief after prolonged unresolved symptoms.,https://www.endometriosis-uk.org/dipikas-story,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q012,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S021,I wasn’t given any further information.,Patient reported little explanation after surgery/endometriosis diagnosis.,patient,UK,"A&E, imaging, surgery",diagnosis communication gap,unknown,Shows diagnosis label alone is insufficient for patient understanding.,https://www.endometriosis-uk.org/stephanies-story-0,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q013,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S022,I wasn’t even examined.,Patient with blood in stool said GP did not examine her before IBS/piles explanation.,patient,"England, UK",primary care,red flag missed,unknown,Shows physical exam/referral gap in bowel cancer warning symptom.,https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/personal-experiences/debbie-cameron%2C-merseyside/,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q014,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S023,Too young to have cancer.,Young bowel cancer patient reported age-based dismissal.,clinician as reported by patient,"England, UK",A&E / referral,age bias,unknown,Shows age can become inappropriate rule-out.,https://www.bowelcanceruk.org.uk/how-we-can-help/real-life-stories/younger-people-with-bowel-cancer/sarah-mccollum-surrey/,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q015,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S025,Why would you come to A&E for back pain?,Young patient with severe back pain recalled dismissive emergency response.,clinician as reported by patient,"England, UK",A&E,pain minimization,unknown,Shows functional impairment may be discounted until imaging access is forced.,https://people.com/22-year-old-diagnosed-with-terminal-cancer-after-docs-dismiss-symptoms-11855746,low-medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q016,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S026,I felt like I was going crazy.,Patient described repeated inconclusive tests and infection treatment before cervical cancer biopsy.,patient,Nigeria,clinics/hospitals,diagnostic drift,unknown,Shows emotional burden of unresolved symptoms and repeated consultations.,https://businessday.ng/health/article/wrong-diagnosis-killing-many-patients-in-nigerian-hospitals/,low-medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q017,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S027,Health workers’ poor attitude is another major issue.,Patient/commentary in Nigerian wrong-diagnosis report.,patient/public commenter,Nigeria,hospitals/labs,low-resource trust gap,unknown,Shows trust and service attitude interact with diagnostic reliability.,https://gazettengr.com/victims-of-wrong-diagnosis-prescriptions-in-kaduna-katsina-kano-decry-rot-in-nigerias-health-sector/,low,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q018,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S037,Gave me time whilst he listened.,Positive review of thorough consultation and result explanation.,patient,UK,primary care / NHS-linked review,positive listening,unknown,"Shows listening, explanation and exam as valued safety signals.",https://www.careopinion.org.uk/1333013,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q019,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S038,"Whole person, not just the pain.",Cancer-related positive review of consultant asking broader support questions.,patient,Northern Ireland / UK,specialist outpatient,whole-person care,unknown,Shows whole-person context can improve felt understanding.,https://www.careopinion.org.uk/1065736,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
Q020,"Research C - Patient complaints, raw quotes, reviews, and experience data about health-system identification failures",S039,I always felt listened to.,Postpartum patient praised health visitor continuity and responsiveness.,patient,Northern Ireland / UK,home/community visit,continuity,unknown,Shows continuity and access are positive identification/support patterns.,https://www.careopinion.org.uk/1328982,medium,Short quote retained with context; do not expand without reviewing source.,2026-05-30
